PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Gudeg Pondok,,,,,,,
,https://www.google.com/maps/search/Gudeg Pondok jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,MN Khatami,Local Guide,537 ulasan,"Tempat makan bagi para mahasiswa kelaparan

Asli enak banget gudeg nya dan harga sangat terjangkau , harga mahasiswa banget dah

Dengan porsi banyak banget

Ada menu ayam,tahu,tempe,jeroan, dll

Pokoknya harus coba",5
,,3 tahun lalu,Laefi Rahmat P,Local Guide,38 ulasan,"Sarapan nikmat dengan gudeg, porsi banyak harga murah. Walaupun harganya murah tapi soal rasa gak kalah sama yg udah terkenal",5
,,6 bulan lalu,Hera Yasmine,Local Guide,76 ulasan,"Pindah kemana ya sekarang?
Padahal solusi banget nih kl baru malas masak pasti beli gudek pondok ...
Ternyata masih buka, berarti kemarin memang libur lama penjualnya😅 …",5
,,setahun lalu,August Saveero,Local Guide,22 ulasan,Sempat kaget karena harganya sangat murah. Bisa melakukan pembayaran melaui Qris juga. Mantabb👌👌👌,5
,,4 tahun lalu,Danang Koko,Local Guide,135 ulasan,Bintang lima... Menurut saya ini gudeg paling enak di sekitar situ... Rasa manis khas gudegnya pas...,5
,,4 tahun lalu,Gusti Bagus,-,1 ulasan,Gudeng favorit enak dan terjangkau,5
,,5 tahun lalu,Untung Prasetyo,Local Guide,246 ulasan,Menu sarapan yang wajib dilahap. Letaknya dekat kampus AMIKOM.,5
,,4 tahun lalu,Rosi Isdiarto,Local Guide,182 ulasan,lewat ajaaah,3
,,2 tahun lalu,Aditya,,,,4
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
,,3 tahun lalu,Bangkit Budianto,,,,5
