PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Homi Coffee And Space,,,,,,,
,https://www.google.com/maps/search/Homi Coffee And Space jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Lovely Sissy,Local Guide,101 ulasan,"Like the name, so homi...
Tempatnya nyaman buat nugas lamaaa. Tenang gak berisik. Musik pun volumenya tidak mengganggu. Staffnya semua ramah2, salam pas customers masuk ataupun keluar (little thing tapi matters bangget) terus gercep juga kalau ada request.. Makanannya enak2.. coffeenya enak juga..  harga worth it lah... yang gak kalah penting adalah... toiletnya bersih.. recommended lah.",5
,,setahun lalu,Fahrun Nisa,-,3 ulasan,"Sesuai namanya, homy, serasa di rumah. Nyaman, meski tampak bukan bangunan baru. Kopi enak, harga standar, sayang menu katsunya ayamnya agak keras, tapi Alhamdulillah porsinya banyak. Tidak terlalu ramai. Ada wifi, ada mushola, banyak colokan. Pas banget buat nugas. Kebersihan masih perlu ditingkatkan, terutama untuk area belakang, toilet dan mushola (mushola seperti gudang).",4
,,setahun lalu,Vika Yoga,Local Guide,256 ulasan,"Tempatnya mudah ditemukan karena di pinggir jalan. Eye-catching dari jalanan.
Begitu masuk, langsung disapa crew dari konter kasirnya, dan disuguhi view interiornya yang aesthetic. Cocok banget buat yang suka foto² atau mungkin ngeVlog..
Signature coffee Homi-nya yummy.. (25K)
Rice bowl chicken asam manisnya ngenyangin.. (25K) - cuma agak lama nunggunya, padahal nggak terlalu rame.. mungkin crewnya kurang.. but, it's okay kok.. aku sabar menunggu :)
Crewnya ramah²..
Makasih banyak ya, sukses selalu ♥",4
,,seminggu lalu,Tri mulya ningrum,Local Guide,40 ulasan,"Konsep kafenya mungkin adalah tempat belajar seperti dirumah sendiri. Cocok untuk nugas atau WFA. Nyaman sekali dengan musik kafe dan interior ala ala meja belajar dirumah. Pilihan tempat duduknya juga bervariasi, favoritku adalah tempat duduk di ruangan kiri kasir karena menghadap tembok. Minuman dan makanannya beragam, harganya sekitar 23-50an. Parkir motor cukup luas, sedangkan untuk mobil terbatas. Toiletnya bersih, namun mushollanya sangat minimalis hanya untuk 2 orang.",4
,,setahun lalu,Vera Ningsih,Local Guide,93 ulasan,"Terharu bangetttt karena ketemu tempat yang aku inginkan dalam ngerjain tugas.

Baru kali pertama aku nemuin tempat nongkrong yang nyaman abissss, estetik, dan makanannya enak-enakkk, kursinya empuk gak bikin pegel. Betahhh bgt asli kalo kesini..

Jadi ada bbrp spot yang bs dipake.
Ada yg tempatnya khusus buat kerja/ngerjain tugas.
Ada yg tempatnya khusus buat nongkrong/diskusi

Tapi tempat ini tu beneran hommy bgt juga karena playlistnya bagus, dan disetel dengan volume yg passs! Tidak ganggu konsentrasi sama sekali.
Bakalan kesini lg sih fixxxx!!

Btw, kopinya enak enak!!!! Aku suka yg avocado sih, kental dan avocadonya pas. Yg homi jg enak, ada rasa kelapa2nya gitu. Pokokny wajib kesini bawa laptop dan segala tugas2. Hahaha. Bakal betah pokoknya disiniii..",5
,,11 bulan lalu,nabila fatin,-,4 ulasan,"Tahu tempat ini dari instagram, karena deket dari kost dan butuh tempat nugas akhirnya mencoba. Secara keseluruhan nyaman dan homey seperti namanya homi coffee, menu lumayan beragam dengan range harga coffeeshop menengah ke atas. Rasa es kopinya enak dan cocok untuk pemula yang kurang paham tentang kopi. Fasilitas wifi colokan mushola toilet ac dan meja kursi memadai untuk work/study from cafe, tapi lumayan berisik suara motor dari luar.",4
,,2 bulan lalu,Veronika Nugraheni,-,3 ulasan,"Dulu sering bingung mau makan / nongkrong dimana, karena ga nemu tempat yang deket dan enak
Iseng pertama nyoba , eh langsung jatuh cinta sama homiii
makannnya enak enakk bangett, untuk harganya menurutku worth it buat rasa segitu (menurut akuu)
staffnya juga ramah ramah baik baik bangett, tiap sudut ruangnya punya kenyamanan sendiri sendiri , bisa banget buat yang mau kerjaa,ngerjain tugas, atau sekedar nyari tempat makan yang nyaman
homiii, terimakasiii sudah menjadi salah satu list tempat favorit yang deket kos akuu 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻",5
,,5 bulan lalu,Iqbal Anwar,Local Guide,20 ulasan,"Spot favorit buat nugas especially di hari jumat 😍. Karena tiap hari jumat ada voucher diskon ""jumat berkah"" gitu sebesar 20% tpi khusus untuk orderan minuman ajaa. Sgt rekomen buat nugas dg max 4 orang, tpi agak kurang okee buat virtual meeting karena secara tempat ga luas2 amat. Kerasa aga terbatas aja gtu rasanya kalo mau actively speaking. Toilet bersih & ada mushola yg cukup buat max 2 orang. Tuk rasa, standar rata2 lah.
Overall 8,5/10",5
,,3 bulan lalu,Vina Agustianingsih,Local Guide,136 ulasan,"Memang serasa homi banget sh, karena ada beberapa meja yang di kasih lampu gitu.
Untuk plater nya juga enak walaupun kentangnya agak asin ya.
Minumannya enak banget juga.",5
,,11 bulan lalu,FISA SASMAWATI,Local Guide,25 ulasan,Cafe andalan dari kuliah diskusi disini dan cari materi sampe kerja sekarang masih suka kesini karna cocok bgt buat kerja/belajar. Tenang feels like home haha. Greentea dan redvelvet juara sih,5
,,4 hari lalu,Ayun Ria Ainun,-,6 ulasan,"Tempatnya sangat nyaman buat ngerjain tugas atau sekadar istirahat dari kebisingan😊 mau ke sini lagiii

Pesan snack platter, sosisnya paling enaak🤤",5
,,setahun lalu,Ninis Pradita,-,8 ulasan,"Tempatnya cocok banget buat yang mau nugas/kerja sendirian atau bareng², vibesnya bener² mendukung untuk fokus, lokasinya dekat kampus sanata dharma. Wcnya juga bersih. Lebih dari itu, makanan dan minumannya juga enak.",5
,,10 bulan lalu,khalida rahma Sarita,-,5 ulasan,"Tempat nyaman banget, adem tapi gak bikin kedinginan, cocok buat nugas, banyak colokan, wifi lumayan walaupun kalo di hp suka putus putus tp di laptop oke sih. Toilet & musholla juga bersih terawat, nggak bau

Ice lychee tea nya standard, dory sambal dabunya enak banget sambal dabunya, butter ricenya gurih tapi dorynya rada keasinan. Porsi gede jd dengan harga 28k seporsi sangat sangat worth it, kenyang banget.",5
,,5 bulan lalu,Dimas Maulana,Local Guide,38 ulasan,"Suasananya enak banget, tukang parkir baik, perhatian sama helm kalau sedang hujan diteduhin, barista pelayanannya joss, ramah, kamar mandi juga bersih banget, wangi, overall mantab bgt deh.",5
,,setahun lalu,Dhian Untari,Local Guide,64 ulasan,"Tempatnya enak, staff nya ramah2 semua bahkan sampai ke tukang parkirnya juga ramah dong.

Cocok bgt buat nugas ataupun wfh karena tempatnya gak begitu ramai dan berisik. Banyak spot2 mojok buat yg mau wfh, meet online, ataupun webinar. Kursi mejanya juga enak ada empuk2 plus ada sofa jugaa.

Minuman tadi pesen signaturenya homi, enak kopinya, ada sensasi yg khas dari kopinya.
Main coursenya enak bgt, gak pelit lauk dan porsi kuli dong. Pesen dory sambal dabu2 gitu dari siang sampai malem bru habis sking bnyak porsinya. Nasinya jga bukan nasi putih, pakai nasi yg ada bumbunya lah pokoknya.

harga lumayan standard cafe pada umumnya 25an keatas.",5
,,3 bulan lalu,Auliah Rahmah,-,4 ulasan,"Dari luar keliatan kayak bangunan lama, pas masuk interiornya bagus, tempatnya enak buat nugas lama😍 kopinya enak, nasi dori sambal dabunya enak walopun agak asin huhu tapi gapapaaa😂 Ada musholanya juga, wcnya cukup bersih✨",5
,,5 bulan lalu,Tazkya Inang Juana,Local Guide,20 ulasan,"Sesuai namanya, Homi. Kesan pertama ya Homy, kaya kerja dirumah. Kopi susu lutju (rasa rum) enak bgt. Creamy, manis, sama rasa kopinya pas. Sesuai sama seleraku. Tp mungkin sirup rum nya boleh ditambah sedikit lagi deh kayanya, soalnya masih tipis bgt rasanya, kurang kerasa rum nya. Hehe. Tp overall harganya juga worth the price, sesuai harga kafe pada umumnya.Oiyaaa, untuk donatnya, kayanya harganya agak terlalu overprice yah untuk ukuran donat sekecil itu. Harga donat 12k, tp terlalu kecil kalo dibandingkan dengan donat di kafe lain. Sekian review saya ✨",5
,,6 bulan lalu,Bagas Cahyo Nugroho,Local Guide,163 ulasan,"Menu makanan nya enak, meskipun harganya mungkin sedikit mahal untuk kalangan mahasiswa namun worth jika dibandingkan dengan rasa makanan dan kopi nya

Tempat nyaman untuk mengerjakan tugas dan adem

Mungkin akan kembali di lain waktu",5
,,3 bulan lalu,025 Nailah Nur Adibah,Local Guide,24 ulasan,"best ambience buat nugaaaas 😻🌷
frappe-nya best bgt siii. ke sini twice in a week xixi karena memang senyaman ituu untuk belajar~",5
,,3 bulan lalu,Lia Puspitasari,-,6 ulasan,"Tempat nyaman untuk nugas, wifi kencang, ada mushola (kecil) dg tempat wudhu, toilet bersih, makanan&minuman enak dg harga yg standar, porsi makan cukup banyak, dekorasi ruang juga oke. Karyawan ramah, kebersihan juga baik. Tapi ac kurang dingin, apalagi waktu banyak pengunjung di siang hari. Parkir untuk mobil kurang memadai, tapi bisa parkir di pinggir jalan sekitar.",4
,,3 bulan lalu,Michella Ekarista,Local Guide,77 ulasan,"Enak banget makanannya, tempatnya homey sesuai nama. Wifinya lumayan kenceng.",5
,,4 bulan lalu,Mega Nuraini,Local Guide,61 ulasan,feel homey bangeeeet di sini so comfy suka!!,5
,,2 bulan lalu,Nafthalia Rosaline,Local Guide,63 ulasan,"Kecewa banget sama ini tempat. Biasanya jadi tempat fav buat nugas, tp baru kali ini jadi cust ngerasa diusir cuma karena masalah tempat duduk. Padahal saya sudah duduk disana 4jam, tp baru ditegur diminta pindah.",1
,,2 tahun lalu,rafaela maps,Local Guide,12 ulasan,"Lokasi tempat strategis, ada di pinggir jalan, bisa diakses melalui google maps.
Tempatnya cukup nyaman, dibagian depan ada space untuk smooking, bagian dalam ada space untuk berkumpul dan ada space tersendiri untuk single bench (seperti di perpustakaan). Sayangnya untuk mendapatkan AC di cuaca panas saat itu harus memilih tempat duduk agak dalam.
Harga standar cafe. Sayangnya beberapa menu tidak tersedia saat itu, mungkin karena bulan puasa.
Free wifi dan pramusaji ramah-ramah.
Cocok untuk nongkrong dan mengerjakan tugas bersama teman/sendiri. Berencana untuk mengunjungi cafe ini lagi 👍",4
,,4 bulan lalu,Afnan Alwan,Local Guide,153 ulasan,Salah satu tempat nugas/kerja yang recommended di Demangan. Harga sesuai dengan tempat yang ditawarkan.,5
