PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
KASULI Kafe Susu Tuli,,,,,,,
,https://www.google.com/maps/search/KASULI Kafe Susu Tuli jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Hadit Fikri,Local Guide,318 ulasan,"Well kesini karena ikut kelas BISINDO tingkat 2. Ketemu Mas Rizky yang baik banget dan sayangnya waktu kesini yang jual susu atau makanan gak buka, jadi belum sempat nyicip makanan di sini.

Tempatnya bagus dan unik, sayang penerangannya masih sangat kurang, jadi waktu kesini rasanya gelap banget dan seakan2 kaya mau tutup gitu.

Terus saya bingung nyari toiletnya dimana hehe",4
,,2 tahun lalu,Isgar Dini,Local Guide,250 ulasan,"Tempat makan ini terletak di pusat kota. Dekat dengan Alun-alun kidul. Tempatnya luas, nyaman, dan hening. Bangunan tua belanda. Didirikan dan dikelola sama teman-teman yang berkebutuhan khusus, tidak bisa mendengar dan berbicara. Begitulah serunya. Kita bisa belajar berkomunikasi cara mereka di sini. Banyak ilmu di dapat. Terdapat buku-buku yang bisa dibaca. Ada beberapa mainan, seperti UNO yg bisa kita pinjam sembari menunggu pesanan datang. Jangan takut bagaimana ordernya. Menu makanan ada di monitor yang terletak di meja kasir. Jadi kita tinggal tunjuk saja makanan apa yg kita pilih. Menu-menunya dari snack ringan sampai makanan berat. Dan harganya dong, murah banget. Rasanya juga enak. Puas banget bisa makan dan berkumpul di sini.",5
,,3 tahun lalu,Rosfita Hanis Astuti,Local Guide,115 ulasan,"Tempatnya nyaman, penjualnya ramah, bisa belajar bahasa isyarat alias langsung praktik dengan teman-teman tuli disini. Mereka luar biasa. 😃👍 …",5
,,4 bulan lalu,kinanti sekar,Local Guide,24 ulasan,Kafe Susu Tuli ini makanan sederhana emang bisa dinikmati semua dan tentunya pelayanannya ramah pramusaji nya Tuli namun mereka cerdas membaca pembeli saat kita bingung mereka bisa membaca gerak bibir dan ekspresi kita tentunya 😁 silahkan hadir buat nongkrong dan jajan jajan enak lainnya disana …,5
,,8 bulan lalu,Berbagi Itu Indah,Local Guide,79 ulasan,"Terimakasih banyak Kasuli.....susunya makyuss makanannya nikmat, tempatnya enak dan nyaman buat sharing bareng....semoga semakin laris dan berkah 👍👍👍💌",5
,,8 bulan lalu,ari tewe,Local Guide,38 ulasan,Warung susu sapi murni yang diberi nama Kasuli (Kafe Susu Tuli) ini dikelola oleh seorang tuna rungu (tuli). Dan memang beberapa pengunjung adalah teman2 tuli. Selain menikmati susu sapi murni kita juga bisa menikmati karya2 seni seperti lukisan dan fotografi yang semuanya hasil karya dari teman2 difabel. Disediakan juga air minum untuk kesehatan secara gratis. Air minum ini diolah setelah melewati proses penelitian sehingga aman untuk dikonsumsi.,5
,,6 bulan lalu,Fernando Hergiera,Local Guide,57 ulasan,"Untuk teman-teman yang ingin belajar Bahasa Isyarat, sangat cocok",5
,,3 tahun lalu,Agustinus Ambar,Local Guide,564 ulasan,"Tempat kuliner sekaligus buat nongki nongki yang asik nih Lur. Lokasinya jauh dari keramaian, sepi, jadi asik buat ngobrol ngobrol. Menu yang ditawarkan aneka olahan susu + camilan dan mie. Rasanya endesss dan cukup murah. Dikelola temen temen difabel. Pelayanan ramah dan memuaskan. Recommended!",5
,,2 bulan lalu,Taufiq Hidayatullah,-,4 ulasan,Dia kasir katanya Mohon sudah tutup yang belum tutup jam 10.22,1
,,2 tahun lalu,Rendra Agusta,Local Guide,34 ulasan,"Susunya segar, makanannya enak dan harga ramah di kantong..😁 …",5
,,8 bulan lalu,Gevi Noviyanti,Local Guide,17 ulasan,Selain bisa memesan minuman dan makanan ringan. Di tempat ini bisa belajar bahasa isyarat bersama teman-teman tuli secara langsung.,5
,,2 tahun lalu,Bramanti Wisnu,Local Guide,23 ulasan,"Dari pengalaman disini, suasana sangat nyaman, ada pilihan outdoor sm indoor walaupun ga terlalu banyak kursi mejanya.. atau saya yg ga liat aja haha. Mas-nya ramah banget, terus pelayanan oke punya.. untuk makanan sama minuman enak kok, harga standar wajar.. overall mantap",5
,,3 tahun lalu,MUV leather craft,Local Guide,32 ulasan,"yuuk..! datang menikmati sajian susu yang leziiiss & menu pendamping yang maknyuss..

Bisa juga belajar bahasa isyarat secara gratis, langsung oleh teman² tuli, kapan lagi jajan nyaman dan enak berbonus interaksi dan belajar bahasa isyarat.

Tempat nyaman.. ngga bising, cocok buat diskusi dan sharing

ayook merapat..!
Tuli Berdikari..!!",5
,,setahun lalu,Vita Tamara,Local Guide,153 ulasan,"Untuk fasilitas kursi dan meja sangat terbatas ya, menunya jg yg mudah di tenukan dan murah",4
,,2 tahun lalu,dona Kutus Kutus,Local Guide,10 ulasan,"Asik banget susu segar nya uenaak, ada French fried nya Krenyes Krenyes, selulernya juga ramah banget.

Rekomended banget buat santai di sore n malam hari 👍🏼",5
,,3 tahun lalu,Rianto Purnomo,Local Guide,147 ulasan,Nyusu dikene gaes... Cemilane juga endes,5
,,2 tahun lalu,Amung Laurentia,Local Guide,67 ulasan,Makanan nya enak.... susu murni nya juga enak.... disajikan oleh teman teman tuli yang semangatnya okeeee bgt....,5
,,setahun lalu,Fajri Hidayat,Local Guide,116 ulasan,"Tempat yang nlbersih, nyaman dan ramah bagi disabilitas dan orang berkebutuhan khusus.",5
,,setahun lalu,Jelajah candiijo,Local Guide,28 ulasan,"Nyaman dan special susu murni
Sehat selalu Ahmad dan kawan kawan",5
,,3 tahun lalu,Nurinaernest,Local Guide,30 ulasan,"Di Kasuli, Mbak dan Masnya sangat ramah :)",5
,,8 bulan lalu,Ofix Okefix,Local Guide,134 ulasan,Asik tmptnya minumannya juga enak,5
,,3 tahun lalu,muhammad dimas pamungkas,-,4 ulasan,"Tempatnya enak bisa buat karoke, dunia berasa milik sendiri 😂 …",5
,,setahun lalu,Danardana,Local Guide,21 ulasan,"Bangga dan bahagia dengan semua yang ada di tempat ini...aku bisa, kamu bisa, kita semua sama...😍🤩😇 …",5
,,sebulan lalu,Atun Maryatun,Local Guide,16 ulasan,Ketemu komunitas,5
,,setahun lalu,Tsetcha Techa,Local Guide,20 ulasan,"Tempatnya bagus, bersih top",4
