PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
KAVGA KEBAB,,,,,,,
,https://www.google.com/maps/search/KAVGA KEBAB jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Abdul Hamid Ahya,Local Guide,48 ulasan,"Halalan Thayyiban, kebabnya mantab, penjualnya ramah... Jangan ragu² beli disini",5
,,setahun lalu,dont subscribe,Local Guide,395 ulasan,Kebabnya mantap mase penjuaknya ramaaah banget...bersih juga .....⭐⭐⭐⭐⭐,5
,,5 bulan lalu,Sakmadyone Mawon,-,4 ulasan,Sehat dan sukses selalu mas Toha ~,5
,,2 tahun lalu,Toha Miftahudin,-,2 ulasan,"Porsi kebab&Burger nya gede banget rasanya juga mantull.. beda sama yg lain, penjualnya juga ramah bangetttt",5
,,setahun lalu,AIM Wae,-,1 ulasan,"Resto bersih sekali, penjual ramah",5
,,2 tahun lalu,Farid Abdillah,-,688 ulasan,"Enak, komplit harga ramah 👌 …",5
,,setahun lalu,Ardan Alfatan,-,3 ulasan,Murah enak,5
,,setahun lalu,Tri Hartono,-,2 ulasan,Mantapzz,5
,,setahun lalu,Agung Nugroho,-,8 ulasan,penjualnya tunggal,5
,,11 bulan lalu,Imawan Aji,,,,5
,,setahun lalu,Dwi Ratna Susilowati,,,,3
,,setahun lalu,PAR YANTO,,,,5
,,sebulan lalu,Diajeng Sekar Tanjung,,,,5
,,setahun lalu,Faldi Armando Sudiro,,,,5
,,setahun lalu,Muslihat Playgame,,,,5
,,setahun lalu,wiwit brahmantyo,,,,5
,,setahun lalu,Ichwan Sukarno,,,,5
,,setahun lalu,Duren 77,,,,5
,,setahun lalu,NEX OMPI,,,,5
,,setahun lalu,Ari Pramana,,,,5
,,setahun lalu,Ari Pramana,,,,5
,,setahun lalu,Ari Pramana,,,,5
,,setahun lalu,Ari Pramana,,,,5
,,setahun lalu,Ari Pramana,,,,5
,,setahun lalu,Ari Pramana,,,,5
