PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kandang oguts,,,,,,,
,https://www.google.com/maps/search/Kandang oguts jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Irma Nuur Agustin,Local Guide,168 ulasan,"Awal Desember 2021 lalu saya sempat main ke daerah Playen, Gunung Kidul. Udah lama banget gak ke GK, jadi pas itu saya minta diajak ke tempet hits nya anak muda GK. Ya karena sama temen2 SMA, jadi diajak lah ke Kandang Ogut ini. Awalnya nggak ada bayangan tempat seperti apa Kandang Ogut, teman saya cuman bilang kayak kandang sapi. Dan karena GK masih pedesaan, walaupun sekarang sudah maju, jalanan dan bangunannya sudah bagus2, jadi saya pikir ya bener2 kayak kandang. Ternyata pas sampe di tempatnya di luar dugaan adalah kafe2 kekinian gitu. Bangunannya pun beda dari definisi kandang karena walaupun ada kayu2nya tapi ini lebih ke rumah gitu, ya gak beda sama tongkrongan di kota. Saya ke situ sore dan sudah ramai anak2 remaja gaul GK. Di situ juga sudah memakai pembayaran qr dan gopay, jadi ya memang sudah modern. Ya saya jadi kagum aja, karena sudah 10 th nan gak maen ke GK 😄. Oiya untuk menu2nya di sini milk based beverage gitu, saya pesan milk shake strawberry, trus untuk makannya ada seblak dan snack macam risol mayo, roti bakar, french fries dll. Semua menurut saya enak. Ada juga game2 kecil macam uno, kalo ada yang mau mainan. Akhir kata kalau ke GK, daerah Playen dan sekitarnya trus mau makan2 yang kekinian di tempat yang nyaman dan enak, Kandang Ogut ini bisa jadi salah satu alternatif yg oke. 😊",5
,,8 bulan lalu,Miftachul Fauziah,Local Guide,56 ulasan,"Tempat makan dan nongkrong yang the best pokoknya.. tempatnya nyaman, terang, dan ada tanaman²nya. Gak boseni pokoknya..
Kalau gak salah buka dari 11.00-22.00. Kadang ada live music jg
Disini disajikan berbagai menu seblak, indomie, ayam remuk, spageti, aneka cemilan, gorengan, minuman susu, jus, dll.. semua makanan enak sih menurutku.. biasanya kl sudah jam 9 malam sudah close order, jdi kl dtang sblum jam 9 malam yaa..",5
,,setahun lalu,Kartika Rina,Local Guide,106 ulasan,"Tempatnya belakang SD Negeri Siraman 3, cukup mudah dicari pake maps, klo malem lampu""nya keliatan dri jalan raya.
Tempat yg cocok buat nongki/nugas buat para kawula muda. Tempatnya cukup luas. Parkir luas juga.
Menu beragam dengan harga cukup ramah di kantong pelajar. Pilihan menu kekinian dari snack hingga makan berat tersedia. Rasa makanannya lumayan oke.
Buat kawula muda, must try sih...",4
,,setahun lalu,Arifah Nur Khasanah,Local Guide,174 ulasan,Tempatnya asyik buat nyusu. Anakku suka susu vanillanya yg gelas besar bisa habis sendiri wkwk. Seblaknya juga enaaak. Spaghettinya juga enak. Roti bakarnya juga wajib cobaaa,5
,,4 bulan lalu,Ina Dhealova,Local Guide,81 ulasan,"Tempat makannya luas banyak pilihan tempat duduk, menu makanan & minuman juga banyak, suasana cafe juga nyaman buat nongki, utk akses jalan masuk dan penerangan jalan kl malam masih kurang.",4
,,5 bulan lalu,Fadli Rayhan,Local Guide,57 ulasan,"Tempatnya bagus dan sekarang sangat luas, harga cukup terjangkau, makanan lumayan oke. Sayang akses masuk kalau hujan becek sekali dan pelayanan kadang sangat lama.",4
,,3 bulan lalu,E TW,Local Guide,44 ulasan,"Tempatnya penggemar susu sapi dgn berbagai varian rasa. Banyak jg camilan, suasana syahdu. Cocok buat anak muda yang suka nongkrong. Cm untuk makan besarnya masih kurang bervariasi, namanya jg tempat nongkrong anak muda menu disesuaikan dgn selera anak muda jaman now.",4
,,2 bulan lalu,Arif New,Local Guide,43 ulasan,"Tempat nongkrong yang asyik, makanan enak enak, harga pelajar, nyaman bawa anak, tempat luas",5
,,sebulan lalu,D I A H,Local Guide,11 ulasan,"Tempatnya nyaman buat hangout bareng temen maupun keluarga, seblaknya enak daripada seblak lainnya yang di wonsa.",4
,,8 bulan lalu,Novita Dewi Ramadani (Nopayy),Local Guide,78 ulasan,"Tempat yg pas banget dipake buat hangout breng tmn""
Banyak varian menu dri makanan ringan smpai berat, minuman pun sama
Paling recomend es teh murceu tp haussnya ahhh lewatt🤭
Harga terhitung ringan buat pengen lagi dtng k lokasi
Yukk gassskeun sis 👍",5
,,sebulan lalu,Amalia Dena,-,2 ulasan,"selama jadi pelanggan kandang ogut baru kali ini kecewa bgt, tadi pesan bakwan jepang jam 19.30 nunggu hampir 2 jam lebih ga dtg dtg, akhirnya pas di cek di kasir ternyata dah habis dari jam 19.30 tapi knp kok masih nerima pesanan menu tersebut kalo emang dah habis, apa ga cek sama bagian dapur ? ga komunikasi ? . kami gaada dapet konfirmasi sama sekali dari staffnya. kami paham kok kalo rame kami maklum jg tapi kalo memang ada kendala atau yg lain terkait pesanan pelanggan mbok segera dikonfirmasi, saya nunggu 2 jam lebih cuma dapet minum es teh doang, yg tadinya laper sampe kenyang karna dah emosi. pas konfirmasi jg gaada itikad baik dari kasirnya buat minta maaf malah kasir saling nyalahin ke staff dapur. haruse dapur kasir waiters tu saling kompak komunikasi ngecek pesanan pelanggan demi kenyamanan bersama. ki mau sek komplain yo ra gur aku. lain kali lebih profesional lagi, ndak gur marai kagol pelangganmu . masakan kandang ogut tak akuin udah enak dan harganya terjangkau tempatnya jg luas, tapi soal pelayanan mungkin bisa dibenahi lagi.",1
,,4 bulan lalu,didik winarto,-,10 ulasan,"Saya dari Jakarta dan mampir ke cafe kandang ogut's melalui instagram, dan ini sangat recommended untuk kumpul bersama teman dan keluarga.
Makanan dan minumannya enak dan terjangkau untuk anak sekolahan serta pelayanannya jg sangat baik.

(Setiap malam minggu ada akustik musik livenya)",5
,,sebulan lalu,Rias griya,-,3 ulasan,"sebelumnya mau minta maaf dulu karena cuman rate bintang 1 soalnya pelayanannya kurang baik. jadi pesanan aku dan temenku kurang 1 menu dan itupun udah di tunggu sampai 2 jam lebih, setelah kami tanyakan ke kasir ternyata menunya habis dari ½ jam setelah kami memesan dan tidak ada konfirmasi sama sekali dari bagian. saran aja sebisa mungkin antara kasir dan dapur itu komunikasinya lebih di tingkatkan lagi. buat kakak kakaknya tetep semangat ya yang kerja di sana mungkin kalian emang capek dengan banyaknya pelanggan atau gimana jadi banyak mis komunikasi dan jangan saling menyalahkan satu sama lain kan kalian kerja secara team jadi sebisa mungkin saling mendukung bukan saling menuding.",1
,,sebulan lalu,tools online,-,1 ulasan,"masak nya kelamaan, pelayanan tidak ramah. anjing",1
,,2 minggu lalu,Hirota memee,Local Guide,63 ulasan,"Kandang ogut's adalah tempat ngobrol santai dengan nuansa kekinian. Dengan berbagai varian menu yang ditawarkan. Recomendasi untuk seblaknya, porsi pas dan rasanya endul tak kendul-kendul. Kopi panasnya jos. Tempatnya luas, kursi dan beberapa pendoponya syahdu. Harga standar kantong. Parkiran luas dan ada penjaga parkirnya. Toilet dan mushola juga tersedia. Pelayanan ramah tapi agak lama. Suasanya ramai. Terima kasih banyak.",5
,,2 tahun lalu,Dewie Novita,Local Guide,96 ulasan,"Pangsa pasarnya kayaknya memang pelajar, jadinya tema tempatnya instagramable..
Makanya menu sama harga nggak mahal sama sekali..
Yang jelas lumayan betah buat nongkrong ngerjain tugas (wifi lumayan kenceng)..

Lokasinya kalo malem berasa jauh dari mana-mana..",5
,,2 bulan lalu,Alifa Rahmah,-,1 ulasan,"Pelayanannya buruk, meja kotor tidak dibersihkan dengan benar sebelum digunakan pelanggan lain. Pelanggan minta lap meja karena basah bukannya inisiatif dilapkan malah hanya diberikan serbet saja dan suruh ngelap sendiri, mohon untuk dijadikan evaluasi 🙏 …",1
,,sebulan lalu,Aulia Dwi safitri,-,1 ulasan,"Dear ogut, tempat nongkrongnya nyaman, makanannya enak. Tapi maaf saya harus kasih bintang 2 karna pelayanannya makin kesini makin lama bangetttt
Pesan makanan jam setengah 7 baru dateng 2 JAM KEMUDIAN
Belum lagi mas-mas yang sliweran ga gercep bersihin meja padahal udah berkali2 saya minta tolong buat bersihin meja nya.
Tolong kepada pihak ogut agar memperbaiki sistem pelayanannya
Terimakasih",2
,,2 bulan lalu,veronica sekar,-,2 ulasan,"mohon maaf selama saya ke sini fine fine saja, tapi kali ini saya ke sini lagi dengan keadaan meja yang habis dipakai orang belum dilap, saya minta lap malah suruh ngelap sendiri bagaimana ya? bawahnya juga belom di sapu, sebenarnya kalau mau dibersihkan terlebih dahulu kita juga akan minggir terlebih dahulu, tapi ini kita harus inisiatif menyapu sendiri. mungkin karena tadi terlalu ramai. untuk kedepannya mohon pelayanan, kebersihan, dan keramahannya ditingkatkan lagi (terutama yang laki laki) terimakasih🙏🏼😊",2
,,sebulan lalu,Alfian F,Local Guide,24 ulasan,"Pelayanan lambat, nunggu lebih dari 1 jam, tapi makanan belum datang"". Sementara pelanggan disamping saya yg baru datang makanannya diantarkan terlebih dahulu",2
,,sebulan lalu,EDI SUPAJAR,-,1 ulasan,"Antriannya lama, pdhl udah nunggu 1 jam yang baru dateng ga sampe 30 menit udh dapet makanan nya",1
,,2 minggu lalu,bambang kinkin,-,2 ulasan,"Tempat Nyaman,luas,bersih
Menu banyak dan harga murah,live music tidak terlalu keras,good,masih bisa ngobrol",5
,,sebulan lalu,April liana,-,1 ulasan,Dari sekian kali datang dan order di ogut yang tadinya gapernah mengecewakan tapi kali ini kecewa banget sama pelayanannya. Rela nunggu 2 jam lebih tanpa komplain karna menghargai karyawannya hanya untuk satu menu yg ternyata sudah habis ga lama setelah transaksi dan tidak ada konfirmasi sama sekali.,1
,,2 bulan lalu,Andre Sulistyo,Local Guide,35 ulasan,"Udah sering kesini. Menu enak, recomended. Wajib pesen es teh, gelasnya jumbo. Usul aja tambah menu nasi goreng 🤭. …",5
,,setahun lalu,Isnaenny Siti,Local Guide,22 ulasan,"Tempat ngafe di wonosari yg cocok banget buat nongkrong bareng temen, tempatnya bersih, aesthetic, instagramable buat foto2, makanannya bervariasi & harga standar kafe 👍🏻 …",5
