PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kelapa Muda Uzan,,,,,,,
,https://www.google.com/maps/place/Kelapa+Muda/data=!4m7!3m6!1s0x2e7a57631ccf9705:0xe61d7b2e744aeaf9!8m2!3d-7.7975458!4d110.3926427!16s%2Fg%2F11hz8z3gwk!19sChIJBZfPHGNXei4R-epKdC57HeY?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,irsalina ilan nuuri,Local Guide,32 ulasan,"Beli kelapa muda disini pas malam sekitar jam 10 dan masih buka. Harganya standart 11.000 untuk 1 butir kelapa nya. Bisa request ke bapak penjualnya, mau yang daging kelapa nya tebel atau yang tipis. Nanti dicarikan sama bapaknya.
Ada tempat untuk duduk menikmati segernya kelapa muda, tapi waktu itu saya bawa pulang karena sudah malam. Untuk kelapanya bisa murni tanpa ditambah apapun, bisa juga ditambah gula jawa",5
,,2 tahun lalu,Akbar Sadewa,-,6 ulasan,Kelapa muda berdaging buah lembut. Bisa ditambah es dan gula jawa...,5
,,setahun lalu,reny artanti,-,13 ulasan,Seger ...,5
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
,,2 tahun lalu,jati wahyu tranggono,,,,2
