PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
LESEHAN PRASOJO,,,,,,,
,https://www.google.com/maps/search/LESEHAN PRASOJO jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,Almira Nautisa,Local Guide,95 ulasan,"Kalau jam makan malam pasti rame, bisa nunggu tempat duduk atau join jadi satu sama orang lain. Nasi, lalapan, sambal ambil sendiri sepuasnya tapi tetep secukupnya yaaa, sambalnya ada 3 macem dan yg menurutku paling enak tuh yg dabu-dabu. Trs rasa lauk-laukannya juga enak, ayam tahu terong enak semua, apalagi kremesannya buanyak banget yg ngasih. Recommended sih, hitungannya murah bgt untuk kantong mahasiswa.",5
,,11 bulan lalu,Durroh Nashihah,Local Guide,122 ulasan,"Murah dan enak, cocok untuk kantong mahasiswa, sambelnya enak banget yang mentah  paling favorit pecelnya sih..kalo ga pake lauk cuma 5k, semoga makin laris",5
,,setahun lalu,Natsu Heroes,Local Guide,92 ulasan,"Langganan, harga lumayan lah yaa nasi ambil sendiri. Fav menu yang ayam kremes tahu tempe terong paket komplit sama es teh cuma 22k ajaa hahaha. Kalo pas rame yaa harus nunggu tempat duduk. Overall mantap",5
,,seminggu lalu,Hesti Agustini,Local Guide,184 ulasan,"- murahnya kebangetan
- kremesnya banyak bgt
- nasinya ngambil sendiri dan free refill keknya
- porsi tahu tempenya banyak bgt, pemiliknya kayanya sedekah jg deh
- bisa awet muda kesini, mahasiswa semua soalnya 😂
- gada kurangnya, karena kurangnya hanya dikita yg makan ga abis karena wareg dan dikira porsi dikit 🥲🥲",5
,,4 bulan lalu,vivi,Local Guide,24 ulasan,"nasi, sambel, sama lalapannya ambil sendiri. mana nasinya rnak bgt pulen. ada 3 jenis sambel, sambel bawang, sambel tomat, sama sambel dabu dabu. plis ini dabu2nya enak bgt. tipikal pecel lele kremes, beli kremesan gratis lauk wkwk asli kremesannya banyak bgt, jd puassss. es teh dan es jeruknya 4rban, terong krispinya beneran krispi jd kaya kripik gitu. lokasinya hadap2an sama burjo borneo, kalo siang aga sepi ya tp sore sama malem rebut2an tempat duduk. parkirnya bisa depan warung atau depan burjo.",5
,,6 hari lalu,Cynthia Annisa,Local Guide,335 ulasan,"Parkiran luas, tempat strategis dekat dengan lingkungan mahasiswa, harga terjangkau. Rame bangettt kalau malam. Bisa ambil nasi sepuasnya. Rasa makanannya enak, tp balik lagi ke selera ya. Kremesannya ayamnya terongnya ok bgttttt. Pelayanan biasa aja, ngga terlalu cepat dan ga terlalu lama.",5
,,2 bulan lalu,afriniadini,Local Guide,204 ulasan,"Baik coba aku review ya. Jadi kesini karena malam ingin sekali makan penyetan sambal bawang dan direkomendasi oleh teman bahwa disini enak untuk penyetan kremesannya. Jadi mencoba makan disini. Cukuo takjub begitu sampai ternyata full banget ya yang makan disitu. Asumsiku wah ini kalo tidak karena enak pasti mungkin karena murah ya. Coba pesan ke ibu dan disambut ramah oleh si ibu penjual toko. Kami pesan ayam kremes+teronh krispi nya dan diinfokan bahwa untuk nasi, sambal, lalapan feel free ambil sepuasnya tapi tanggung jawab untuk ambil. Kalo menurutku pribadi bagus sekali diingatkan begini agar kita bertanggung jawab atas apa yang kita ambil ( mungkin yang dirasa bagi beberapa orang di review si ibu galak jika tidak habis ✌️ ). Pesanan yang kami pesan juga tidak menunggu lama padahal cukup banyak antrian. Kalo dari rasa lumayan sih ya, kremesannya banyak, terong krispinya malah kusuka banget, sambalnya lumayan juga. Hanya saja, kenapa bintang 3, karena jujur aku melihat bahwa ketika bapak yang melayani membuang kertas bekas makan di tempat sampah di bapak dengan tangannya seperti meringsek2 tangannya ke dalam tong sampah dan setelah itu langsung memegang piring/pesenan orang yang akan diantar. Sayang banget sebenarnya karena bagiku kebersihan juga penting selain daripada pelayanan dan rasa enak. Jadi mungkin akan tambah bintangnya ketika sudah ada perbaikan kali ya 🙏🏻",3
,,3 bulan lalu,Michael Vincent,Local Guide,282 ulasan,"Warung makan prasojo menyajikan masakan khas pecel lelenan. menunya beragam, harga terjangkau, pelanggan bisa sepuasnya mengambil nasi lalapan dan juga sambal. tempatnya ada yang indoor dan outdoor, biasanya rame jadi harus antri dan nunggu tempat duduknya selo. masakannya enak.
Overall rekomended.
Terima kasih 🙏",4
,,5 bulan lalu,Meytha,Local Guide,64 ulasan,"Porsi banyak, tadi pesen nasi lele tahu terong  plus es jeruk harganya 20k, lalapan nasi sama sambelnya free refil, sambel ada 3 macam sambel bawang sambel matah sama sambel mateng. Enakkk",5
,,2 bulan lalu,dinda titan,-,9 ulasan,"Dear ibu yg punya lesehan, iyeee tau warungnya rame tp gausah cemberut marah2 judes gtu dong kita tadinya laper jadi emosi ga laper lagi. Jujur suaminya ramah pwol kalo ga karena suaminya baik ramah males bgt makan disana. Atau paling bener ibunya kerja di Karen’s Dinner aja tolong recruitmen untuk ibu ini hahahha aku spill sekalian nih mukanya",1
,,2 minggu lalu,Pahlawan Keluarga,-,9 ulasan,Utk rasa sesuai ekspektasi dan masuk sih di lidah sy sekian lama nyari ayam kremes yg rasanya ky gini br nemu di tempat ini krn biasanya terlalu rempah bgt atau bumbu kuning dan krg cocok klo kremesan nya jg oke rasanya sygnya cm gabisa byr QRis,5
,,2 bulan lalu,Rinancang Mutia,Local Guide,210 ulasan,"Harganya terjangkau, rasanya enak, kremesannya buanyak, nasi plus sambelnya ambil sendiri, pelayanannya juga cepet, puas banget makan di sini.",5
,,3 bulan lalu,AD ISKANDAR,Local Guide,18 ulasan,"Lesehan nya mantap, kremesannya maknyuss, sambil nya oke, nasinya pulen, parkirannya luas, harga nya juga murah...",5
,,4 bulan lalu,Yusuf,Local Guide,51 ulasan,"9 Jan 23/ Tempatnya sekompleks dengan burjo Borneo. Nasi ayam kremes 16rb + es jeruk 4rb. Ayamnya enak, gurih. Kremesnya banyak banget, actual kremes, di tangan langsung krek dan rasanya enak. Nyicip terong krispi nya temen juga rasanya mantep, tipis sekitar 3mm, luarnya krispi, dalemnya ada 1mm basah dengan rasa khas terong. Tempenya juga oke, tapi sekilas nggak sampe spesial spesial banget. Sambelnya lumayan nendang.

Pelayanannya lumayan cepet, yang dikasih cuma lauk dan minum. Nasi, sayur dan sambel bisa diambil sendiri, unlimited. Di meja nggak ada sendok/garpu, dianjurkan makan pake tangan I guess. Ada keran buat cuci tangan, sabunnya tinggal sisa dikit tho. Dan nggak ada tisu di meja maupun di kasir. Oh well. Tempat duduknya ada yang di dalem ada yang di luar. Banyak yang ngerokok, jadi kalau mau menghindari asap rokok duduk luar aja.

Secara harga worth it. Es jeruk dan es teh harganya sama. Sayangnya nggak bisa bayar pake QRIS. Still, definitely would revisit and recommend to others.",5
,,4 hari lalu,Budi Rustini,-,1 ulasan,"Assalamualaikum wr wb
Buat para custemer lesehan Prasojo sy mohon maaf atas pelayanan yg kurang berkenan spt duduk dipindah trs gabung sm yg lain Krn keterbatasan tempat, pesanan lama krn keterbatasan tenaga, kurang ramahnya istri owner krn tak kenal mk tak sayang sebenernya ibu Wellcome bgt klu kalian memaklumi keterbatasan tempat dan tenaga kami. Ibu marah jika ngambil nasi dan sambel trs tdk dihabiskan tp itu wajar Krn kami menyediakan blm buat dibuang2, ukuran kemampuan isi perut diri kita sendiri yg tahu. Ambil secukupnya kurang toh juga nambah free kok. Please tolong dimaklumi dan terimakasih atas pengertiannya. Terakhir sy ucapkan banyak terimakasih sdh menjadi pelanggan setia kami dan kami mohon maaf yg sebesar besarnya atas kesalahan yg disengaja maupun yg tdk kami sengaja. Buat semuanya SALAM SEHAT DAN BAHAGIA SELALU
MAKAN ENAK DAN MURAH YA DI LESEHAN PRASOJO AJA YA
OKE KAMI TUNGGU KEDATANGAN KALIAN PARA CUSTEMERKU TERCINTA DAN TERSAYANG, LOVE YOU ♥️♥️♥️",5
,,4 bulan lalu,m,Local Guide,10 ulasan,"love love love, seneng makan disini soalnya pelayannya ramah btuuullll. nasi/sambal kosong langsung diisi. porsi nasi+sambel yg bisa ambil sendiri juga nilai tambah. oiya ada 3 macem sambel, jadi yang ngga suka pedes bisa tetep pake sambel. additional menu-nya juga ngga kalah oke.",5
