PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Le travail Coffee,,,,,,,
,https://www.google.com/maps/search/Le travail Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,dwi suci hartini,Local Guide,157 ulasan,"Tempatnya cukup nyaman, ada pilihan Indoor dan outdoor. Pelayanan cukup baik. Mungkin karena keterbatasan tenaga sehingga penyajian pesanan makanan (makanan selain yang didisplay ditempat pemesanan) agak lama. Untuk rasa tergantung selera masing-masing ya. Pada waktu berkunjung, kami memesan pisang goreng, mix platter berisi nacos kentang goreng dan onion, tahu cabai garam, dan red velvet. Pisang gorengnya enak manis. Tahu cabai garam gak seperti biasanya, di sini dimasak dengan balutan tepung yang agak tebal, menurut kami jika bumbu cabai garam dan bawangnya ditambah akan lebih nendang. Red velvetnya boleh dicoba. Minumannya standar aja.

Saran untuk teman2 muslim apabila berkunjung ke sini sebaiknya tidak pada waktu jam nanggung untuk beribadah (sholat) karena di sini tidak disediakan ruangan untuk sholat. Mungkin ini bisa menjadi masukan bagi owner agar menyediakan ruang kecil untuk ibadah karena ini merupakan salah satu fasilitas dasar yang seyogyanya ada.

Tempat parkir motor berada di bagian belakang, terlindung dari hujan dan panas. Parkir mobil yang kemungkinan agak terbatas.",4
,,setahun lalu,vanda kusuma,Local Guide,371 ulasan,"Wow, pas dateng lihat design cafenya cool sih. Kesini pesen signature coffenya dan lupa namanya apa tapi rasanya creamy gitu sukak banget, ada pastry juga ya disini dan kebetulan cobain red velvet cakenya, rasanya enak nggk kemanisan pas deh di lidah sambil minum kopi.",4
,,3 minggu lalu,Megaa,Local Guide,83 ulasan,"Datang kesini naik motor bingung parkir dimana, ternyata parkiran motornya tersedia masuk didalam gang mentok terus sebelah kanan.
Desain cafenya sangat modern minimalis, suasananya cocok untuk meeting, mengerjakan tugas atau sekedar nongkrong.
Sharing table menyediakan beberapa stop kontak.
Saya kesana siang hari dan makannnya hanya tersedia roti roti. Roti nya enak, biscoff nya juga enak tidak terlalu manis.
Pelayanannya tidak terlalu lama, pegawainya ramah.
Toiletnya bersih.",5
,,seminggu lalu,Nee One,Local Guide,26 ulasan,"Aku di lantai 2 sih tempatnya kaya bar, bagus, nyaman, minimalis, enak, ber ac tapi boleh ngerokok mantap 🍹 kalo mau pesen makanan ringan pesan di bawah tapi bisa dibawa ke atas kok karena sharing tempat, ada stop kontak untuk ngecas juga",5
,,setahun lalu,Lathifah Edib,Local Guide,44 ulasan,"Order white coffee dengan harga 27K. Menurutku rasa kopinya kurang strong untuk harga segitu dan berasa cair. Nggak tau apa karena perbandingan kopi, susu, dan air yang nggak imbang. 😑 Tapi, terselamatkan dengan suasana kafe yang cozy. Suka pencahayaannya jadi garap kerjaan nyaman.

Ada indoor dan outdoor. Untuk outdoor, ada di teras kafe dan halaman belakang. Halaman belakang bagus nih, tapi nggak disarankan saat siang. Panas. Kayaknya sore-sore enak di halaman belakang.",5
,,setahun lalu,Sofia A Pr,Local Guide,9 ulasan,"bisscottnya enak, tempatnya lumayan nyaman cuma sayangnya lahan parkir enggak ada jd pakai jalan kalau menggunakan mobil. kmrn ke sini enggak terima uang cash, jd bayar pake QRIS",5
,,sebulan lalu,Wahyu,Local Guide,194 ulasan,"Buat yang suka nongkrong / sekedar ngopi sama temen, boleh dicoba kesini, kalau pas sepi lumayan enak buat baca buku / ngerjain tugas. aku waktu kesini nyoba kopi yang direkomendasiin sama mas nya, namanya Creamy Glace harganya 30k, emang katanya agak ke manis gitu. kalau buat aku pribadi rasanya pas, manisnya kerasa, tp waktu dicoba sama kakakku yg suka kopi, katanya kemanisan. jd kalau soal rasa itu selera masing2 ya 😁",5
