PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Lecker Rumah Kopi & Resto,,,,,,,
,https://www.google.com/maps/search/Lecker Rumah Kopi & Resto,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,faisal Hrd,Local Guide,295 ulasan,"Buka siang sampai malam. Tempatnya nyaman dan luas. Makanan dan minuman beragam. Harga standar resto cafe. Bayarnya bisa tunai dan non tunai. Staf nya ramah2. Ada lantai atas yg sebenernya instagramable cocok buat poto2. Area smoking juga ada di balkon atas. Ada wifi tapi gak bisa diandelin, sering rto jaringan kurang bagus. Kamar mandi bersih luas. Parkir mudah buat motor dan mobil. Masing bisa lah buat nyante2 gak terlalu rame.",4
,,3 tahun lalu,andhy kurniawan,Local Guide,385 ulasan,"Sudah berubah banget dari lecker dulu, skrg tempatnya lebih bagus dan nyaman. Ada mushola juga, toilet cowo dan cewe sebelahan. Tadi pas ke toilet cowo kayaknya bagian atasnya ada yg bocor jd bagian lantai toilet basah banget dan bagian tempat duduk toilet juga basah. Ada 2 lantai, bisa pilih dimana aja masih tetap nyaman. Tadi pesan nasi kebuli, rasanya enak, porsinya mengenyangkan tp harganya lumayan. Kisaran harinya makanan berat kayaknya 49 keatas. Pelayanan ramah dan murah senyum. Untuk kamu yg mau nongkrong dan dompet masih tebel, boleh lah main sekali2 kesini (kunjungan tanggal 13 agustus 2019)",4
,,setahun lalu,Amiera Zaa,Local Guide,99 ulasan,"Tempatnya nyaman, bersih, makanannya jg enak .... salad ma nasi kebuli nya favorit banget, cm pelayanannya aj yg krng ramah ....",4
,,3 tahun lalu,Debora Yunita,Local Guide,508 ulasan,"Lebih enak nongkrong malam di sini, tetapi tidak disarankan order makanan berat, nasinya sudah habis kalau datangnya malam😄😄, untuk fruit punch dan capucino enak juga. Makanan ringannya so so lah dengan tempat lain. Overall enak klo nyari tempat nyantai yg ga terlalu ramai. …",4
,,setahun lalu,anang atmojo,Local Guide,72 ulasan,"Nice place, cozy, luas, bisa utk acara keluarga, meeting, dinner, lunch, ngajak yg terkasih.... bisa pilih lt.1 apa 2, apa balkon... menu variatif. Kopinya juara. ....",5
,,3 tahun lalu,AGB pattern,Local Guide,34 ulasan,"Pertama kali nyobaik di Lecker (take away via Gr*bFood)
Tapi awal dibuat lumayan kecewa.
First, pesen cafe latte. Harga tertera di app, 25K.

Stlh di konfirmasi ke cafe, driver bilang harga jadi ±26K. Okellaahh..

So far yaudah nggak apa.
Begitu dateng, lha harga jadi 32K (plus ongkir). Setelah cek, di nota ada tagihan tax.
Cuma gemes aja, kok nggak ada penjelasan ataupun sekalian harga d ubah (sudah include tax atau ada tax sendiri di tagihan grab kaya McD etc)

Mana dikasih sedotan putih pula 😅
Mending ngga usah pake sedotan deh drpd kaya gini.
☕ Utk cafe latte, dominan banget susunya, kopi hampir ngga kerasa. 😊

Yaa lumayan dibuat kecewa dr first order di cafe ini.",3
