PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Legend Coffee,,,,,,,
,https://www.google.com/maps/search/Legend Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,SANDRIENA,Local Guide,139 ulasan,"Speechless dengan resto yang satu ini.

Dengan lokasi yang strategis, di tengah kota namun tetap tenang dan menyenangkan suasananya untuk menikmati sajian aneka menu yang endulitaahhh..

Harga yang dibayarkan sesuai dengan kualitas yang disajikan.

Area parkir yang cukup luas untuk R2, toilet yang bersih dan wangi, pelayanan yang ramah dan cekatan, menjadikan resto ini selalu ramai dan jadi pilihan yang asyik, baik untuk bersantai maupun acara pertemuan lainnya.

Area bersantap tersedia di  outdoor maupun indoor yang sejuk dengan dilengkapi WiFi yang menambah kenyamanan.

Sajian live music tersedia di hari tertentu mulai pukul 20.00 WIB.

So, apalagi yang membuat ragu?",5
,,9 bulan lalu,Wanda N.Y.,Local Guide,38 ulasan,"Tempatnya nyaman banget, banyak pilihan tempat duduk. Mushola luas, toilet juga ada banyak. Seminggu 3x ada live musik mulai jam 8 malem, kalau gk salah harinya selasa, kamis, jumat. Wifinya juga lumayan banget. Sayangnya suara musiknya agak kenceng jdi kurang cocok kalau mau ada meeting atau kelas online gitu, harus bawa headset untuk kurangi efek suara.
Variasi makanan dan minuman juga banyak banget, harga standar dengan rasa yang lumayan.
Enak bangetlah ini caffe buat nongkrong atau buat2 kerja yang santai. Bakalan betah dri siang sampai sore.",5
,,6 hari lalu,Fitriani Gina Rahmalia,Local Guide,71 ulasan,"Tempatnya luas, jadi banyak pilihan juga mau duduk dimana, bisa di dalam or di luar. Pelayanannya juga bagus sih ramah semua ya. Menunya banyak variasinya mulai dari makanan ringan sampai makanan berat. Kemarin pesan pizza dan buat harga segitu puas bgt sih soalnya gede banget 😅

Next kalau kesana lagi minat bgt mampir lagi kesini.",5
,,4 bulan lalu,Vivi Lestari (vivi),Local Guide,124 ulasan,"Harga makanan tergolong menengah ke atas dengan jenis makanan yang dijual. Saya pesan snack bowl, platter. Untuk snack bowl nya terbilang mahal sih dengan harga 30rb an. Di malam hari pesan roti panggang tapi lama akhirnga di take away, topping roti panggangnya pakai cokelat serut jadi mengeras kl ga panas. Saran untuk topping lebih baik pakai meses/cokelat ganache.",5
,,4 bulan lalu,Sirajudin Hasbi,Local Guide,62 ulasan,"Kedai kopi yang tidak fokus pada minuman kopi. Melainkan keberagaman menu makanan maupun minuman. Sudah ada sejak lama dan ya sudah banyak yang berubah.

Atmosfirnya enak kalau di depan. Ya kalau ini preferensi senang di depan atau dalam atau di belakang ya.

Makanan dan minuman rasanya lumayan enak dengan harga yang tidak terlalu mahal. Masih cukup terjangkau.

Lokasi di pusat kota memudahkan untuk yang mau janjian dengan teman atau rekan kerja.",5
,,4 bulan lalu,Yustina Carolina F. Salsinha,Local Guide,153 ulasan,"Tempat nongkrong plus temu kangen yang Jogja banget. Suka sama design yang indie tapi tetep classic. Menunya enak-enak banget. Buat brunch ato sekedar ngopi santai juga bisa banget. Ada live musicnya. Fasilitas indoor outdoornya kece. Toilet bersih, ada mushola, plus pelayanannya ramah. Bisa cashless juga. Parkir luas. Asik deh. Kalo ke Jogja jangan lupa mampir ke sini.",5
,,5 bulan lalu,bugar ashari,Local Guide,182 ulasan,"Tempat nyaman, bersih, penerangan pas (syahdu2), comfort buat ngerjain tugas klo bukan pas weekends. Menu komplit untuk harga relatif (harga di menu belum termasuk tax/serv).

Minus di service.",4
,,11 bulan lalu,Isgar Dini,Local Guide,250 ulasan,"Tempat nongkrong dengan varian menu lengkap. Dari makanan nusantata sampai Western. Banyak tempat duduk yang bisa di pilih, mulai dari bangku sampai sofa. Free wifi. Tempatnya luas. Sistem bayar di depan, sehingga kita bisa nongkrong seharian di sana. Ada mushola juga.",5
,,5 bulan lalu,faisal Hrd,Local Guide,295 ulasan,Tempat nyaman dan asik. Kalo malem syahdu ditemani alunan musik. Fasilitas lengkap. Cocok buat sendiri maupun rombongan. Bisa indoor dan outdoor. Tersedia wifi. Harga makanan dan minuman standar cafe.  Pembayaran bisa semua baik cash maupun non cash (debit/qris). Overall okelah..,5
,,4 minggu lalu,Mutia W. Novrianti,Local Guide,90 ulasan,"Katanya ini salah satu cafe tertua ya, tp waktu S1 15 th yll dulu belum pernah nyobain, baru sekarang pas studi lanjut sih baru bisa kesini...pilihan makanan dan minuman banyak ..enak .penyajian cepat ..suasana ok..banyak spot pilihannya...adem dan bersih ..musola luas. Kamar mandi bersih ..WiFi ok   buat nugas ok bgt ada  tempat yg tersedia colokan juga",5
,,3 bulan lalu,Lugina,Local Guide,75 ulasan,"Pilih ruangan non-smoking, ruangannya nyaman karena seperti private. Hanya ada 3 meja dengan 4 kursi di masing-masing mejanya. Tapi karna tertutup seperti itu, jadi agak susah saat ingin pesan. Beberapa pembeli dilayani langsung di meja, tapi bisa juga memesan sekaligus bayar di kasir terdekatnya. Kalau malam minggu ada live music.

Saya coba pesan jus buah naga yang buat saya kemanisan, dan nasi grengbabat dengan babat yang cukup banyak tapi rasanya so-so. Tapi pelayanannya cepat sekali.",4
,,setahun lalu,irkhamudin Pandhawa,Local Guide,444 ulasan,"Menyempatkan diri mampir untuk review salah satu resto terkenal di jogja, Legend. Dari kunjungan kami, kami memberikan 4 bintang dengan pertimbangan:
1. Area parkir mobil di bahu jalan. Parkir motor muat banyak.
2. Kelengkapan cuci tangan, sabun dan pengecek suhu ada.
3. Suasana model rumah lawasan kombinasi dengan meja makan outdoor khas anak muda.
4. Menu cukup bervariatif, range harga masih bisa dijangkau anak kuliahan.
5. Kami memesan menu standar yang paling sering dipesan pada umumnya, nasi goreng ayam, spaghetti carbonara, steak ayam blackpapper.
6. Dari segi rasa, chicken steak paling berterima di lidah. Untuk nasi goreng agak sedikit asin, sedangkan spaghetti belum berterima di lidah.
7. Untuk suasana makan, cukup mendukung bagi semua kalangan usia baik anak muda maupun orang tua.
Sehingga kami simpulkan bahwa resto ini cukup rekomended untuk menjadi tujuan makan sekaligus happy time bersama rekan2",4
,,11 bulan lalu,Novia Adam,Local Guide,198 ulasan,"First of all, pelayanan ramah. Pertama masuk langsung dpt senyum waitress nya. Tempat luas bgt, jd walaupun weekend tetep gampang dpt tempat. Kebetulan dpt yg non smoking (sesuai harapan). Utk kopi nya kmrn pesen yg manual brew, enak sih, minta yg fruity jg dikasi rekomen. Puas. Utk makanan porsi banyak bgt, sampe kekenyangan. Sayangnya nunggu makanan disajikan hampir 1 jam sendiri. 😁 Snack nya kmrn pesen chicken quesadillas jg enak. Overall oke lah, harga jg terjangkau. Parkir susah2 gampang. Kebersihan lumayan 7.5/10.",4
,,8 bulan lalu,Hayu Sawiji,Local Guide,107 ulasan,"Cafe legend ini tempatnya cozy, interiornya bagus.
Ada live musicnya juga.
Harga makananya terjangkau.
Menu yg paling enak menurutku Chicken Quesadilla
Cocok untuk tempat konkow anak muda...",5
,,11 bulan lalu,selasa _,Local Guide,42 ulasan,"Favorit banget salad sayur & kelapa dingin👌
buat nugas yg perlu koneksi cepet, wifinya boleh banget dicoba... buat meeting santai bisa aja, banyakan yg kongkow sih, tp yg gasuka noisy jangan disini hihi...
infonya tiap jumat malem ada live music.
ada beberapa sudut yg bisa dipilih.",4
,,6 bulan lalu,ia surya,Local Guide,128 ulasan,"Tempat nongkrong yang menyenangkan. Pilihan menu banyak, makanan berat dan camilannya enak. Yang nyanyi d live musicnya jg bagus :)",5
,,sebulan lalu,Rizal Maulana,Local Guide,179 ulasan,"Legend Coffee ini sudah buka dari lebih dari 10 tahun yang lalu, disaat jogja belum banyak coffee shop. Pantas kafe ini namanya legend karena memang legend. Menunya lengkap dengan harga terjangkau. Tempatnya luas bsa ada meeting roomnya jg. Ada menu western dan menu asia lokal. Pizzanya rekomendasi jg",5
,,5 bulan lalu,Liza June,Local Guide,51 ulasan,"Tempatnya nyaman buat sekedar nongkrong ataupun meeting, banyak spot buat foto, makanan juga lumayan 7/10, hari ini nyobain menu nasi goreng seafood dan lumayan 7/10, minumnya hot coklat clasik, 7/10.",4
,,setahun lalu,nila lestari,Local Guide,92 ulasan,"Tempat nongkrong lumayan seru. Tempat duduk banyak, ada indoor dan outdoor. Makanan dan minuman disajiakan dengan cepat. Secepat gebetan saat diminta jemput. Aduh

live music bikin suasana makin ramai. Cocok menjadi pelarian dari Malioboro saat weekend (apa lagi malam hari)

Tempat parkir disediakan disebrang cafe. Coba ya",5
,,7 bulan lalu,Richie Mahfud Ahmed Sambora,-,4 ulasan,"Tempat strategis berapa di tengah kota, untuk cafe di jogja sih harganya lumayan mahal sekitar 30rb an per itemnya. Pilihan menunya banyak, tempatnya luas.",5
,,4 minggu lalu,Verlyno Nyoto Handoko,Local Guide,201 ulasan,"Cari tempat makan waktu lebaran itu penuh tantangan.. banyak yg tutup, untung ini pas buka..
Ramai sekali pengunjung nya, kirain bakal ga dapat tempat duduk dan lama penyajian nya.. ternyata dapat ruang AC dan langsung dilayani dgn baik sekali.. penyajian makanan jg cukup cepat menurutku, mengingat ramai nya waktu itu..👍🏻👍🏻👍🏻
Makanan enak2 jg menurutku.. ga sempet ke foto semua, keburu dimakan.. pada kelaparan.. 😁😄😄",5
,,4 bulan lalu,dwi retnaningsih,Local Guide,78 ulasan,Tempat yang asyik buat ketemuan rame rame. Kopi hitam nya yang nusantara enak. Makanan lumayan lah. Pas datang enak tidak begitu rame.....,5
,,setahun lalu,butterfly,Local Guide,123 ulasan,"First time banget ngafe haha nolep banget. Tempatnya bagus, banyak pilihan tempat duduk (outdoor/indoor). Sekitar seminggu yang lalu kesini, pesen chocolate milkshake sm mendoan. Cukup pricey sih.

Untuk chocolate milkshake nya enak 9,5/10 ice cream nya ngga eneg dan rasanya light, kacang taburnya jg ngga gosong. Mendoan nya b aja sih 10k dapet 4 piece. Seperti ulasan yang ku baca, makan belum kelar udh diminta pay bill dan kena charge 16k wow.",4
,,9 bulan lalu,Andika Yanuar,Local Guide,210 ulasan,Ni tempat nongkrong yg nyaman n tempate strategis…menu lengkap.harga lumayan kalau rasa tetap tergantung selera ya,5
,,5 bulan lalu,Tomi Saputra,Local Guide,19 ulasan,"Cukup menyenangkan dengan desain yang menjaga bangunan lama, harga aja yg kurang ramah di kantong hampir mirip dengan coffee shop di Jakarta.",4
