PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Lesehan abbasy prambanan,,,,,,,
,https://www.google.com/maps/search/Lesehan abbasy prambanan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Frosty Feet,Local Guide,83 ulasan,"Warung makan dan kopi 24 Jam, khas banyak kopi instan beraneka ragam, masakan ada mie instan rebus, gudeg, kercek, ayam negeri dan kampung rekomen buat yg nyari makan dini hari sampai subuh.",5
,,4 bulan lalu,dinarikasari Sari,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
,,5 bulan lalu,Agus Muhamad,,,,5
