PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Liquid Bar And Kitchen,,,,,,,
,https://www.google.com/maps/search/Liquid Bar And Kitchen jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,Maria Yosephine,Local Guide,207 ulasan,"mampir kesini cuma buat makan.
lumayan pricey.
but ruangannya dingin, makanannya enak. nasgornya sih juara.
esteh 30k, air mineral 15k.

tp enak sih worth to buy kalo lg main kesini👌💕",5
,,2 bulan lalu,Indra Putra,Local Guide,103 ulasan,"Live music dengan band dan DJ yang baik.
Harga makanan murah dan tergolong enak. Cocok untuk nongkrong dan bersantai melepas penat.",5
,,2 bulan lalu,Nadya Bela,Local Guide,204 ulasan,Asik bgt si ini . Kesini open table trus nonton superman is dead. Pelayanan mantab dan kebersihan juga terjaga,5
,,3 bulan lalu,Reno Fajar,Local Guide,150 ulasan,Kedua kalinya kesini . Dulu rame banget skrng agak kurang ya. Tapi suasana cocok buat denger band yg tampil,5
,,3 bulan lalu,Omadit Hillink,Local Guide,22 ulasan,"Walaupun kesenangan sesaat tapi memuaskan,. Sangat puas lah",5
,,5 bulan lalu,Kang Review,Local Guide,89 ulasan,"Ini pizza atau crepe?
Ini pizza atau taco?
Tipis ampe pinggirannya, cruncy, gk mateng tepung dimana2, WTH.",1
,,setahun lalu,Mas Doneee,Local Guide,66 ulasan,"Good place for kongkow, spacious car park, price standard. But perlu diperhatikan lagi untuk kebersihan kamar mandi pria nya. Baunya tidak sedap dan ada bekas muntahan.",3
,,setahun lalu,Imam Hanafi,Local Guide,98 ulasan,"Ini tempat langganan aku kalo lagi suntuk atau cari tempat hangout, karena luas dan ada entertaiment nya live music, pelayannya juga bagus dan ramah, snack nya juga enak. Kemudian untuk prokes juga sangat patuh karena di depan menyediakan tempat cuci tangan kemudian mau masuk ada QR Code peduli lindungi dan tempat duduknya di tandai untuk menerapkan social distancing. Well setelah sekian lama gak main kesini ternyata masih aja asik dan oke ini lokasi. Try it guys.",5
,,setahun lalu,a lisnanto gathi,Local Guide,1.056 ulasan,"Resto ini terltak di tepi jalan magelang, parkirannya luas, tempatnya nyaman. Menu pilihannya juga banyak. Tempat ini bisa juga untuk pertemuan dan meeting. Bisa juga untuk menggelar acara musik dgn skala kecil.",3
,,3 bulan lalu,MARTABAK DAMDAM,Local Guide,47 ulasan,Pertama X datang...pulang terakhir tidak ada tamu lainya dompet jatuh uang raib dompet ditemukan.. Terimakasih.,1
,,4 tahun lalu,Dewi Christiani,Local Guide,77 ulasan,"kereeennn....bukan ngajarin nakal ya tapi kalo ada yang mau ngebir bisa disini. ada paketan bali hai, sebucket 150.000 kalo gak salah. Mau duduk di sofa minimum order 500.000 hehehe. Live music nya setiap hari dan sumpaaahhh keren abis. Arwa parkir nya tidak terlalu luas, tapi tenang bisa parkir di depannya kok di jl.magelangnya. Parkirnya dipinggir yaaa hehehe",5
,,3 tahun lalu,Ferri Ramlie,Local Guide,364 ulasan,"Liquid Bar & Kitchen Jogjakarta memiliki konsep desain open kitchen. Menu yang ditawarkan disini adalah menu makanan Indonesia, Chinese, hingga Eropa sebanyak sekitar 30-an jenis santapan. Mulai dari makanan ringan sampai berat seperti tomyam cocktail, nasi goreng tomyam, Jamal Fried Rice, Salmon Steak, dan lainnya. Selain makanan, ada juga minuman ringan, aneka bir dan wine dari lokal dan mancanegara. Kamu juga bisa mendengarkan sajian live music jazz sambil menikmati sajian bir dan wine lokal maupun mancanegara. Liquid Bar & Kitchen terletak di Jalan Magelang Km 4,5 No. 158, buka setiap hari mulai pukul 08.00 sampai pukul 05.00. #LiquidBarKitchen #LiquidJogja #LiquidYogyakarta #PestaSelalu",5
,,4 tahun lalu,ZUBERTOLOGI,Local Guide,243 ulasan,"Tempat nongkrong yg lengkap, disana anak muda bisa memilih hoby dan kesukaan. Mulai dari yg hoby futsal, suka nongkrong, dan juga yg seneng karaokean bisa banget di sini. Kafenya juga model modern jd buat anak muda jaman now cocok, tempat karaoke juga luas. Jadi silahkan mencoba.",4
,,4 tahun lalu,Rob U,Local Guide,250 ulasan,"Konsep Bar & food, tempatnya luas, rame dan cocok buat hangout bersama teman.
Buka sampai subuh. Dan pastinya harga masih oke...",4
,,4 tahun lalu,anita febrian,Local Guide,23 ulasan,"Tempat ngebirdi-birdi yang asik dengan harga mahasiswa hahaha. Banyak gigs juga buat nonton band-band kesukaan. Kapasitas kursi lumayan besar jadi sering rame bangett dan gerah, mudah-mudahan AC bisa diperbanyak yaa dan buat sound system kalau ada band ""ibukota"" mungkin bisa diprepare lagi, terakhir nonton jelek banget soundnya ga enak di kuping penonton kuciwaaa 😂",5
