PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Made Cafe,,,,,,,
,https://www.google.com/maps/search/Made Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 hari lalu,bobby kurwet,Local Guide,639 ulasan,"Lumayan, salah satu tempat teramai di area prawirotaman..
Good ambiance..",5
,,2 bulan lalu,suba21shop suba21shop,Local Guide,37 ulasan,"Cobain mendoannya pas lagi panas ditemanin minuman ""anget""",5
,,4 tahun lalu,Novi Adianingrum,-,1 ulasan,"Tempat yang asyik buat nongki"" bareng teman...makanan yg disajikan juga maknyusss enak coyyy!!! Apalagi Chicken G.B nya....",5
,,6 bulan lalu,Dany Rachman,Local Guide,17 ulasan,Live musiknya keren2 yg main di sana.,5
,,10 bulan lalu,Richard Hutagalung75,Local Guide,82 ulasan,Tempat nya luas.. minuman byk pilihan. Live musik nya juga oke.. jgn lupa main ke sini kalo ke jogja ya,5
,,setahun lalu,Melinda Indini,Local Guide,255 ulasan,"Kupikir dulu mahal, hihi ternyata ga. Ownernya juga ramah banget. Dulu ada life musicnya dan oke punya… semoga kondisi lekas membaik ya",5
,,2 tahun lalu,arya prahasta airlangga,Local Guide,40 ulasan,Tempat nongkrong yang nyaman aman akrab karena tidak terlalu besar ... banyak bule ... musik classic rock ... beatles night ... blues ... top40,5
,,3 tahun lalu,Pungky hp,Local Guide,46 ulasan,"tempatnya asik, ada Beatles night tiap senin malam",5
,,7 bulan lalu,Darma Di,Local Guide,236 ulasan,Buat nongkrong enak.ada live musik,3
,,4 tahun lalu,Elisabeth Triana,Local Guide,139 ulasan,"tempatnya nyaman, menunya cukup bervariasi",4
,,3 bulan lalu,Eucharis Agape lobo,Local Guide,11 ulasan,Salah satu Kafe terbaik di jogja,5
,,setahun lalu,Ziyad Al - Haritsy Turnip,Local Guide,92 ulasan,"Sabi buat nongkrong, cuma ada plus minus",3
,,setahun lalu,Central Bataexpose,Local Guide,144 ulasan,"Nyaman,ramah dikantong slurd",5
,,setahun lalu,Didik Triwidodo,-,30 ulasan,Tempat asyik kopinya mantap,5
,,2 tahun lalu,Anggit Jaya,Local Guide,146 ulasan,Tempat nya terlalu rame kalo malam,3
,,11 bulan lalu,Hasanudin Perwira Bumi,-,4 ulasan,Ownernya ramah and friendly,5
,,3 tahun lalu,Bunga Awanglong,Local Guide,290 ulasan,"Posisi bagus di daerah selatan yogya untuk berbagai menu ,, bersih , standart",5
,,4 tahun lalu,Fathur,-,5 ulasan,Tempat yang mantap buat nongki dan ngopi,5
,,5 tahun lalu,arief basuki rahmad,Local Guide,205 ulasan,Tongkrongan di waktu itu....17 th yg lalu...,4
,,3 tahun lalu,Rachmat Mulyawan,-,2 ulasan,Mantap ...live music. The Beatles ...,5
,,4 tahun lalu,Gilank Mohican,Local Guide,96 ulasan,Tempat nongki paling enjoy,5
,,5 tahun lalu,navi shekar,-,1 ulasan,Tempat yang nyaman buat nongki,5
,,setahun lalu,Dedhet Channel,-,6 ulasan,"Di introgasi gaezzz,,, 🤣🤣🤣 …",1
,,3 tahun lalu,Agus Purnomo,Local Guide,145 ulasan,"Ramah,dan enak ...",5
,,2 tahun lalu,nanang putut budiantoro,Local Guide,37 ulasan,Enak,5
