PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Mister Burger Stasiun Tugu Yogyakarta,,,,,,,
,https://www.google.com/maps/search/Mister Burger Stasiun Tugu Yogyakarta jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Zendy surya,Local Guide,61 ulasan,bun nya nggak dipanasin dulu kaya dulu ya.. rasanya mayan b aja.. tapi mayan pricey untuk harga 35K dapatnya nggak istimiwir.. jadi bintang 3 aja ya.. kalau buat pengganjal lapar lumayan tapi nothing special.,3
,,4 bulan lalu,Durrya Melinda,-,1 ulasan,"Pelayan yang perempuan sangat tidak ramah dan mengecewakan, sudah sering beli tapi tetap tidak melayani dengan baik dan tidak sopan. Mohon untuk diperhatikan",1
,,3 bulan lalu,Hermanto Prabowo,Local Guide,128 ulasan,Harganya tak seindah dulu..,2
,,3 tahun lalu,Ghassan Shalihin,-,1 ulasan,"Pelayanan sangat lambat, sangat tidak ramah dan komunikatif, yg antri banyak, tp kami tidak tahu mana yg sudah dibuat mana yg belum, hanya dibiarkan begitu saja, makanan tersaji dg kurang baik",1
,,5 tahun lalu,april_achand,Local Guide,70 ulasan,Pelayanan di gerai ini sangat jelek. Ketika pesan tidak di tanggapi sama sekali oleh pegawainya. Sehingga tidak tau apakah kita sudah masuk list pesanan atau belum dan tersedia atau tidaknya pesanan kita Saran lebih baik pesan di luar saja kalau tidak mau kesal sendiri.,1
,,setahun lalu,Leni ananda,-,493 ulasan,Mungkin kedepannya lebih diperbaiki packing nya krn kondisi panas langsung masuk mika tanpa dilapisi minyak kertas atu sejenisnya .. sehat selalu bapak yg jaga,3
,,4 tahun lalu,Ario Geger,Local Guide,58 ulasan,"Sama seperti atas saya pelayanan SANGAT MENGECEWAKAN BIG DISAPPOINTMENT. ROTI KERAS DINGIN, DAGING GA DIPANGGANG, BAWANG BOMBAY ASAL2AN SAOS N MUSTARD KEMANA MANA JOSS SIAP2 KECEWA KALAU BELI DISINI YA. BACA INI SEBELUM BELI JADI GA KAGET KALAH KECEWA GAN.",1
,,3 tahun lalu,Tri Yuwono,Local Guide,30 ulasan,"Buka 24 jam, menu tergantung persediaan",4
,,setahun lalu,MDR88,Local Guide,450 ulasan,Konsistensi rasa 💯,5
,,setahun lalu,Handoyo Taher,,,,5
,,2 tahun lalu,birgita rosalina,,,,4
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
,,sebulan lalu,Reva Oct 1,,,,5
