PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
OM KUGO,,,,,,,
,https://www.google.com/maps/search/OM KUGO jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Satriya Nurcahya,Local Guide,129 ulasan,"Minuman penyegar dan penghilang dahaga. Thai Tea, Brown Sugar, Milk Tea, Fresh Milk, Boba juga ready gaes.",5
,,10 bulan lalu,Nur Puji hayati,-,1 ulasan,Minuman kekinian yg selalu menyajikan minuman baru,5
,,setahun lalu,KICAU SELALU,Local Guide,62 ulasan,Harga terjangkau untuk rasa tidak kalah,5
,,3 tahun lalu,Dhany Wijaya,-,1 ulasan,Minumannya mantap mantap nii,5
,,setahun lalu,Ardy Seno,Local Guide,532 ulasan,Mantab,5
,,setahun lalu,Anung Lastmohikrom,Local Guide,254 ulasan,Seger pooolll,5
,,2 tahun lalu,17. Luthfia Hanifah,,,,5
,,2 tahun lalu,kristantri wahyuni,,,,5
,,2 tahun lalu,Mas Ibas,,,,4
,,setahun lalu,Agus Hadi,,,,5
,,setahun lalu,anton septalektron,,,,5
,,2 tahun lalu,Ifah Wahyu,,,,5
,,setahun lalu,Apriliyanto Adi Supatma,,,,3
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
,,setahun lalu,anwar setyawan,,,,5
