PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
PO,,,,,,,
,https://www.google.com/maps/place/PO.+Sinar+Jaya+Jogjakarta/data=!4m7!3m6!1s0x2e7a57a8f02b783b:0x24d9d5b534f3f7b8!8m2!3d-7.835321!4d110.391358!16s%2Fg%2F11g0mbmz4l!19sChIJO3gr8KhXei4RuPfzNLXV2SQ?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,Ririn Setia,-,1 ulasan,"Tempat makan kotor dan panas, kru judes tidak ramah, keterlambatan tidak ada informasi membuat penumpang menunggu lama, space tempat duduk yang terlalu sempit.
Udah grub besar, mohon ya di perbaiki lagi. Baru kali ini naik bis umum sangat bad",2
,,2 minggu lalu,Maryanto Aloe vera,Local Guide,63 ulasan,"Saya 2x kecopetan HP saat tertidur di bis ini rute Jakarta - Yogyakarta. Secara umum bos ini tepat waktu, mobilnya juga terawat baik, harga ticket sangat merakyat.",4
,,4 bulan lalu,Hendra Gunawan,Local Guide,44 ulasan,"Baru x ini naik bis .mau duduk bangkunya di pake tidur Supir.. penumpang disuruh berdiri  sampe Cibitung..untungnya blm penuh semua... penumpang ada yg turun kami disuruh pindah lg sama supir,dia mau tidur...udah SALAH JALAN nyasar..ada2 aja naik bis",3
,,3 bulan lalu,doni teni motovlog,-,2 ulasan,"Sangat tidak ramah, mentang2 sudah besar... Ingat sinar jaya bisa jd besar karena penumpang!!!",1
,,3 bulan lalu,Dede Kaswara,-,6 ulasan,"Beli tiket musti dateng ke PO nya langsung..
Klo beli di tmpt PO bus lain harganya malah di caloin lg, ada selisih 10rb per tiketnya..",4
,,sebulan lalu,Sisilia Puspita,-,4 ulasan,"Bapak"" yg jual tiket ga ramah, tolong di training dulu lah yg ramah sama pelanggan",1
,,sebulan lalu,Mbah Dukun,-,4 ulasan,Tiketnya sekarang perorang 10.000 parkir motor 2 ribu,5
,,2 minggu lalu,Phiphin Prefasia,Local Guide,7 ulasan,"Pakai unit double decker, nyaman",5
,,seminggu lalu,Yaya Branjangan Lover,-,4 ulasan,Pelayanan di saat ada masalah slow respon.,1
,,4 bulan lalu,Wira yudha,Local Guide,70 ulasan,"armada nyaman,kru ramah...toleransi waktu cukup baik...",5
,,setahun lalu,Rio Tri Anggara,Local Guide,116 ulasan,"Bis nya sangat nyaman dan rekomendasi ,tempat untuk menunggu nya perlu di perbaiki dan di tambah lagi fasilitas nya",5
,,setahun lalu,Dimas Agung Saputra,Local Guide,243 ulasan,"5 November 2021

Kurang profesional, beli tiket sleeper bus untuk 22 penumpang (riil dipakai 9 penumpang, untuk keperluan acara kantor) dan sengaja dipesan untuk privasi, Giwangan - Kampung Rambutan

Di tengah jalan bus ada masalah. Kemudian dari 9 penumpang dipindah ke sleeper bus lain sehingga jd bareng dengan penumpang lain (berarti untung 13 tiket karena jd digabung)

Secara tiket harusnya diturunkan di Kp Rambutan, tp dimampirkan dulu ke karawang, bekasi, pulo gadung, priok karena dibarengkan dengan penumpang lain, sehingga waktu sampai menjadi sangat2 molor.

Sempat di komplain tp belum ada itikad ganti rugi sampai saat ini. Untuk kondisi ada gangguan bisa dimaklumi, tp harap diperhatikan fairness-nya ya.",1
,,setahun lalu,Ardi Muhammad Naufal,Local Guide,79 ulasan,"Petugas tidak ramah. Terkesan meninggikan suara saat bicara. Mohon evaluasi. Kami pengguna jasa bicara baik - baik, malah jawabnya seperti itu",1
,,8 bulan lalu,Dapoer R&R,Local Guide,20 ulasan,Proses cepat bus nya bagus,5
,,10 bulan lalu,Eri Suheri,-,15 ulasan,Pelayanan terbaik dr PO. SINAR JAYA.,5
,,9 bulan lalu,Re Han,Local Guide,88 ulasan,"Bapak2 agennya nggk ramah. Minta no wa ngga dikasih, pdhl pake jasa transportasinya dia",1
,,9 bulan lalu,Sandhy ED,Local Guide,5 ulasan,"Pengalaman pertama naik sleeper bus. Nyaman, walaupun sedikit molor kedatangannya dari estimasi.",5
,,10 bulan lalu,Kharis Pradana,Local Guide,114 ulasan,"Cukup baik, bus sesuai jadwal. Hanya dari depok harus ke terminal jatijajar termasuk jauh.",5
,,11 bulan lalu,Sulistyo Kurniawan,Local Guide,36 ulasan,"Untuk ukuran prlayanan bus, oke sih...ramah,,ayo sinjay tingkatkan lagi",4
,,sebulan lalu,Elwy Dian998,-,2 ulasan,Armada Ternyaman dan terbaik..,5
,,sebulan lalu,SISILIA ANGGRAENI,-,1 ulasan,Tidak ramah bintang 1,1
,,5 bulan lalu,Muhammad Arnaz,Local Guide,85 ulasan,Buruk pelayanan keluhan pelanggannya,1
,,setahun lalu,Atep 134,-,2 ulasan,bu ani yg terlalu kasar dalam berbicara mohon untuk d evaluasi,1
,,9 bulan lalu,Jamaludin,Local Guide,80 ulasan,Bisa pesan tiket bus on-line via aplikasi traveloka dan redbus,5
,,7 bulan lalu,Lutfi Hawait,-,4 ulasan,Ini toko punya pak haji eman bukan ya?,5
