PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
PW3 Lounge,,,,,,,
,https://www.google.com/maps/search/PW3 Lounge jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Amsaina Yulia Nurrohman,Local Guide,19 ulasan,"Tempatnya yang nyaman untuk bekerja. Orangnya baik"",sopan"",dan ramah. fasilitas lengkap👍👍👍 …",5
,,setahun lalu,Novica Sari,-,6 ulasan,Tempatnya asik dan orangnya seru seru!,5
,,9 bulan lalu,Gagat Galib Seno Aji,Local Guide,61 ulasan,Mantap sekaliiiiii,5
,,setahun lalu,Rifqo,Local Guide,108 ulasan,Tempatnya asik,5
,,2 tahun lalu,KANG KAMPRET,-,1 ulasan,Mantap,5
,,2 tahun lalu,Anna Arthdi Putra,,,,5
,,2 minggu lalu,revalinaa ull,,,,4
,,5 bulan lalu,Henry Mikha,,,,5
,,setahun lalu,Arian Derida,,,,5
,,2 tahun lalu,Deddy S,,,,5
,,2 tahun lalu,Jessica Christianingtyas Sihwinanti,,,,5
,,setahun lalu,Arrum Melati Devinta Priyadi,,,,5
,,7 bulan lalu,Rhoma Prima Ardiansyah,,,,5
,,2 hari lalu,Yakin Putra Satrya,,,,5
,,4 bulan lalu,Yayang Wijaya,,,,5
,,3 tahun lalu,Agil Mubarok,,,,5
,,setahun lalu,Safira Dhea,,,,5
,,7 bulan lalu,Hanggara Tri Janottama,,,,5
,,2 tahun lalu,Ardy Adi,,,,5
,,setahun lalu,Fajar Riza,,,,5
,,sebulan lalu,Muhamad Aziz Al-assad,,,,5
,,8 bulan lalu,[AT]Sumarmo 87,,,,5
,,8 bulan lalu,[AT]Sumarmo 87,,,,5
,,8 bulan lalu,[AT]Sumarmo 87,,,,5
,,8 bulan lalu,[AT]Sumarmo 87,,,,5
