PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Palms Resto & Cafe,,,,,,,
,https://www.google.com/maps/search/Palms Resto & Cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,Rna Saktiani,-,6 ulasan,"Enjoy place, nonton dangdut sambil makan trus pulang",5
,,9 bulan lalu,Ronnie Qusya'i,-,8 ulasan,Kereenn...bagi pecinta klasik Rock skrg sdh bisa langsung ke tempat ini setiap minggu..tempat nyaman dan cozy,5
,,setahun lalu,abdul azis,-,8 ulasan,"Parkir luas, pemandu cantik2, room nya bersih, service oke...
Sound oke banget
Best karaoke jogja
@play.karaoke
Info & rsvd
081227066668",5
,,3 bulan lalu,Dhanas Bayu,-,3 ulasan,Pelayanan oke. Mantapppl,5
,,3 bulan lalu,Sutriz dram om.Mahardhika,-,24 ulasan,Manteeb ndangdutnya...,5
,,setahun lalu,Anissa Sasongko,Local Guide,81 ulasan,Tempat bersih saund mantap dan pelayanannya ramah,5
,,3 bulan lalu,Pran Jono,Local Guide,24 ulasan,terjangkau.,5
,,5 bulan lalu,Nurakhman Maman,Local Guide,235 ulasan,Begadang sampai pagi,5
,,4 tahun lalu,Datsir 22,Local Guide,5 ulasan,Menarik hati,5
,,11 bulan lalu,Darma Di,Local Guide,236 ulasan,Buat cari hiburan asik,3
,,4 tahun lalu,doni dhetta,-,6 ulasan,menarik,5
,,5 tahun lalu,Faizal Guitar,-,391 ulasan,Tempat sangat nyaman,5
,,4 tahun lalu,adhie saputra adhie,Local Guide,363 ulasan,"Lumayan,  patut dicoba",4
,,4 tahun lalu,Sri Purwantari,Local Guide,189 ulasan,Tempat karaoke yg nyntai,4
,,4 tahun lalu,irwan Bintang alfayyadh,Local Guide,470 ulasan,"lc ne istimewa,yahud",5
,,5 tahun lalu,tropus doex,Local Guide,125 ulasan,santai sejenak,5
,,4 tahun lalu,abdulh hamid,Local Guide,24 ulasan,Romantis,5
,,3 minggu lalu,Victorinus Rizky,,,,5
,,4 tahun lalu,Abie,Local Guide,7 ulasan,Recommended place,5
,,setahun lalu,elingesha,,,,1
,,setahun lalu,fajar noor,,,,5
,,4 bulan lalu,Elman Sayuti,,,,5
,,setahun lalu,bimo aji,,,,5
,,setahun lalu,Bopo Khucay,,,,4
,,11 bulan lalu,Suraj Khandagle,,,,3
