PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Pendopo Lawas,,,,,,,
,https://www.google.com/maps/search/Pendopo Lawas jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 bulan lalu,Ainun Wulandari,-,57 ulasan,"Cocok buat yang mau nongkrong diangkringan. Buat menunya lumayan lengkap sih mulai dari sate satean , jajan pasar, gorengan dan berbagai minuman kopi, teh , susu dan jeruk

Tapi sayangnya sate sateannya gak dipanasin lagi atau dibakar waktu itu. Jadi rasanya kurang. Terus buat bumbu sate2annya kurang berasa .

Buat harga memang gak seperti angkringan biasanya ya yg lebih murah.

Ada live musicnya juga disini.",4
,,setahun lalu,Faisal Reza Sukmawan,Local Guide,758 ulasan,"Tempat ini hampir setiap hari ramai karena asyik dijadikan tempat makan & tempat nongki bareng/ngobrol santai sambil mendengarkan live accoustic music dari musisi lokal, angkringannya juga enak, murah dan banyak pilihan, cuman ya memang tempatnya outdoor tanpa atap jadi misbar (kalau gerimis bubar)...",4
,,8 bulan lalu,Ardian Rahcman Prasetiyo,Local Guide,276 ulasan,"Angkrinngan mas kini di jogja. Bener bener tempat anak muda, dan keluarga kumpul. Gak usah bingung milih makanan atau minuman. Buanyak pol. Bisa milih lauk yang banyak buanget macemnya. Dan yang terpenting murah . Makan bertiga dengan banyak ambil makanan cuman habis 78 ribu. Kekurannganyankalau makan disana pas ujan jadi keujanan, karena kebanyakan mejandan kursinya di outdoor",5
,,8 bulan lalu,Frans Prasetya,Local Guide,342 ulasan,"Lokasi di kota Yogyakarta, samping timur alun alun utara kota Jogja. Tidak jauh dari malioboro.
Tempat nyaman, enak buat nongkrong di sore atau malam. Recomended di Outdor jika tidak hujan.

Menu angkringan lumayan lengkap, mulai dari makan berat dengan berbagai sayur dan lauk, gorengan, sundukan, camilan sampai jajanan pasar ada.
Minuman juga lengkap, mulai dari kopi, teh, jeruk sampai minuman tradisional ada. Recomended untuk pesen Es TAPE SUSU.

Untuk harga relatif menengah ke tas, minuman start dari 4rb, sedangkan sate satean pertusuknya 5rb. Untuk menu lain ada yg start dari 3rb.

Fasilitas lain :
Ada mushola disekitar jadi kalau mau shalat tidak susah.",4
,,10 bulan lalu,Lucky Aditya,Local Guide,91 ulasan,"Tempat yang asik untuk nongkrong bersama teman, pilihan menu makanan dan minuman sangat beragam, kalau datang di akhir pekan siap-siap untuk menghadapi antrian baik untuk memesan makanan maupun untuk mencari tempat duduk. Yang paling asik disini, kita akan dihibur dengan sajian live musik, kalau beruntung bisa menyaksikan penampilan dari Tri Suaka dan kawan-kawan disini.",5
,,2 bulan lalu,a lisnanto gathi,Local Guide,1.056 ulasan,"Tempatnya strategis ditengah kota, luas dan banyak tempat duduknya. Menu makanannya ada aneka jajanan dan juga bisa makan berat dengan nasi. Harganya cukup terjangkau asal tau diri ngambil secukupnya.",3
,,setahun lalu,suci annisyah,Local Guide,52 ulasan,"Tempatnya berada di deket alun alun utara jogja. Lokasinya mudah dijangkau, datang pada saat malam senen pun masih ramai. Cuma pada saat pesan, lama untuk antri bayarnya. Menu nya khas angkringan jogja.rasanya standar tetapi Banyak pilihannya. Untuk harga sangat terjangkau. Sayangnya pada saat datang sedang tidak ada trisuaka.",3
,,8 bulan lalu,Agung Tresna,Local Guide,108 ulasan,"Angkringan terlengkap selama stay di Jogja. Relatif lebih ""meyakinkan"" dibandingkan angkringan yang memakai gerobak.

Plus
Harga bersahabat,
tempat parkir luas,
Tempat makan banyak,
Banyak pilihan makanan. Mantap

Minus
Mba yang jaga biar murah senyum.
Antrean kadang panjang kayak uler.
Wedang jahe kemanisan 😐",5
,,3 bulan lalu,Aris Arisandi,Local Guide,23 ulasan,"Mampir kesini setelah jalan jalan di Malioboro, paling cocok dateng kesini emang malem ya. Salah satu angkringan favorite saya di daerah Alun alun. Disini ada live music juga jadi kita bisa nongkrong sambil nyanyi nyanyi. Tempatnya selalu ramai apalagi malam minggu. Kebetulan saya visit pas malam minggu, jadi lumayan susah nyari kursi buat duduk.",5
,,setahun lalu,David S Tedjo,Local Guide,108 ulasan,"Pendopo lawas salah satu angkringan legend di alun2 yogyakarta
Sebenernya viral karena penyanyi yg bagus banget suaranya Bapak Tri Suaka
Sayang pas aku kesana lagi ga manggung kata masnya orangnya muter2 indonesia hahaha

Harganya murah banget, rasanya bener2 khas angkringan
Price : 1k-20k (tergantung menu)
Vibes :5/5 (ada live music)
Rate : 4,7/5",5
,,setahun lalu,M. I. Mappasenge,Local Guide,575 ulasan,"Sebetulnya gak ada niat mencicipi angkringan ini, kebetulan lewat lihat orang mengantri dan tiba tiba jadi pingin. Untuk sate satean mengecewakan, sate usus tiada rasa, sate babat hanya manis rasanya, sate uritan bumbu tidak terasa, tahu bacem hanya rasa tahu tanpa rasa bacem, soun goreng seperti tidak dibumbukan dan yang cukup enak hanya oseng2oseng teri. Harga lebih tinggi dari angkringan sejenis. Entah kenapa tempat ini sangat sangat ramai.
Tidak rekomen dan cukup sekali....",1
,,9 bulan lalu,halim budiono,Local Guide,292 ulasan,"Kaget harga makan nya aja nih, baru sekali ke sini, ramai, tapi tempat dengan live musik nya oke sih. Harusnya ada price tag nya, biar gak kaget pas di kasir. Kayak kejebak 🤣 …",2
,,setahun lalu,yuda tama,Local Guide,246 ulasan,"Tempat nongkrong yang asyik di jogja. Terletak di sebelah timur alun2 utara yogyakarta. Menu yang disajikan menu angkringan yang merakyat tapi nikmat. Minuman pun terdapat banyak pilihan,, setiap hari pasti ramai. Kalau mau kesini sebaiknya reservasi saja dulu kalau mau dapat tempat. 😃😃😃 …",5
,,9 bulan lalu,norma presdiana,Local Guide,203 ulasan,"rasa sebenarnya b aja, tp vibe’nya yg dicari dsini,…tempatnya luas, dipinggir jalan, ada live music & bisa request lagu dengan saweran, varian satenya banyaaak…
harga sangat terjangkau, cuma minumnya yg kurang puas mnurutku, pake plastik jadi rasa wedangannya berkurang…",4
