PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Pengantar Kopi,,,,,,,
,https://www.google.com/maps/search/Pengantar Kopi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,qotrun Nada,-,2 ulasan,"Kesini pas hari terakhir di Jogja, kopi nya enak bgt juga murahh. Kebetulan cuma jalan kaki dari tempat penginapan, ga sengaja ketemu mas2 itu manis bgt kek rasa kopinya🥲 maps do your magic mau tau Instagram mas2nya hahaha😭 …",5
,,sebulan lalu,Irawan Budiarto,Local Guide,48 ulasan,"Tempatnya kecil, buat nongkrong enak. Cuma parkirannya terbatas. Untuk kopi harga 15k enak.",4
,,2 tahun lalu,temanjalanmamang,Local Guide,351 ulasan,"Mau cari tempat ngopi yang di tengah kota banget tapi harga murah banget gak masuk diakal? Ya kesini aja. Enak pula. Lebih enak lagi bisa joinan Pengantar Kopi X Baso Malang, Pengantar Kopi X Nasi Goreng, Pengantar Kopi X (apa aja mas-mas gerobak dorong), gak enaknya cuma satu..

..semut di pohon jambunya jahat-jahat.",5
,,2 tahun lalu,Andika Rachman,Local Guide,18 ulasan,"Tempatnya kecil dan sederhana ditengah-tengah pemukiman. Jadi tidak direkomendasikan membawa mobil karena jalan yang sempit dan tempat parkir yang sangat terbatas. Harganya cukup terjangkau, rasa kopinya juga not bad lah.",4
,,3 tahun lalu,sandra,Local Guide,14 ulasan,"Kopinya enak dan harga juga terjangkau. Untuk menemukan tempat ini, memang harus melihat GPS dulu karna berada di dalam gang. Tempatnya enak dan cukup ramai. Suasananya juga hangat sehingga membuat betah untuk berlama-lama. Ketika saya lagu ngobrol, mendadak listrik mati. Tapo gak nunggu lama karna yang punya langsung beli voucher listrik hehe",4
,,setahun lalu,Novantri Dayu,Local Guide,157 ulasan,"Tempat ngopii murah deket stasiun lempuyangan tapi rasanya okee, buat nongkrong sm temen sampe closing, haha! Fasilitas ada tempat parkir meskipun nggak cukup luas karna berada di dalam gang dengan lingkungan yg  cukup padat penduduk, ada toilet, dan juga wifi. Yuk sini-sini cobain trus kasi kritik dan saran biar makin mantep🔥🤟✨",5
,,4 bulan lalu,Endah Ratnaningsih,Local Guide,18 ulasan,"Tempatnya agak hidden gem dan cukup sempit, tapi teduh dan nyaman. Baristanya baik2 dan murah senyum. Parkir gratis. Minumannya enak. Colokan listrik banyak. Soon, adain produk makanan dong kak hihi.",5
,,3 tahun lalu,ebed noorjaman,Local Guide,32 ulasan,"Kedai kopi yang terletak di tengah pemukiman ini sangat nyaman dijadikan tempat nongkrong sore. Karena lalu lalang kendaraan tidak terlalu banyak dan suasana jogjanya kuat. Anda tidak akan menyesal untuk ngopi di Pengantar Kopi.
Untuk menunya, Es  Kopi Susu Aren mantab. Kopinya terasa, ditambah susu segar yang lembut dan gula Aren yang pas.",5
,,4 minggu lalu,Pasuria Christine Situmorang,Local Guide,108 ulasan,Americanno peach nya kurang balance. Tapi vibes nongkrongnya nyaman banget siiih,4
,,3 tahun lalu,Rizal Mazhar Ramadhan,Local Guide,93 ulasan,Tempat minum kopi terbaik di Kota Yogyakarta. Letak nya tidak jauh dari stasiun Lempuyangan hanya berjalan kaki sekitar 1km. Yg jaga sangat ramah sekali. Terbaik dan recommended pokoknya. Tempat nya juga cozy kok. Sukses trus yaa mas. Salam hangat dari Surabaya. 1927  X 1929,5
,,7 bulan lalu,Abu Karima Muhammad Haidar,Local Guide,7 ulasan,"Parkir motor tersedia, mobil harus didepan gang..",4
,,3 tahun lalu,Jericha Claudia,Local Guide,21 ulasan,"ya rasa kopinya udh ga perlu diragukn, enak soalnya buat aku pas lah. tempatnya jg nyaman. tapi barista nya lebih sering senyum dong, kasian pelanggannya dijutekin ato didiemin, nti malah kabur hehe.",5
,,3 tahun lalu,Belajar Analog Bareng Kartika,Local Guide,102 ulasan,"Lokasi persis depan Laura Backpacker 523, Kopinya enak, harga terjangkau, dan tempatnya nyaman",5
,,4 tahun lalu,yudi haryadi,Local Guide,90 ulasan,"Tempatnya enak ada pohon jadi adem, apalagi kalo pesen es coklatnya.
.
Kita mampir ke sini buat ngopi sekalian istirahat. Main dr bandung ke jogyakarta pake motor.",4
,,2 tahun lalu,Dani Mooi,Local Guide,14 ulasan,"Tempatnya enak kayak rumah sendiri, harga terjangkau, parkir tidak luas",5
