PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Pink Elephant 101 Tugu,,,,,,,
,https://www.google.com/maps/place/Pink+Elephant+Coffee+%26+Lounge/data=!4m7!3m6!1s0x2e7a583075f3536b:0xd0af8c4af03e3099!8m2!3d-7.7841923!4d110.366779!16s%2Fg%2F11c0qpr45_!19sChIJa1PzdTBYei4RmTA-8EqMr9A?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Joseph Imanuel Bagus,Local Guide,8 ulasan,"Pink Elephant Coffee & Lounge berlokasi sangat startegis yaitu berada tepat di selatan ikon kota Yogyakarta yaitu Tugu Pal Putih. Melihat kondisi dalamnya, anda akan di sambut dengan waiter/waitres yang sangat ramah. Dari segi kenyamanan tempat sangat nyaman sekali untuk mencari tempat untuk refreshing, berkumpul dengan teman teman. Untuk segi produk cukup dari mocktail, beer, cocktail, dan masih banyak lagi. Untuk pecinta alkoholic sangat recomended. Semua minuman yang anda ingin akan dibuat oleh bartender handal Andang yang sudah memiliki pengalaman banyak dalam dunia bar dan mixology. Jangan lupa jika singgah ke jogja atau pun buat teman teman yang suntuk, galau, atau yang lain mampir ke Pink Elephant pasti akan happy anda setelah singgah di Pink Elephant.",5
,,2 tahun lalu,Leo Albert Situmorang,Local Guide,19 ulasan,"Kalo stay di 101 Jogja ya nongkrongnya disini, lokasi tepat di halaman hotel.. buat sekedar ngebeer so goodlah",4
,,2 tahun lalu,Adinda Prawesti,Local Guide,132 ulasan,Tempat yang cukup nyaman untuk chill .. promo nya juga asik2 ditambah waiters yang ciamik juga..,5
,,9 bulan lalu,Yordan Aulia,-,2 ulasan,Shout out to mbak salsaaaaa super uper well served!!!!! Gilss ku kasih rating 10000000. Tempatnya juga enak. Drinksnya juga oke. Semuanya ramah!! Enak bgt. Trus logonya gajah warna pink lagi!!!! Love it!!!,5
,,3 tahun lalu,Dendylq Albahrie,Local Guide,50 ulasan,"Tempat yang cocok buat nongki bareng temen2,cocok buat liburan malam.",5
,,3 tahun lalu,Arif R,Local Guide,474 ulasan,"Suka dengan tempatnya dan kopi nya juga lumayan ""nendang""",5
,,2 tahun lalu,M Nurhayat Nur,Local Guide,297 ulasan,Tempat santai di balkon hotel 1o1 cozy tempatnya enak buat ketemuan,4
,,3 tahun lalu,Agus Kurniawan,Local Guide,23 ulasan,"Tempat bagus, bersih, pelayanan ramah,tempat strategis",4
,,3 tahun lalu,Alexander Dimas Kelvin Jonathan Hutabarat,Local Guide,346 ulasan,"makanannya kurang enak padahal mahal, ekspektasi saya tinggi:""))",3
,,4 tahun lalu,Angel Anaz,Local Guide,97 ulasan,"Tempatnya cozy, makanannya enak apalagi pizzanya yang gede enak banget. Selain itu banyak promo menarik, pertama kali kesana dapet free cocktail cosmopolitan, kali kedua kesana dapet diskon 20% dan tiap kali kesana selalu ketemu mbak Desi, server yang friendly jadi bikin nyaman dan betah kongkow di Pink Elephant.",5
,,3 tahun lalu,adi hendriawan,Local Guide,150 ulasan,"Awalnya susah carinya, kudu blusukan via maps dulu, tp setelah ketemuuu beuhhh tempatnya bener bener nyaman gaes..

Tinggal milih aja berbagai macam masakan, harganyapun masih masuk dikantong",5
,,3 tahun lalu,CN at Work,Local Guide,62 ulasan,Live musicnya pas akustik bagus banget..karena kafe terbuka banyak perokok. Tidak rekomen untuk bawa keluarga karena bisa terrkspose rokok. Harusnya dipisah antara perokok dan non perokok..,2
,,2 tahun lalu,rahmad edy,-,4 ulasan,"Saya order lewat gofood Pelayanan masakan lama,,,driver gak boleh masuk....gak menghargai drivernya....mending gak usah dibuka lewat ojol",1
,,3 tahun lalu,Tegar Sipahutar,Local Guide,400 ulasan,Bagus - nyaman untuk hang out,5
,,4 tahun lalu,DADI SATRIO WIBOWO -,-,2 ulasan,"Tempatnya asik , nyaman, pegawainya widi friendly . Recommended banget buat nongkrong bareng temen-temen .",5
,,3 tahun lalu,elida ayu,Local Guide,43 ulasan,"Tempat semi indoor, bagus dan minuman beragam. Alkohol n non alkohol ada. Makanan juga ada. Hanya saja restroom nya jauh. But all oke.",5
,,4 tahun lalu,Lusi A,-,3 ulasan,"Tempat nongkrong enak, ada live DJ nya jg. Snack lumayan enak. Waiter/s nya cepat.",5
,,4 tahun lalu,Frista Novita,-,3 ulasan,"Tempat nya asik , service nya oke , minuman bikinan mas andang top 👍🏽 …",5
,,3 tahun lalu,Mohammed Faryd,Local Guide,39 ulasan,"Tempatnya asyik, banyak pilihan menunya, kalau main ke Tugu Jogja, wajib mampir ke sini.",3
,,3 tahun lalu,Tri Susilo,Local Guide,245 ulasan,Nyaman....harga lumayan,3
,,3 tahun lalu,Marqo Rwk,Local Guide,58 ulasan,Harga murah pelayananya ramah sopan.. masaknya sangat mantul... lezat,5
,,3 tahun lalu,Sbastian Keiyndra,Local Guide,129 ulasan,Saya suka suasana dan pelayanan nya yg super ramah.,5
,,3 tahun lalu,lukman hakim,Local Guide,18 ulasan,Nongkrong asik murah meriah,5
,,2 tahun lalu,DESTRI AFU (AFU),Local Guide,29 ulasan,Kurang maksimal pepayanan nya soal makanan.,2
,,3 tahun lalu,Mutiara mutiara,-,3 ulasan,Gojek bukan pengemis orderan dr resto ini..,1
