PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Q  Q Karaoke,,,,,,,
,https://www.google.com/maps/place/Play+Executive/data=!4m7!3m6!1s0x2e7a5774ad20a1ad:0x304c111d85faa60a!8m2!3d-7.8154735!4d110.383911!16s%2Fg%2F1hm3k_sln!19sChIJraEgrXRXei4RCqb6hR0RTDA?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Trisna Dealova,-,1 ulasan,Tempat nya nyaman.parkiran luas.pelayanan baik untuk play eksekutif,5
,,3 bulan lalu,eddy susanto,-,1 ulasan,"Tempat bagus, sound enak, atmosfer yg asik dan menyenangkan",5
,,3 bulan lalu,Cherlina Aziz,-,4 ulasan,"Sound Ok
Tmpt lbh privacy
Pemandu lagu ramah2",5
,,4 tahun lalu,Nurakhman Maman,Local Guide,235 ulasan,Cocok buat yg ingin Have fun😁 …,4
,,7 bulan lalu,Rokim Yuwono,Local Guide,38 ulasan,Kasir karoke play tdk sportif..kerjasama dg LC untuk menambah jumlah uang jam kerja LC,3
,,setahun lalu,abdul azis,-,8 ulasan,"Parkir luas, service oke, best karaoke jogja banyak promo ....
Play karaoke
Info & reservasi
081227066668",5
,,setahun lalu,Witarsih Soebakir,-,6 ulasan,"Lumayan bagus, keamanan okay, cba klo pilihan lagunya lbh lenhkap pasti TOP bgt,, 😂👍🤘🙏 …",5
,,setahun lalu,rosa nita,-,3 ulasan,"Parkir luas,tempat bersih,soundnya oke..sangat menyayangkan pelayanan sangat mengecewakan..",3
,,setahun lalu,nanang ardiansyah,-,7 ulasan,Pernah kos di depan nya dan ngojek di sana lumayan bisa buat nyambung hidup,5
,,setahun lalu,Anissa Sasongko,Local Guide,83 ulasan,Tempat yang bersih dan nyaman serta  karyawan  yang di luar dan di dalam ramah semua,5
,,setahun lalu,Lord Kuyang,Local Guide,204 ulasan,"Seru, masih menjadi salah satu yang terbaik di Jogja saat ini. Tidak banyak orang tau",4
,,3 tahun lalu,Girli Chanel,Local Guide,101 ulasan,"Tempat hiburan yang nyaman, parkir luas",5
,,3 tahun lalu,maston,-,1 ulasan,halo pslm...sy smalem  berkunjung  ...sangat kecewa dgn pemandu yg tdk profesionsl...perbaiki agar plm lebih maju,1
,,2 tahun lalu,Nic M3,Local Guide,104 ulasan,"Pilih LC yg benar-benar bisa bernyanyi jd tarif mahalnya ga rugi, bukan yang hanya bisa kuat minum dan keluar masuk room ga jelas",2
,,5 tahun lalu,Adhi Pratama (Adhi Pratama),Local Guide,237 ulasan,Tempat okey sihh..barr juga mantap..masuk gratis..no HTM.  Tp sayang untuk room terlalu mahal.. Mngkin jika buat kelas menengah kebawah terlalu keberatan.. Minuman jg kurang komplit. Trllu mahal jg ..,4
,,setahun lalu,Setiawan EA,Local Guide,73 ulasan,"Pemandunya cantik-cantik, tapi ngk tahu didalamnya kayak apa, soalnya blum pernah masuk.",5
,,5 tahun lalu,Dea aka,Local Guide,19 ulasan,"Saya sih GK Hobby tmpt beginian jd GK tertarik, sama Ja sprti jenis club' malam dan karaoke dgn guide cewek2 gt,
Bagi yg suka tmpt ini mesti asyik...
Bagi yg GK suka ya gpp....",1
,,setahun lalu,Danie Silva,-,26 ulasan,Ada harga ada kualitas.. Ini tempat class vvip,5
,,6 tahun lalu,Syarif fish dan Vivian Aquarium,Local Guide,305 ulasan,Dekat rumah. Banyak orang mabuk di sini.,2
,,3 tahun lalu,Muhammad Rinto,-,1 ulasan,Trima kasih buat palms ikut serta meriahkan ultah istri say.. Pakak e palms istimewa,5
,,9 bulan lalu,Hani Setiawati,Local Guide,106 ulasan,Tempat hore hore. Live music.,5
,,7 bulan lalu,Darma Di,Local Guide,235 ulasan,t4 nya d tengah kota.mudah trjangkau.pas buat hiburan yg hoby musik dangdut,4
,,2 tahun lalu,Akbar DK,Local Guide,117 ulasan,"Lokasi dan fasilitas bagus, Kk nya ramah 👭😘👍 …",4
,,3 tahun lalu,Ryan Docomo,Local Guide,57 ulasan,"Suasananya cozy, palagi bila di temani para ladiesnya.",4
,,2 tahun lalu,suzy syasa,Local Guide,70 ulasan,"ada paket hemat...utk karaoke,bisa nembus area hall house music👍😎💚👌 …",4
