PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
QM Merapi,,,,,,,
,https://www.google.com/maps/search/QM Merapi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Den Nur,-,2 ulasan,"Pemilik ramah, tempat nyaman, menyediakan oleh-oleh khas Merapi 👍",5
,,3 tahun lalu,Mom traveler Indonesia,Local Guide,15 ulasan,"Tempat bersih, makanan istimewa, paket murah meriah, parkiran luas, rekomended buat kunjungan komunitas",5
,,5 bulan lalu,Dian luky,Local Guide,38 ulasan,Nyaman ... buat istirahat dan makanannya murah enak 👌👍,5
,,3 tahun lalu,Dwi Atmaja,Local Guide,5 ulasan,"Servicenya oke 👍👍👍👍 , lokasi pas pingir jalan ""sukka""👍🏽👍🏽👍🏽 …",5
,,2 tahun lalu,hanry tahta,Local Guide,10 ulasan,"Tempat yg nyaman ,sejuk dan bersih buat keluarga ,meeting dan acara ulang tahun dll...makanannya konsep tradisional enak sekali dan sangat rekomendasi, pelayanan ramah sangat membantu dalam pemilihan menu dan setup tempat...gak nyesel deh hadir disini dgn pemandangannya😍😍😍😍😍😍😍👍👍👍👍👍👍 …",5
,,2 tahun lalu,Achmad S,Local Guide,89 ulasan,Tempatnya nyaman dan sejuk,5
,,setahun lalu,Bu Yani,-,8 ulasan,"Tuan rumah nya ramah banget,, cocok buat istrhat dan makan",5
,,3 tahun lalu,Warung widy Hot delicious,Local Guide,112 ulasan,"Tempat rapi dan bersih.
Masih dalam proses pembangunan.
Semoga lekas selesai biar bisa mampir.",5
,,2 tahun lalu,richo afrender,Local Guide,17 ulasan,Rekomen banget..enak buat ngopi gaes,5
,,10 bulan lalu,Eka Bayu,Local Guide,205 ulasan,Ok bgt,4
,,2 tahun lalu,RNP 26,Local Guide,17 ulasan,"Tempatnya nyaman, makanannya enak + free wifi",5
,,2 tahun lalu,nusaxa creative,-,2 ulasan,Mau WA kok ga da nomer WA,3
,,11 bulan lalu,Tasa Purwoko,,,,5
,,10 bulan lalu,Pram.,,,,4
,,2 tahun lalu,Adin Pradita17,,,,5
,,9 bulan lalu,Ayu Novita Sari,,,,5
,,2 tahun lalu,Veronica Iyhan,,,,5
,,3 tahun lalu,Dwiataya,,,,4
,,2 tahun lalu,Najieb putra mas,,,,3
,,8 bulan lalu,Atang Voltage,,,,5
,,11 bulan lalu,Anton Priambodo,,,,4
,,7 bulan lalu,theo pradipta,,,,5
,,2 tahun lalu,Hermanto Hermanto,,,,5
,,2 tahun lalu,Hermanto Hermanto,,,,5
,,2 tahun lalu,Hermanto Hermanto,,,,5
