PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
RUMAH ANNISA,,,,,,,
,https://www.google.com/maps/place/Rumah+Makan+Annisa/data=!4m7!3m6!1s0x2e7a57b1ce1414e1:0xc17d3dd2ba999491!8m2!3d-7.8298923!4d110.3658062!16s%2Fg%2F11c0t9tn82!19sChIJ4RQUzrFXei4RkZSZutI9fcE?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
,,6 tahun lalu,Devi Setyono,,,,5
