PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Ramtos Bar  Grill,,,,,,,
,https://www.google.com/maps/search/Ramtos Bar  Grill jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Zimbah Castro,Local Guide,45 ulasan,Sejenis cafe berbentuk angkringan yang nyaman buat ngobrol dan nongkrong...harga bersahabat..,5
,,7 bulan lalu,sukmo widyantoro,-,1 ulasan,Es teh paling enak se asia tenggara....,5
,,3 tahun lalu,Jono DA,-,5 ulasan,"Bisa nongkrong seharian, yang jaga sopan dan ramah",5
,,6 tahun lalu,Anne Shakka,Local Guide,604 ulasan,Ini angkringkan kok jadi bar dan grill yak,4
,,4 tahun lalu,Pastor Albert,-,7 ulasan,Nikmat,5
,,3 bulan lalu,Inung Piscok,,,,5
,,6 tahun lalu,ruaya. co,Local Guide,10 ulasan,Akhir bahagia yang abadi,5
,,10 bulan lalu,Dita Pranoto,,,,5
,,10 bulan lalu,Koka Pranoto,,,,5
,,10 bulan lalu,Herudiktus Cahya Sixen Hawayanto (blorok-bahak),,,,5
,,6 tahun lalu,Okik Endarbasuki,,,,5
,,4 tahun lalu,langodai rusilawati,,,,5
,,4 tahun lalu,Tomy Tengku,,,,5
,,4 tahun lalu,Oerip Soedradjat,,,,2
,,6 bulan lalu,theresia alit Kurniawati Unggul Pamungkas,,,,5
,,4 tahun lalu,Sugeng Tamtomo,,,,3
,,10 bulan lalu,Presti Nataya,,,,5
,,6 tahun lalu,Arif Fauzan (Ozan),,,,3
,,3 tahun lalu,Nupik widagdo,,,,4
,,10 bulan lalu,Maria Koka,,,,5
,,10 bulan lalu,Maria Koka,,,,5
,,10 bulan lalu,Maria Koka,,,,5
,,10 bulan lalu,Maria Koka,,,,5
,,10 bulan lalu,Maria Koka,,,,5
,,10 bulan lalu,Maria Koka,,,,5
