PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Rocket Chicken Karangmojo,,,,,,,
,https://www.google.com/maps/search/Rocket Chicken Karangmojo jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Wiwik Rahayu,Local Guide,266 ulasan,"Pelayanan cepat ramah
Beli 10 bungkus untuk oleh2 kerabat
Parkir mobil tersedia , ada petugasnya
Resto bersih dan cukup luas untuk dine in
Pas datang dalam keadaan sepi karena masih pagi",5
,,setahun lalu,finkan fera,Local Guide,21 ulasan,"Tanpa pajak ya, biasanya rocket lain paket 1 selalu gaada Alhamdulillah disini ada 😀 sauce level nya banyak🥰 pokoknya enak dibandingkan beberapa rocket yang pernah saya coba …",5
,,5 bulan lalu,Sidiq Eko Prasetyo,Local Guide,294 ulasan,"Rocket Chicken disemua daerah standarnya sama

Mulai dari desain interiornya, tempat cuci tangannya, Tempat parkirnya dan yg pastinya semua iru standar pas untuk kenyamanan Customer yg datang

Dari sisi Harga cukup terjangkau

Masukan aja, sediakan stop kontak di beberapa titik agar kami yg habis dari perjalanan bisa numpang charge HP

Terimakasih",5
,,5 bulan lalu,Sinta Dwi Prihastuti,Local Guide,30 ulasan,Mbak mbaknya ramah dikit bagus lho mbak. Pas beli ayam ada promo perkedel 2.5k gede dan enak. Sukak 👍 …,4
,,4 tahun lalu,Ahmad Agus Mahfud,Local Guide,224 ulasan,"Ayam krispie murah, enak, tempat bersih, cuma antrinya itu kadang harus berdiri 30 menit baru dapet giliran pesen. Pelayanan memuaskan sih. Parkiran juga luas, menu ayamnya komplit, menu minumannya juga komplit. Cocok untuk makan siang istirahat.",4
,,sebulan lalu,Empi Wahyudi,-,20 ulasan,"Tempat makan yang dekat dengan akses jalan ,pelayanan juga ramah ramah",5
,,5 bulan lalu,Rizqon F Akbar,Local Guide,91 ulasan,"Outlet nya dimana-mana melanglang buana,",5
,,3 tahun lalu,Wahyu TD,Local Guide,191 ulasan,"Tempat luas.
Pelayanannya diperbaiki lagi, banyak pelayan tapi yg kerja kurang cpt.
Kebersihan juga perlu diperhatikan.",3
,,5 bulan lalu,BRAHMA KUMBARA,-,1 ulasan,"Kasihanilah konsumen mu
Gara2 pegawai mu apakah hanya karena menu kosong asal main cancel tanpa memikirkan pas ujan2 dateng",1
,,5 bulan lalu,ORANGDARI MASADEPAN,-,1 ulasan,"Kalok menu kosong jangan main cancel kan ada opsi lain
Udah dateng pas ujan2 lo apa gak kasihan",1
,,4 tahun lalu,Yulia Adiasti,Local Guide,78 ulasan,"Tempatnya ckup luas, nyaman & bersih,,, pelayanan baik, harga cukup terjangkau,,, makanan & minuman bervariasi, ada nasgor, steak, friedchicken, ayam geprek, dll,",5
,,setahun lalu,GOJEK GUNUNGKIDUL Yatman,Local Guide,181 ulasan,"Makanan enak, mantab, klu mager bisa pesan lewat gojek👍 …",5
,,setahun lalu,Ali Mustofa,Local Guide,410 ulasan,"Menunya mantabb, rasanya uenak dan tempatnya nyaman. Parkiran disini juga lumayan luas.",5
,,4 tahun lalu,Harian Pakdhw (Jauhari),Local Guide,414 ulasan,"Rasanya Juara, kalau kecepatan layanan bisa ditingkatkan akan terasa lebih Istimewa",4
,,4 minggu lalu,atin andrean,-,57 ulasan,"Tempatnya nyaman buat anak2 ,,,",4
,,10 bulan lalu,Yudha Nanda,-,4 ulasan,Belom ada jam 9 kok udah tutup mana bini ngidam lagi,1
,,4 tahun lalu,Rosa Fitriana,Local Guide,191 ulasan,"Agak lama nunggu makannya, karena ayam yg dipengin habis dan blm ready",4
,,setahun lalu,Desy Nita,Local Guide,20 ulasan,"Pelayanan ramah. Bersih... Cm skrg hrg jg lebih mahal gara2 ada pajak 10%, jd agak sepi gak seramai dulu.",5
,,3 tahun lalu,S N K G Vlog,Local Guide,83 ulasan,Mantap lahhh.. harga terjangkau,5
,,setahun lalu,Finari Asti,Local Guide,25 ulasan,"Tempat strategis, parkirannya juga luas, bisa untuk beberapa mobil, rasanya seperti pada umumnya",4
