PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Roetin Coffee,,,,,,,
,https://www.google.com/maps/search/Roetin Coffee jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,ambar megasari,Local Guide,169 ulasan,"Tempatnya agak tersembunyi, hahaha... Areanya luas, ada outdoor dan indoor. Outdoornya estetik batu2 ala cafe kekinian, bagian indoor jawa klasik. Hihihi..
Kemarin pesan : kentang goreng 15 K, okelah
Yakult milk 13 K, bolehlah
Halu berry, enak loh. Wajib coba. Hahahaha 20 K
Regal milk, ini juga enak nih. Kalau ga suka cofee bisa pilih ini aja 13 K
Owl coffee yaaa kopi 🤣🤣🤣",5
,,5 bulan lalu,Desty Gitaningtyas,-,4 ulasan,tempatnya enak banget walaupun lokasinya terpencil 🥰 makanan dan kopinya juga affordable dan rasanya enak! top banget deh buat WFH! ❤️ …,5
,,sebulan lalu,Rully,Local Guide,46 ulasan,"Cukup nyaman untuk kongkow dengan teman, apalagi ngopi sama kawan2 komunitas, cukup luas tempatnya juga enak angin sepoi2 dari depan dan belakang, ada tempat nyaman di belakang tapi kalo hujan gak bisa di tempati karna terbuka.",5
,,2 bulan lalu,dedy setiyo nugroho Nugroho,Local Guide,141 ulasan,"Tempat ngopi yg asik banget nih.. Kopinya enak, tempat luas dan nyaman nih... Recommend banget buat ngopi sama temen atau keluarga..",5
,,4 bulan lalu,Rangga Gumilang,Local Guide,39 ulasan,"sangat rekomended buat nongkrong bagi anak muda, wifi juga kencang, pelayanan mantab dan terbilang luas",5
,,5 bulan lalu,Yoel Laksono,Local Guide,44 ulasan,"Kedua kalinya dateng ke tempat ini, sayangnya belum sempet malam hari mainnya baru pagi sama siang jadi gatau suasana malam. Tapi asik sih suasananya.
Untuk Wifi kenceng sih, aman banget. Baristanya ramah, tapi ... kurang greget cara layaninnya, awal masuk disapa tapi yaaa gituu lemes bangett.
Untuk stock beans manual brewnya tolong di perhatikan. Sayang banget hari pertama dateng ke sana cuma ada 1 pilihan, hari ke dua dateng ga ada sama sekali alias stock beansnya habisss. Terpaksa mesen ice americano🙃 Untuk makannya aman. overall ttp recomend tapi ditingkatkan pelayanan dll, thxx",4
