PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Rujak Lotis,,,,,,,
,https://www.google.com/maps/place/Warung+Rujak+Lotis+Dan+Kelapa+Muda+%22Mbah+No%22/data=!4m7!3m6!1s0x2e7a5822d63abcad:0x4df3f3e2536e5bbb!8m2!3d-7.7865442!4d110.3578171!16s%2Fg%2F11c6z04pwz!19sChIJrbw61iJYei4Ru1tuU-Lz800?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,della novitasari,Local Guide,39 ulasan,"Tempatnya sederhana, pake tenda gitu dipinggir jalan. Gak nyangka sih bisa nemu ini tempat makan lotis dan rujak. Sebenernya bumbunya enak, cuma pas pesen disini agak pedes. Oiya es buah nya enak banget lho kalian harus coba. Ada cita rasanya tersendiri.",5
,,5 bulan lalu,Muhammad Radityo,Local Guide,330 ulasan,Mantab,5
,,5 tahun lalu,Ghazz Max,Local Guide,237 ulasan,"Rujak dan lotis yang cukup lengkap buahnya ,,harga mutah cocok buat kantong mahasiswa ,,Pelayanan dari Mbah No sendiri yang mengutamakan servis yang baik ,,buat mas ajik agar sering membantu Mbah no jualan",5
,,3 tahun lalu,Bang Samin,-,592 ulasan,Depannya ada penjual lotis terkenal. Kalo tempat lebih kerennya Hostel Omah Badran. Persis di depan Gang Badran RW X,5
,,3 tahun lalu,anita dewi fatimah,Local Guide,97 ulasan,Buahnya selalu segar dan bumbunya pake kacang sangrai top,5
,,4 tahun lalu,Fauzan Hermanu,-,50 ulasan,Lotis dan rujak pakai bumbu jawatimuran (pakai kacang dan pisang mentah) mantap,5
,,5 tahun lalu,Aji Apriyanto,Local Guide,55 ulasan,"Mantaapp rasa, makasih untuk testimoninya mas gazy. Siap laksanakan",5
,,setahun lalu,Nurma Mubarok,Local Guide,104 ulasan,Harga sesuai lah sama tempatnya juga,3
,,setahun lalu,Deasy Bianca,Local Guide,50 ulasan,Enak pokonya segarrrrr,5
,,3 tahun lalu,Theodorus Danang,Local Guide,128 ulasan,buah e banyak. enak. seger,5
,,2 tahun lalu,Yandha Rasyid P,Local Guide,39 ulasan,Enak rujaknya,5
,,setahun lalu,Takia Zendi,-,12 ulasan,Mbaknya cantik hot 🤣🤣🤣 …,5
,,3 tahun lalu,Omah Badran,-,1 ulasan,rujak mbah No juaraaa,5
,,3 tahun lalu,entong jogja,,,,5
,,5 tahun lalu,Iss Iss,-,2 ulasan,Josssss,5
,,6 tahun lalu,Eezme Tara,-,1 ulasan,Aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,5
,,4 tahun lalu,Rizki Ali,,,,3
,,setahun lalu,Hendy Setiawan,,,,5
,,2 tahun lalu,Arif Basuki,,,,2
,,2 tahun lalu,꧋ꦲꦼꦲꦼꦏꦺꦴ,,,,5
,,3 tahun lalu,Sophian Hadi Susanto,,,,5
,,5 tahun lalu,Azeca Mariano,,,,2
,,2 tahun lalu,Red Fruit,,,,5
,,2 tahun lalu,Red Fruit,,,,5
,,2 tahun lalu,Red Fruit,,,,5
