PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Rumah Makan Bonda Merapi,,,,,,,
,https://www.google.com/maps/search/Rumah Makan Bonda Merapi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,Mata R,Local Guide,272 ulasan,"Baru sekali kesini, mampir makan saat karya wisata ke merapi. Sepertinya ini resto untuk acara gathering dan wisata jeep, bukan resto utk orang per orang

Parkir luas banget, ada persewaan jeep, suasana masih hijau pedesaan

Minus mushola kecil kalau untuk rombongan dan toilet gelap",3
,,setahun lalu,eR Isnadi,Local Guide,262 ulasan,"Mau makan, mau nyanyi, mau nongkrong ataupun mau naik Jeep nyusurin Merapi juga bisa. Tempat nya asyik banget, nyaman, jauh dari keramaian. Menu makanan banyak banget, jadi tinggal pilih aja. Soal harga yaa... tetep ramah di kantong. Puas dengan layanan disini. Semoga tahun depan bisa mampir ke sini lagi.",5
,,3 bulan lalu,Bang Zaboen,Local Guide,49 ulasan,"Tempat makan yg cukup luas untuk rombongan.
Ada fasilitas panggung dan sound.
Parkir sangar luas dan dekat dengan layanan sewa Jeep tour Merapi
Kebersihan meja makan mungkin bisa lebih ditingkatkan oleh pengelola.
Makanan yg enak goreng ayam sama sate jamurnya yang unik.
Harga standar saja..",5
,,6 bulan lalu,Naelul Andrianto,Local Guide,24 ulasan,"makanannya kurang untuk ayam bakar warna nya pucet sperti ayam diungkep bukan dibakar, sate nya juga cuma dikasih 2biji , wkwkw tp sambel nya enak. untuk makanan nasi box juga sama , ayam bakar nya pucet ayam gorengnya ga crispy warna nya juga masih pucet",4
,,5 hari lalu,Aly Fikry,Local Guide,442 ulasan,"Makanannya lumayan enak, fasilitas masih terbatas, apalagi musolanya imut dan menggemaskan",5
,,3 tahun lalu,Ardita Kurnia,Local Guide,122 ulasan,"Saya dari Solo, trip dengan temen2 kantor 30 orang pesan h-2 secara online WA. DP trasnfer dan sangat rekomended! Makanan enak. Fast response. Bisa jadi opsi kalo mau berkunjung ke daerah merapi. Di depan resto juga ada sewa jeep merapi. Josss!",5
,,2 bulan lalu,Arvel Raka,-,6 ulasan,Susana nya sangat indah. Saya bisa melihat gunung merapi dari kejauhan. Ketika malam/pagi hari jika kita melihat keatas langit maka kita bisa melihat bintang bintang yang indah.,4
,,setahun lalu,Dewi Umi Maimunah,Local Guide,172 ulasan,"Tempatnya enak, luas. Sayang waktu kesini yg dipesan apa yg disajikan apa. Agak sedikit kecewa sih. Tpi emang qt waktu kesini kecepetan 1 jam😁. Maklum persiapan kurang. Janjian jam 8 eh jam 7 udah nyampe. Pantes sih kalo persiapan kurang. Tpi recomen kalo mau kesini. Musolanya luas, kamar mandinya jg bersih. Andalannya Jamur..mantap …",4
,,5 tahun lalu,Aan Faizin,Local Guide,136 ulasan,"Parkir luas, tempat nyaman dan sejuk. Jika ingin menikmati lava tour juga terdapat base camp dekat rumah makan ini, fasilitas lain juga tersedia disini.",4
,,3 tahun lalu,Astoto Nugroho,-,38 ulasan,"Kalo nyari di google Map. Jangan salah ketik ""Bundo"" yang benar ""Bonda"".
Suasananya enak, nyaman. Parkiran mobil luas, bus juga bisa. Makanan berfariasi, hasil bumi masyarakat sekitar. Ada homestay yg murah meriah, musholla, WC juga lengkap.
Rekomendasi untuk yg jomblo, atau pengantin baru atau acara keluarga.",5
,,setahun lalu,Gusnwang Abdtif,-,232 ulasan,Restonya nyaman dan bersih jauh dari keramaian dan jalan besar,5
,,6 bulan lalu,Muhamad Jamil,Local Guide,130 ulasan,Mengesankan sekali berada disini. Pas dateng kebetulan hujan... Berasa banget touring di merapi nya. Pas sampai langsung disuguhi prasmanan di resto bonda merapi.,5
,,7 bulan lalu,Arif Setiawan,Local Guide,20 ulasan,"Lumayan sih... seru untuk makan bareng2..cuma Ayamnya agak kurang matang, trus penataan lingkungan coba dibikin lebih asri lagi...biar pengunjung makin betah..",5
,,4 tahun lalu,Rudy Susanto,Local Guide,117 ulasan,"Bagus , nyaman , untuk menunggu jeep yg antar kita tour , makanannya enak , murah , pelayanannya ramah",5
,,3 bulan lalu,Riko Aditama,Local Guide,23 ulasan,"Pelayanan bagus, tempat nyaman dan bersih ,makanan enak",5
,,11 bulan lalu,fajar susanto,Local Guide,259 ulasan,Tempat naik dan turun tour jeep letaknya di daerah karanggeneng Cangkringan Yogyakarta. Tempat makan dan area parkirnya sangat luas sekali. Tersedia banyak gazebo..suasana nyaman...,5
,,4 tahun lalu,Yayang Fredyono,Local Guide,35 ulasan,"Tempat nyaman luas, menu makanan beragam dan enak..",5
,,4 tahun lalu,Sugeng Riyadi,-,64 ulasan,"Assalamualaikum wr wb

Subhanallaah, Alhamdulillah, Laailaaha illallaah, Allaahuakhbar, laahaula walaquwwata illabillaah",3
,,8 bulan lalu,heru beka,Local Guide,506 ulasan,Cuma menunya kurang variatif....pelayan agak cuek dg kebutuhan pelanggan...makanan biasa saja.,3
,,setahun lalu,rina afilia,Local Guide,91 ulasan,"Habis naik jeep agenda disini
Wuuuhh
Ajiiippp

Menu sate jamurnya enduuuul 👍👍
Saran aja.
Bisa dijadikan frozen
Jadi buat yg mau beli menu sate jamur bisa terobati meskipun tdk kesana",5
,,setahun lalu,Rendra Saputra,Local Guide,121 ulasan,Masakan khas jamur memang mantaaap 👍👍 …,5
,,4 bulan lalu,mahesa jenuh,-,21 ulasan,"Kereeeen...
Ayo di bantu buat parkiran nya",5
,,2 tahun lalu,Nurul Af-idati,Local Guide,150 ulasan,"Ini rumah makan yg cukup oke di area merapi. Meskipun lokasinya bukan di jalan utama tapi tetap mengutamakan servis. Rasa bintang 5, harga kaki lima, pelayanan cepat... Ada mushola, kamar mandi yg bersih dan area parkir luaas.. top deh",5
,,8 bulan lalu,Alfarizi Project,Local Guide,8 ulasan,Salah satu Check Point jeep Merapi,5
,,5 tahun lalu,Dwi Ari Murti,Local Guide,118 ulasan,Resto dengan konsep resto group/rombongan untuk wisatawan. Parkir bus luas meski jalannya agak masuk kedalam (tidak di pinggir jalan utama). Untuk rasa dan harga sudah lumayan namun alangkah lebih baik apabila ada penambahan ruangan/dibikin 2 lantai agar rombongan tidak bertubrukan. Karena sayang sekali resto dengan konsep group namun tempat makannya tidak terlalu luas.,3
