PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
SENJA coffee to go,,,,,,,
,https://www.google.com/maps/search/SENJA coffee to go jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Vera Ningsih,Local Guide,93 ulasan,"Awalnya ragu dengan cafe ini karena kayaknya sempit kalo dilihat dari luar. Iseng iseng kesini beli Ice Coffee Orange deh seharga 25k. Dan ini enakkkk segerrrr, cuman kopinya kurang kerasa. Lalo mau strong, bs ngmg ke baristanya deh..

Sambil ngerjain tugas disini di lantai 2, eh  ditemani angin sepoi-sepoi..
Kusarankan kesini kalo malem aja, karena di lantai 2 cuman mengandalkan Angin Cepoi dan kipas stand yg anginnya cuman 1 meteran aja jangkauannya :')

Wifi kenceng, kursi empuk (ini yg bikin betah hahaha), worth it lah kesini!!
Butttt, disini tu minumannya almost pake plastik yg (sebenarnya) bisa dipake ulang, cuman banyakan orang pada buang ke sampah, sad bgt..
Dan sedihnya ga bs request pake gelas hiks hiks.. semoga ada perbaikan dr manajemen agar punya misi buat mengurangi sampah plastik yaaa ;))",5
,,7 bulan lalu,Reza Narendra,Local Guide,260 ulasan,"Kafe bagus banget buat lokasinya jg enak dijangkau, bangunannya 2 lantai, kalau dilantai 1 ada AC tapi kalau naik ke lantai 2 cuman ada kipas & modal angin sepoi-sepoi. Menu-menunya banyak, makan & minum terutama kopi-kopi nya enak

Pelayanan jg bagus, rekomendasi bagus sih ini buat nongkrong biasa ataupun mau kerjain tugas tapi gak pengen suasana rame yg ""rame banget"", nah ini bisa jadi tambahan lokasi kafe bagus walaupun tempatnya kecil 👍",5
,,8 bulan lalu,Amalia Rizki Ardiansyah,Local Guide,24 ulasan,"Cocok buat melipir bagi yang mau meeting dadakan. Ke sana pukul 11, sepi banget berasa nyewa satu ruangan buat sendirian, lantai atas ya.

(+) tempat sangat bersih, barista ramah, wifi memadai, minuman bisa diupsize kalau daftar aplikasi, jual oleh2 bakpiaku

(-) ngga ada mushola, sediih :' , lantai atas non ac, ada 1 kipas angin aja ya, jadi kalau hawa jogja lagi menyengat yaa terimalah dg lapang dada xixi (solusi duduk di pinggiran biar dapet angin sepoi)",5
,,5 bulan lalu,Ana Ike,Local Guide,106 ulasan,"Kopi lumayan, cirengnya enak banget, suasana cukup oke di lantai atas. Parkiran terbatas kalau bawa mobil.",4
,,setahun lalu,temanjalanmamang,Local Guide,351 ulasan,"tempatnya gak seluas Jakal/Godean ya. tapi super duper pewe, kondusif banget. seating area-nya mostly ada di lantai 2, tapi emang enak banget di lantai atasnya tuh. kalau sore bisa lihat senja sekalian. ya kalau siang agak anget yaa..

suka banget sih ngabisin sore di sini, wifinya ngebut btw, bikin lupa waktu!",5
,,5 bulan lalu,- Fallawarukka -,-,3 ulasan,"tempatnya bagus, tampilannya juga keren tapi minusnya belum ada genset jadi kalo mati listrik ya gelap-gelapan nunggu sampai hidup dulu",4
,,sebulan lalu,Theodora Noven,Local Guide,30 ulasan,"Kopi senja wajib coba banget sih
Harga nya agak pricey ya
Tempat nyaman cuman dilantai bawah agak panas",5
,,4 bulan lalu,Fitra Arie Budiawan,Local Guide,72 ulasan,"Tempat ngopi yg cozy di sekitar malioboro, outdoornya enak buat kerja sambil lihat lalu lalang bis.",5
,,2 bulan lalu,Yolanda Valentina,Local Guide,57 ulasan,"Selalu mampir kesini kalau ke Jogja. Kopi enak, cookies jg enak, tempat oke, pelayanan baik.",5
,,2 bulan lalu,Ali Brutal,Local Guide,15 ulasan,"Enak BUANGET, pas dtg lagi sepi pengunjung, berasa cafe sendiri hahaha, kopinya mantep, agak beda dr standar coffeshop lain",5
,,seminggu lalu,ぴっぴくろっぴ,Local Guide,57 ulasan,Panas banget tempatmya gak ada ac padahal mahal kopinya sekarang mending ke jakal,1
,,setahun lalu,a lisnanto gathi,Local Guide,1.056 ulasan,"Cabang dari senja coffee yg ada di jalan godean dan jakal. Tempatnya memang lebih kecil. Lantai 2 lebih luas tapi tidak ada ac. Enak sih buat ngopi sore-sore. Parkirannya agak kecil, cukup repot jika bawa mobil.",3
,,11 bulan lalu,Dea Florensia,Local Guide,152 ulasan,Tempat terbaik buat nugas. Menu favorit: ice cappuccino less ice ekstra salted caramel syrup. Ntaps,5
,,setahun lalu,dyah widyastuti,Local Guide,68 ulasan,"Gak sengaja nemu di gofood, ternyata minumannya enak. Bsk paginya oenasaran, dtg langsung ksana. Tempatnya bersih, walau gak terlalu luas, dan rasa minumannya jg enak2",5
,,sebulan lalu,Al Ghuroba79,Local Guide,345 ulasan,"Cafe nyaman dan bersih, minuman lengkap, tersedia roti juga.",5
,,setahun lalu,Florencia Irena,-,12 ulasan,"Tempat nya nyaman, makanan dan minuman enak 👌🏻👌🏻 wajib banget mampir …",5
,,setahun lalu,Agatha Vestra,Local Guide,188 ulasan,Nyaman bgt buat ngopi di tempat atau bisa jg buat take away.. solusi yg pengen ngopi Senja tp kamu ada di sekitar Malioboro.. bisa dipesen pake aplikasi online juga.. favoriiiittt,5
,,setahun lalu,Deny Ilham,Local Guide,12 ulasan,"Tempatnya minimalis, paling favorit sama red Velvet nya.. mantap",5
,,7 bulan lalu,Tjahyo Setiyo,Local Guide,94 ulasan,"Sipp lah..tempatnya nyaman, bersih cocok biat ngerjain tugas kuliah..",5
,,7 bulan lalu,Natalia Rupilu,-,4 ulasan,"Ambience bagus, bersih, karyawan ramah & baik. Kalau nyesuaiin ke selera pribadi, harga menu sepadan sama rasa dan porsi, cenderung generous lah, sampe tisu sama plastik yg buat take away pun ada logonya. Nice details. Nice work, keep it up! Terusss konsep ruang lantai atasnya interesting, hehehe, ngasih impresi sama experience baru 😀 soalnya jarang-jarang nemu kafe yang ruang gedenya pakai angin trobos",5
,,11 bulan lalu,Astry Vionita,Local Guide,41 ulasan,"Tempat pewe sekali, minumannya enak. Mas kasirnya baik bangettt, kan minuman aku tumpah yah, eh masnya gantiin dengan minuman yang baru. Padahal aku bilang mah gausa :(. Sukses terus senja coffee. Pelayanannya bagus sekalii💕 …",5
,,setahun lalu,Savrina Prabandari,Local Guide,28 ulasan,"Nilai plus: buka pagi jam 7, bisa utk kuliah pagi sambil nunggu anak pulang sekolah. Makanan dan kopi enak (meski opsi makanan terbatas dibanding Senja coffee yg di Tata Bumi). Barista ramah. Minusnya lantai 2 non AC dan cukup berisik ketika ada kendaraan lewat di depannya..",5
,,11 bulan lalu,Kiki Hikmah Analusia,Local Guide,47 ulasan,"Coffeeshope terdekat dari hotel. Enak kopinya, kamar mandi bersih, dan suasananya enak banget. Mantep banget racikan baristanya disesuain sama yg ga terlalu suka kopi. Nice.",5
,,8 bulan lalu,Artando “Doni” Sadewa,Local Guide,106 ulasan,"Tempatnya nyaman, baristanya ramah.. gak terlalu rame.. enak buat nugas, banyak colokan..",5
,,setahun lalu,Nina Puspita,Local Guide,73 ulasan,"Coffee shop kecil tp nyaman, yg penting menu nya enak2 plus wifi kenceng bgt.. cocok buat yg pd nugas or download, belinya pake aplikasi senja, kumpulin poin bisa dpt free produk..",5
