PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Sakapatat Social House  Resto,,,,,,,
,https://www.google.com/maps/search/Sakapatat Social House  Resto jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Nunuk Ambarwati,Local Guide,409 ulasan,"Hmm... be ready aja kalau mau kesini ya gaes. Artinya, pastikan menunya, waktu kamu mau berkunjung, mau slow chill hangout sama temen atau emang niatnya mau fun. So, meja meja bisa jadi sudah penuh terreservasi kalau pas ada event tertentu, apalagi nobar nonton bola, bisa puenuuhh. Siapin cukup uang juga, check check 👌

Disini lebih tepatnya buat seru seruan bareng temen aja, ngga cocok buat ngobrol rada serius. Kalau live band nya start perform, jika juga harus ngobrol lebih keras, soundnya oke. Jadi ambience nya ajeb ajeb gitu Gaes.

Kalau mau cari menu minuman macem macem bir, wine dan minuman beralkohol - banyak disini. Banyak promo juga. Saya lihat juga banyak ekspatriat kesini. Stafnya ramah, cool tapi nice. Menunya sudah digital ya. Interior kafe juga berkarakter, industrial banget.

Tempat parkir tampaknya ngga bisa muat banyak kendaraan roda 4 sih waktu kesitu. Saya ngga tahu juga apa ada lokasi parkir lain.",4
,,4 bulan lalu,Euricha Fany,Local Guide,90 ulasan,"Bentar biar gw edit review gw lebih tertata 😅

Jadi 2x kesini, 1hari sebelum & sesudah tahun baru. Karna tahun barunya jalanan agak gila 😅

• Untuk ambience nya terbagi 3 sih menurut gw. Per areanya gak terlalu gedhe atau kecil juga tp nyaman semi private yg bisa bikin mood. Bisa yg mau agak tenang lebih indoor, bisa yang di halaman aja ada beberapa meja ngitarin area table bar tengah, tengah itu yg paling rame karna pasti buat Qty yg gedhe, yg cm berdua atau tiga lebih yg di pinggir². Ada taman, ada rumput, berasa di teras belakang rumah sih, dan dalem rumahnya itu yg indoor 🏡

Banyak bule, grup nongki, berdua, bawa anak, atau sendirian laptopan awalnya kek gw, atmosfer orang² nglepas penat aja 💃🕺

• Gw kasih ⭐ 5 buat pengisi live musicnya hari Jumat. Gokil banget suaranya enaaaakkk banget. Diantara semua cafe yg gw datengi mengandung live music, disini sih yg paling enak so far. Dan kebawa vibe tahun baru kali ya, geng bule di tengah dan di table sebelah sebelah gw semua keliatan enjoy nyanyi bareng. Cukup buat gw nilai penyanyinya adalah band yg Berhasil 👍

• Untuk beveragesnya cukup banyak ya. Berhubung gw gak ngebir jd gak bisa info banyak 🤣 cuma dr baca menu aja, bisa barcode keluar semua tuh per kategori menunya. Pilihan birnya banyak dr yg internasional & lokal, harganya pun gw liat sih terjangkau (yg menurut gw sih nomer 2 paling murah di Jogja buat tempat sosial kayak gt). Kalo rasa paling ya semua bir sama kan ya dimana mana rasanya toh udah ada merk masing masing 🤣

Yg pasti buat frappenya manis bgt wkwk 😅
Yg lain ngebir gw ngefrappe ya kan,, mungkin karna gw juga udah less sugar jd manis bgt di lidah gw, mungkin emang alkoholnya lebih enak disini dr ps non alcohol. Banyak juga isinya, gw gak abis tuh frappe segelas, krimnya ampe atas 🍦

Jadi kedua kesini gw netral minum air mineral+gelas es aja wkwk 🤣 tp botolnya mayan gedhe sih, kirain dikit taunya gak abis abis ampe kembung 🙈
Note: kalo gak bilang pake gelas (+ice) pelayan cm kasih air mineral botol aja ya 🥤

• Makanannya juga enak. Worth the price. Gw kaget gw kira B aja karna gk banyak orang pesen makanan. Awalnya mau pesen potato wedges tp liat di menu Belgian Fries nya MUST TRY gitu dan gw kira ya kentang² aja oh nggak ding 🤣 enak emang Belgian Friesnya, sampe krispi remahannya aja enak! Terus chicken wing chili n' salty juga iseng banget asal pilih yg pedes, laahh sambelnya ENAK banget baru ini gw makan chicken sampe sambel sambelnya di makan utuh padaha iya pedes banget di bibir, dan untung gw pesen Air Mineral, gak yg manis, karna makanannya pasti gk akan sama rasanya kalo lidah kena minuman manis 💁

Gw gk akan bilang enak kalo emang gk enak, tp ini beneran worth sih ama harganya + kenyang, banyak kok tp lupa brapa potong 🐣 MUST TRY!!

Untuk billnya:
Pertama tuh frappe + summer shandies + tax 78,500
Kedua tuh 3radler + air mineral + chicken wings + fries + tax 227,500",5
,,3 bulan lalu,afriniadini,Local Guide,204 ulasan,"Cari tempat hangout malam yang asik di jogja, disini salah satunya apalagi kalo suka sekalian minum bir ya ( tapi saya tidak ya ✌️ karena memang tidak minum seperti itu )beberapa kali ke tempat ini karena memang suka ambience nya. Walaupun ramai tapi masih tetap bisa menikmati suasana yang ada disini. Makanannya pun enak enak dan minuman non alkohol nya pun banyak pilihan hanya saja jika lewat jam 9 variasi minuman non alkohol nya terbatas. Untuk server nya juga ramah2 walaupun ada satu kali pernah kesini dapat mbak mbak yang serving order jutek banget 🥲 tapi tetap nice to try ✌️",5
,,10 bulan lalu,Setan Alas,Local Guide,33 ulasan,"Tempat yang enak buat nongkrong, harga relatif untuk kelas menengah ke atas. Makanannya enak enak, italian pizza nya cocok buat nemenin minum beer.",5
,,4 bulan lalu,Dea Putri,Local Guide,96 ulasan,Seru buat nongkrong ramean. Vibesnya kan emang bar yak jadi ya gitu lah. Makanannya enak kok. Minuman ada yg alkohol dan non alkohol.,5
,,seminggu lalu,Ardini Ratnasari,Local Guide,29 ulasan,"Beer n Chill.

Jangan khawatir miisal kalian ga minum beer krn dsini ada menu lain spt mineral water dan ice teaa, banyak jg varian squash.

Unik tempatnya, nyaman buat ngobrol!😆",5
,,2 bulan lalu,Puspita Anggraini,Local Guide,29 ulasan,"Untuk pecinta western food,  ini tempat yang sangat cocok. Ada banyak jenis bir,  atau minuman beralkohol lainnya.
Tamu dari Jepang yg sy bawa ke sini,  suka dengan jenis alkoholnya yg cukup lengkap.  Terimakasih",5
,,2 bulan lalu,giita yolla,Local Guide,83 ulasan,"seru tmptnya, nyaman, service nya bagus price nya jg standart .. pertahankan",5
,,3 minggu lalu,Gregorius Sakti,Local Guide,20 ulasan,"Tempat yang luar biasa untuk bersantai dan menikmati waktu. Suasana di bar ini sangat menyenangkan dan ramah. Mereka memiliki pilihan minuman yang beragam dan unik. Saya sangat terkesan dengan kreasi bartender mereka yang menghasilkan minuman yang lezat dan kreatif. Layanan pelanggan yang diberikan sangat baik, stafnya ramah dan profesional. Musik yang dimainkan di bar ini juga sangat menghibur. Saya sangat merekomendasikan Sakapata kepada siapa pun yang ingin memiliki pengalaman yang menyenangkan di tempat yang santai dan menyenangkan.",5
,,2 tahun lalu,Prilo Sekundiari,Local Guide,183 ulasan,"Nice place to chill out n relax. Kesana pas agak sepi, nyaman buat ngobrol. Pesen beberapa order yg berbeda baik yang alkoholic maupun non alkoholic. Pizza margherita nya agak tipis n terlalu kering. Lain kali akan kesini lagi nyobain menu yg lain.",5
,,4 bulan lalu,Dodie Satrio Wibowo,Local Guide,233 ulasan,Asik banget buat kongkow bareng teman/ keluarga.,5
,,2 tahun lalu,Andri Indriawan,Local Guide,197 ulasan,"Yang suka hangout malam malam di area Jogja dan sekitarnya, kemari aja deh gak nyesel selapn makanan nya enak enak plus Lo semua di sajikan dengan enviroment yang epic dan banyak grafitti yang keren, cobain buat nyemil chicken wing nya mantap jiwa pedasnya, plus T Bone steak nya yang enak ditambahkan mushroom sauce yg creamy bikin kangen makan lagi. So kesini deh mampir kalo ke Jogja",5
,,sebulan lalu,Fitri Maryana,Local Guide,146 ulasan,"Tempatnya kecil, tapi seru .. harga oke sih, biarpun lebih agak mahal dr yg lain, tp suasana nya oke ..
Agak kurangnya disini krn gabisa ngobrol, music nya keras bgt kqrena soundsytem didepan telinga banget ..",4
,,2 bulan lalu,Pink Keke,Local Guide,106 ulasan,"Tempat dinner casual ,cocok buat bawa tamu bule",5
,,3 tahun lalu,MAP,Local Guide,278 ulasan,"Lokasi sesuai GPS.
Tempatnya nyaman, parkirnya memang tidak luas, tapi masih bs diatur di pinggir depan rumah orang, dan diperbolehkan.
Minumannya beragam, untuk saya pencinta coklat, milkshake coklatnya lumayan, harganya juga terjangkau.",5
,,7 bulan lalu,Slamet Slamet,-,3 ulasan,Entah ini yang bikin mabok CHURROS nya atau minuman yang dijual deh. Dimana sih ada Churros dijual seporsi 2 batang doang? LoL gak dapat berkata kata beneran pas Churros yang dipesan diantar ke meja. Churros dengan harga 28K/++ dapet 2 batang doang 🤣🎉,3
,,6 bulan lalu,Emphiet Lerpe,Local Guide,217 ulasan,"tempatnya enak makanannya enak2.
banyak promo pula..
td coba
onion ring Rp29.000
fries Rp29.000
pizza mushroom Rp60.000
saka sunset Rp28.000
bir nya promo guiness 4btl Rp150.000",5
,,8 bulan lalu,Alphonsus Agus,Local Guide,122 ulasan,"Tempatnya cukup. Tidak terlalu besar tapi suasanannya remang remang. Harga minuman cukup fair rasanya standar . Musik tidak terlalu keras sehingga bisa digunakan untuk ngobrol. Pelayanan cukup baik cuman kadang kadang ilang pelayannya, parkiran cukup, intinya lebih cocok buat minum santai",3
,,5 bulan lalu,Jodie Senoatmojo,Local Guide,317 ulasan,"Menyenangkan sekali hangout di sakapatat.

Makanan enak, minuman enak, lokasi premium, harga oke, parkiran cukup.

Rekomen klo mau nge-chill di Jogja.",5
,,setahun lalu,Papa Baldie,Local Guide,106 ulasan,"Suka sama tempat ini, ambience nya masuk, nggak terlalu berisik, tapi juga nggal sepi banget.
Pilihan beernya paling lengkap sejauh yang saya tahu. Untuk minuman alkohol lainnya juga sudah cukup baik, mulai dari soju, vodka, sampai wine ada semua.
Untuk cocktail juga asik, mereka punya signature cocktail.
Untuk yang nggak minum alkohol, tenaaang, mereka juga punya yang non alkohol kok.
Untuk harga minuman variatif, dan untuk sekelas kafe gini nggak terlalu mahal kok.
Lanjut ke makanannya, yang bikin kaget nih. Makanannya nggak mahal gaes, snack mulai dari 20ribuan. Pizza medium mulai dari 50ribuan.
Sayang oh sayang, waktu mau ke toilet, eh toiletnya nggak bisa ngeflush. Makanya cuma bisa kasih bintang 4 (tadinya kepikiran kasih 3), soalnya vital ini nih. You know what alcohol did to your bladder? Please fix it.",4
