PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Solaria Yogyakarta International Airport,,,,,,,
,https://www.google.com/maps/search/Solaria Yogyakarta International Airport jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,sebulan lalu,abdurrahman asri (arrahmanasri),Local Guide,384 ulasan,"RESTO RUJUKAN GEN Z!
Salah satu gerai restoran kekinian yang menjamur di kota kota besar di Indonesia. Mengenai rasanya; sama dengan lainya. standart restoran. Jadi jika bingung-bingung jika ada di daerah yang tidak tahu makanan enaknya mau makan apa, restoran ini bisa jadi rujukan

Berbagai macam pilihan rasa dan varian masakan ada semua. Mulai dari indonesian food hingga chinese food dan western ada semua. gak perlu bingung-bingung pilah-pilihnya

Plus:
Salah satu gerai yang ada di dalam Airport Yogyakarta yang baru sehingga tidak perlu bingung ketika menunggu pesawat

Pembayaran:
Cash, CC, Debit, QR",4
,,5 bulan lalu,attan sanajaya,-,6 ulasan,buat sarapan yg kesiangan nasi goreng enak dan gak terlalu mahal untuk ukuran airport,5
,,4 minggu lalu,fatikha thurochmah,Local Guide,121 ulasan,"Ke sini pas puasa
Pelayanan cepat
Harga oke utk ukuran bandara
Rasa makanan enak sprt cabang solaria lainnya",5
,,5 bulan lalu,Permata Aghna,-,16 ulasan,"Makanannya enak, tapi layanannya bad :) pelayannya terlalu berisik dan cuek, ngambil piring kotornya ga pelan pelan.",3
,,5 bulan lalu,Priyo Wasono,Local Guide,27 ulasan,"Tidak seperti solaria yang ada di mall mall, solaria disini tidak terlalu luas .. jadi jarak antar meja tidak jauh. Terkesan mepet.  Sehingga untuk ngobrol bisnis kurang representative.  Tapi pelayanannya tetap bagus. ...",5
,,5 bulan lalu,Rudy Rahadian,Local Guide,269 ulasan,Nasi goreng solaria memang enak,4
,,sebulan lalu,Raffi Putra,-,1 ulasan,pelayanannya mantap.. judes war biasa... mungkin karena sy berpenampilan lusuh...,1
,,2 tahun lalu,Debora Insiana,Local Guide,10 ulasan,Makanannya hygenis dan cepat. Ada spot selfie juga lho,4
,,setahun lalu,Sofyan Hadisuwarno,Local Guide,1.620 ulasan,Cepat dan rasanya as espected,5
,,3 bulan lalu,Sinta Amardia,Local Guide,6 ulasan,Nasi goreng special  mantaap,4
,,5 bulan lalu,Dimas Raihan,-,3 ulasan,"Untuk makanan okey semua, tapi pelayannya aga kurang. Cuek aja, PMS KAH?",3
,,2 tahun lalu,Nathannael Kresna Yudha,Local Guide,262 ulasan,"Tempat nyaman, masakan enak, pelayanan bagus.",5
,,2 tahun lalu,Ayu Rista Saradani,Local Guide,13 ulasan,"Solaria di manapun rasa nya g pernah fail sih, saran saya sediain baby chair ya",5
,,7 bulan lalu,rina sugiyanti,Local Guide,180 ulasan,Jangan lewatkan kwetiaw gorengnya,5
,,setahun lalu,Natsir Muin,Local Guide,110 ulasan,Suasananya nyaman. Makanan nya enak. Harga mirip solaria diluar bandara.,5
,,setahun lalu,Rayap hp,Local Guide,87 ulasan,"Tempatnya luas dan nyaman,serta parkiran sangat luas,sayangnya dari tempat saya sangat jauh harus ditempuh 2 jam.perjalanan",5
,,2 tahun lalu,Amir Fadli,Local Guide,531 ulasan,"Solaria YIA berada di samping lokasi check in penerbangan bandara New Yogyakarta Internasional Airport
Pilihan menu yang disediakan ada banyak
Tinggal pilih lagi pengenakan apa. .hehe
Harga lumayan. .mahal. .wajar sih. .sambil nunggu cek in buka jika merasa lapar bisa mampir makan minum dulu. .cek in Citilink buka jam 7 pagi,kalau aja datang kepagian seperti saya
Tempatnya luas , bersih , pelayanan baik ramah",5
,,7 bulan lalu,Gede Deh Perut,Local Guide,41 ulasan,makan standaran kalo ke bandara. hahahha,4
,,2 tahun lalu,joko umar,-,16 ulasan,"Sangat bersih, tertata rapi dan pelayanan yg sangat memuaskan. Petugas ramah dan sopan 👍👍👍 …",5
,,2 tahun lalu,Mas Jaer (zaer),Local Guide,29 ulasan,Pokoknya klo ke solarian Menu Andalan Nasi Gorengnya,4
,,2 tahun lalu,Darmawan Joko Prasetyo,Local Guide,556 ulasan,pelayanan memuaskan,5
,,2 tahun lalu,Shinta Prastika,-,392 ulasan,Deket dengan counter check in solaria,5
,,4 bulan lalu,Gede Bagus Bayu Pentium,Local Guide,193 ulasan,"Salah satu tempat makan di dalam bandara. Anda bisa mendapatkan penawaran yang lebih baik di luar bandara, tetapi ada banyak orang yang menawarkan barang kepada Anda (berpotensi scam) jadi jika Anda ingin makan di dekat bandara tanpa repot, Anda dapat mencoba tempat ini.",4
,,4 bulan lalu,arkeii,Local Guide,19 ulasan,Selera yang baik dengan pelayanan yang baik. Tempatnya sangat nyaman dan bersih. Layak untuk dicoba!,5
,,2 tahun lalu,Lita Indah Sari,Local Guide,268 ulasan,"Sarapan pagi sebelum penerbangan pulang, pesan nasi goreng ikan asin yang asin, pedas setelah semua rasa manis Makanan Yogya begitu surga, suasana luar biasa, staf yang membantu, toko bersih, tidak ada yang perlu dikhawatirkan untuk makan di sini selama covid 19 karena ke restoran melakukan protokol kebersihan di seluruh toko.",5
