PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Suqaa food - Steak  Waffle Yogyakarta,,,,,,,
,https://www.google.com/maps/search/Suqaa food - Steak  Waffle Yogyakarta jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Anastasia Wulandari,Local Guide,30 ulasan,"Rasanya mantappp
Ayamnya tebal, sayur fresh, kentang & saosnya enak.. Gak pelit... Recommended..
Crewnya juga ramah, yang pasti harga terjangkau..  Wajib cobain 👍🏻",5
,,5 bulan lalu,Arif Syamsudin,-,3 ulasan,"Tempatnya nyaman dan bersih
Untuk rasa saus spaghetiinya peehhhh enak banget👍👍 …",5
,,5 bulan lalu,Alaina Fatha Nabila,Local Guide,15 ulasan,"Dari Godean pindah cabang ke Sapen, teman-teman yang mau mampir langsung buka maps aja, deket sama SD Muh. Sapen. Dari steaknya udah deh nggak diragukan lagi, rasa juara harga tetap mahasiswa. Mumpung masih promo pembukaan awal langsung gass mampir yees.",5
,,6 bulan lalu,Tiffania latjindung,-,1 ulasan,"Steaknya enakk harga murah ramah di kantong
Ceker mercon yaa pedes ngga maen maenn
Wajib coba",5
,,2 bulan lalu,Ray Akasaka (Rakkun),-,8 ulasan,"best lah. udah 4x beli disini, gapernah mengecewakan 😁",5
,,5 bulan lalu,sweetie,-,1 ulasan,"enakk enak bangett makanan nyaa, pelayanan nya juga sangattt baikk pokonya wajibb bangett cobainn",5
,,5 bulan lalu,tsamrotul fuadah,-,10 ulasan,sangat sangat worth it. rekomended saat makan siang,5
,,6 bulan lalu,Intan Mariana22,-,1 ulasan,"Wow Makanan nya enak banget, pelayanan bagus, suasana nyaman banget ..gw saranin wajib ke sini sih 🌟🌟🌟🌟🌟",5
,,6 bulan lalu,YahDah IrfanZen,-,1 ulasan,"Puas banget makan disini. Udah kaya kfc drivetrue
Baru pesan udah langsung jadi. Keren lah pokoknya ✅🚀🚀",5
,,6 bulan lalu,Nurafni Oktafia,-,7 ulasan,"Tmptnya nyaman, pelayanan cepat, makanannya enak enak, pokonya recommended",5
,,6 bulan lalu,Masru Atun Nuraniyah,-,3 ulasan,"Makanannya enak, higienis jugaaa pokonya best deh",5
,,6 bulan lalu,saling kevan,-,1 ulasan,"Makan nya lezat dan layanan nya sangat istimewa dan tempat nya bersi juga ..., mantap pokok nya🌟🌟🌟🌟🌟🌟",5
,,6 bulan lalu,Tito Gunawan,-,1 ulasan,Gak sia-sia dari sulteng☺️☺️☺️kapan yahh bisa dateng mampir makan lg di tempat ini😔,5
,,5 bulan lalu,Putra Iku,-,4 ulasan,"Makanan yang sangat enak, baru pertama di jogja",5
,,6 bulan lalu,Reni Mardiana,-,1 ulasan,Terenak bangettttt dan Recommendeddd 😍🥰 …,5
,,6 bulan lalu,Dwi Resdianti,-,1 ulasan,Tempat nya mantap makanannya lezat,5
,,6 bulan lalu,Siti Caroline,-,2 ulasan,makanan terenak dan terwort it harganya,5
,,4 bulan lalu,yudhistiro asdi,-,2 ulasan,"Murah, enak",5
,,6 bulan lalu,Akun Husnul,-,1 ulasan,Mantap banget,5
,,seminggu lalu,KimiのMama,-,1 ulasan,Tidak ada udara,5
,,5 bulan lalu,Ananda yasmine,,,,5
,,5 bulan lalu,Rifa Fauziah,,,,5
,,6 bulan lalu,Erika Santi Napitupulu,,,,5
,,6 bulan lalu,Jihan Mulia,,,,5
,,5 bulan lalu,Nafisah Ramadani,,,,5
