PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Sweet leaf drink  chips,,,,,,,
,https://www.google.com/maps/search/Sweet leaf drink  chips jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Gesang Risang,-,2 ulasan,Recoman....tampat nya asik buat nongki .kalo mlam minggu ada livemusik nya ...jedug .jedug..jedug .,5
,,10 bulan lalu,Soe Ko E Lee,-,8 ulasan,"Jangan minum disini, mengecewakan",1
,,9 bulan lalu,Sonam,-,1 ulasan,"Rosa, bos Bar ini, sangat baik kepada kami, mereka memberi tahu kami tentang kota Yogyakarta dan banyak tempat bagus untuk dikunjungi. Dia juga datang berbicara dengan kami saat kami sedang minum bir. Bar untuk dikunjungi di kota ini.",5
,,9 bulan lalu,Isti Khasanah.,-,8 ulasan,"Tempat yang bagus, santai, berpesta, bersenang-senang, sangat ramah
. menu Murah, harus coba dan nikmati",5
,,9 bulan lalu,hndni i,-,1 ulasan,"indah, tempat yang sangat bagus, staf yang ramah. suka tempat ini",5
,,9 bulan lalu,aan susanto,Local Guide,74 ulasan,Bagus,5
,,setahun lalu,Fendy 46,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
,,setahun lalu,home salon,,,,5
