PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
TapHouse Beer Garden,,,,,,,
,https://www.google.com/maps/search/TapHouse Beer Garden jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,Inggou David Purba,Local Guide,547 ulasan,"Tempatnya nyaman, suasana udara malam nya dapat, cukup banyak pilihan menu minuman.

Di seberangnya ada hotel.

Metode pembayaran sedikit, hanya cash dan debit EDC BCA.",3
,,3 bulan lalu,Brenda Yanti,Local Guide,41 ulasan,"Servis dari salah satu bartendernya mengecewakan. Saya datang tanya tower dibilangnya habis, tanya pitcher dibilangnya kosong, trus dijelasin dgn nada agak meremehkan. Akhirnya beli 3 minuman, pas dikasi bill, kita tanya bisa pakai debit atau ngga disuruhnya cash. Sudah kita kasi cash, etikanya kalau ada uang kembalian dikasi dulu, kalau kostumer mau kasi balik ya baru diambil. Ini setelah dikasi uang kembaliannya (meskipun cuma 2rb) gaada dibilang, ngilang aja dia bartendernya. Gak lama ada orang disebelah kita baru datang dia literally belu pitcher (dan ada!!!) lalu bayarnya pakai debet (dan bisa!). Selang beberapa menit ada kostumer lg datang pesen tower, dan ada donggg.
Bravo bgt.",2
,,2 minggu lalu,Arie Putri,-,2 ulasan,"Lokasi depan progo palagan.. View oke, pool nya bisa bikinian.. Makanan n minumannya enak.. konsep seperti beach club di Bali..",5
,,3 tahun lalu,Agus Wicaksono,Local Guide,231 ulasan,"Disaat beerhouse ramai menggunakan design yang modern dan minimalis, taphouse menawarkan design yang gak tau namanya. Ada rumah gak terpakai dan hancur bisa dijadikan ambience yang ciamik, antara vintage dan industrial. Merasakan sekali aura street disana. Ada djnya serta beer tergolong lengkap. Liquornya juga menarik umtuk di ciba. Areanya ada yang lesehan santai menggunakan beanbag ada juga kursi, tersedia berbagai pwrmainan dan makanannya juga enak. Saya terkesan sama pelayanan beli rokoknya. Bisa titip beliin rokok tapi kembaliannya sesuai dengan harga rokoknya. Hal kecil itu membuat impresi saya justru besar.",5
,,3 tahun lalu,Ferri Ramlie,Local Guide,364 ulasan,"TapHouse Beer Garden Jogja adalah beer house yang menghadirkan suasana yang unik. Interiornya menonjolkan kesan bangunan lawas. Ada ruangan dengan dinding yang berlumut, cat yang mengelupas, dan reruntuhan yang sengaja tidak direnovasi.

Untuk penggemar bir, TapHouse Beer Garden Yogyakarta memiliki stock bir yang lengkap. Bisa dipilih, bir putih, hitam, atau bir dengan beragam rasa. Semakin menarik karena setiap harinya, ada promo dengan paket yang berbeda-beda. Ada buy one get one, paket 5 botol bir dengan harga ekonomis, dan varian promo lainnya.

Tak hanya menyediakan bir, tempat ini juga menyediakan mocktail, cocktail, dan juice. Untuk menu makananan, ada sate, iga, burger dan snack.

Taphouse Jogja juga punya hiburan yang terbilang lengkap, ada suguhan musik akustik, musik reggae, penampilan Disk Jockey. Ada juga permainan seperti kartu uno, catur, halma dan lainnya. Bisa juga nonton pertandingan sepakbola Liga Inggris.

#TapHouseYogyakarta #TapHouseJogja #TapHouseBeerGardenYogyakarta",4
,,3 tahun lalu,Kukuh Giaji,Local Guide,65 ulasan,"Iseng ke sini, kayaknya mulai aktif jam setengah 8.

Pesen 1 tower Prost harga 200K, terbilang agak mahal kalau mau dibandingkan dgn JustPlayOn yg cuman 150K.

Tempatnya cozy ada bean bagnya, namun karena areal outdoor jadi kalau hujan gak bisa disitu

Oh ya, aku juga pesen pizza gitulah dan rasanya enaaaaak banget top dah.

Sayang pas ke sini tau tau mati lampu. Tapi tetep happy sih~~~",4
,,3 tahun lalu,Dewa Gede Sedana Yasa,Local Guide,137 ulasan,"Tempat tongkrongan yang asik, konsepnya sangat keren, memanfaatkan bangunan lama namun bisa dibikin unik dan keren.
Pelayanan juga lumayan memuaskan, ada live music yang kebetulan juga mainannya keren juga.
Cuman sayang harga termasuk tinggi
Sangat rekomended untuk melepas lelah setelah liburan atau sekedar ngumpul ngebir sama teman",5
,,3 bulan lalu,wepii kkk,-,2 ulasan,"Masak perkara bayar aja pilih2, saya dateng pake kaos oversize mau bayr pake qr dibilang gabisa wkwk, giliran temen pake baju sexy bisa byr pake qr. Mana bilangnya “kalo mba nya bisa, kalo yg tadi gabisa” tau gitu mending gausa tk bayar wkwkw",1
,,4 tahun lalu,a lisnanto gathi,Local Guide,1.056 ulasan,"Beerhouse yang enak bwt hangout. Tempatnya dkt dengan stasiun tugu dan malioboro. Kadang ada music perform disini dan bisa juga buat nonton bareng. Tempatnya luas, ada yg duduk dan bisa joga pakai lazypod. Bangunanya ckp unil karena bentuknya seperti bangunan yg bwlum jadi. Ada aneka pilihan beer dan snack yg bisa menemani hangout bareng teman-teman.",3
,,3 tahun lalu,natasya bakrie,Local Guide,156 ulasan,"tempat nya seru, beernya murah, banyak pilihan tempat duduknya juga ada beanbag, juga ada live music, suka sih nongkrong disini bakal jadi tempat favourite buat di Jogja",5
,,5 bulan lalu,Ruby Halim,-,1 ulasan,"jam 11 hari kamis tidak ada customer sama sekali, kasir menipu dengan naikin harga minuman, atmosfir tempat 4/10",1
,,5 tahun lalu,Yaqi Arafat,Local Guide,20 ulasan,"Tempatnya bagus dengan konsep bangunan tua. Menu beer cukup lengkap, bahkan ada soju juga. Sayang pas saya coba makan berat ( menu tap's noodle) ada semacam rambut yang masuk ke telur goreng nya :DD",4
,,setahun lalu,Erlyana,Local Guide,176 ulasan,"Dua kali kesini pertama jauh sebelum pandemi, kedua beberapa hari yg lalu sempet nongkrong kesini lagi karna lagi reuni aja, tempatnya sedikit berubah, tapi tetep oke, seru, harga terjangkau, ada live akustik juga, parkir luas, cocok buat nongkrong sm temen temen, hari biasa cuma sampai jam 1 biasanya tutup jam 2 pagi. Thankyouuuu",4
,,2 tahun lalu,Prilo Sekundiari,Local Guide,183 ulasan,"Tempat dengan desain yang unik Dan menarik. Sangat berbeda daripada yang lainnya.

Sempat kesini sekali malam-malam pas jemput teman yang baru datang.",4
