PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Toegoe Resto,,,,,,,
,https://www.google.com/maps/place/Toegoe+Resto/data=!4m7!3m6!1s0x2e7a58244cf9135d:0x7373da95e0ed4f64!8m2!3d-7.7890665!4d110.3634502!16s%2Fg%2F11bzq1ngnl!19sChIJXRP5TCRYei4RZE_t4JXac3M?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Edi S. Mulyanta,Local Guide,574 ulasan,"Tempat bersih luas, lumayan untuk sekadar melepas penat menunggu perjalanan selanjutnya. Ruangan dipertahankan kekunoannya dengan foto-foto sejarah kereta hitam putih.",4
,,5 tahun lalu,feri andrias,Local Guide,230 ulasan,"Lokasi di Stasiun KA Tugu shg bs digunakan semalam sbg tempat istirahat menunggu KA sambil makan. Tempat agak kecil dan sempit, namun rasa lumayan enak",3
,,4 tahun lalu,Nur Indah Fitrianingsih,Local Guide,73 ulasan,Tempat nya ga terlalu luas. Nasi gudeg ati ampela harga 25rb,4
,,3 tahun lalu,Beni Krisbiantoro,Local Guide,315 ulasan,Rasanya biasa saja dengan harga yang mahal.,3
,,3 tahun lalu,Rakanda Pari,Local Guide,25 ulasan,"Salah satu cafe di dalam Stasiun Tugu, Yogyakarta ini cocok untuk teman teman yang sedang menunggu jadwal keberangkatan kereta

Harga yang ditawarkan standar untuk kelas cafe di dalam stasiun. Rasa yang ditawarkan juga tidak kalah enak. Ada fasilitas free Wifi juga",4
,,3 tahun lalu,Nugraha Ramadhan,Local Guide,86 ulasan,"Pengalaman saya di resto ini bersama keluarga kurang menyenangkan. Kami datang ber 5. Pesanan agak banyak, sudah mengingatkan pelayan untuk dicatat pesanannya, tapi tidak dihiraukan. Akhirnya pesanan datang banyak salahnya.

Yang lebih tidak mengenakan, soto yang kami pesan tidak panas sama sekali. Perut lapar turun dari kereta, berekspektasi untuk mengisi perut dengan makanan nikmat, tetapi disuguhkan dengan makanan yang demikian.

Sayang padahal dari segi rasa, makanannya cukup enak.",3
,,3 tahun lalu,Arifan Panjaitan,Local Guide,943 ulasan,"Saat menunggu kereta, lapar, mampir makan sini",5
,,2 tahun lalu,nabila alyanisa,-,4 ulasan,Tempatnya bersih. Tapi harga makanan cukup mahal. Saya beli pop mi 1 dan teh anget 1 habis 20 ribu.,3
,,6 bulan lalu,Tito Yulianto,Local Guide,25 ulasan,Aps buat nunggu kereta..,5
,,6 tahun lalu,Sugiono Arifin,Local Guide,589 ulasan,"Ini adalah alternatif bila Loko Cafe telah tutup. Karenan resto ini bula sampe jam 12 malam.
Makanannya lumayan enak dengan harga yg wajar.
Gudegnya menjadi menu favorit saya.",4
,,3 tahun lalu,Hafiz A,Local Guide,287 ulasan,"Sotonya sih enak, tapi pas ke sini aroma ruangannya pengap, bau ngga sedap. Maaf",2
,,3 tahun lalu,bayu nugroho,-,121 ulasan,Lumayan untuk sekedar manghilangkan lapat sambil menunggu kedatangan kereta,3
,,setahun lalu,Vicko Prabawa,-,4 ulasan,Kalau mau pesan disana apakah ada yang tau nomor tlp disana ya,4
,,setahun lalu,Imon M.,Local Guide,388 ulasan,Yg mau kongkow sambil nunggu kereta datang,4
,,3 tahun lalu,Styx Slash,-,1 ulasan,aduhh kacau.... masa rawon 4 biji 40rb gile looo,1
,,3 tahun lalu,Nayrn Ri,Local Guide,106 ulasan,enak dan lumayan murah,5
,,4 tahun lalu,Apriliano Afdillah,Local Guide,243 ulasan,Cocok buat makan sembari menunggu kereta,5
,,5 tahun lalu,Setiadi Winanda,-,3 ulasan,deket dr stasiun jogja...jadi enak nongkrong dulu,4
,,5 tahun lalu,Den Bibob,Local Guide,210 ulasan,"Bad attitude...harga mahal...ga enak,ga jelas",1
,,setahun lalu,HERI YANTO,Local Guide,69 ulasan,Strategis seputar stasiun Tugu Jogyakarta,4
,,4 tahun lalu,Ny.tukini Cezy (nini),Local Guide,31 ulasan,Tenang dan nyaman meskipun ramai pembeli,5
,,setahun lalu,Tri Krianto Karjoso,Local Guide,24 ulasan,Bukanya terlalu siang,1
,,4 tahun lalu,fitri dwi kartikasari,Local Guide,21 ulasan,B aja,3
,,5 tahun lalu,Atok Widiyanto,Local Guide,69 ulasan,Kurang nyaman tempatnya,3
,,4 tahun lalu,Dudy Jaenudin,Local Guide,19 ulasan,Resto di dalam stasiun,4
