PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
ViaVia Jogja,,,,,,,
,https://www.google.com/maps/search/ViaVia Jogja jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,inggrid yohana,Local Guide,174 ulasan,"One of best artisan bakery, disini roti dan cookiesnya enak. Harganya juga affordable. Cobain yg croissant morinaganya ga terlalu manis trus Crunchy.
Ada parkir mobil dan motor didepan store mereka tapi ga luas. Lokasinya di kawasan prawirotaman sederetan Tempo Gelato.",5
,,setahun lalu,pandhu hadiwinata,Local Guide,165 ulasan,"Via-Via ! Conecting Poeple.. 😂🤣👌
.
Varian maemnya beragam, aku ke via-via pertama pas belum kerja bener, gaji masih 1juta sebulan.. terus janji kalau nanti suatu hari aku akan kembali jajan di Viavia, Allah warbiasa lho,, mendengarkan doaku.. heheheh selain bisa jajan di Viavia, aku juga bisa ikutan acara di rumah Ayam (ini masih milik Viavia). Makanan disini semakin beragam, aku kemarin kesana Nyobain Laksa.. duh gusti, MasyaAllah enaugh Banget !!!!! Kaldunya nendang bundaaa.. Oia acara di via-via dpt konsumsi nasi besek.. duh ya Allah ini endonesiah bgt yg rasanya enaugh tenan.🥰🥰 yg seru kalau weekend ada live music, oiah ada Jamuu juga disini.. wedang Pokak dan Beras kencurnya. JUARAK😍😍😍",5
,,11 bulan lalu,agata vera,Local Guide,123 ulasan,"Disini rotinya dibuat alami tanpa ragi sepertinya menurut dugaan sya lho ini ya, tapi tetap enak lagipula sehat, lokasinya ada di Prawirotaman mudah ditemukan. Saya tidak sengaja menemukan tempat ini kala sedang hunting foto. Banyak produk enak dan sehat yang dijual selain itu harganya affordable juga kok jadi aman di kantong. Healthy food memang setingkat naik harganya tapi bagi saya ini masih masuk akal. Ambience enak dan sejuk juga tempatnya.",4
,,5 bulan lalu,endah febrian,Local Guide,74 ulasan,"Carrot Cake : kurang lembut. Cream cheese nya lumayan.

Beli 3 Cinnamon Roll: Ori, Apple, Choco. Gatau yg saya makan ori / apple, salah satu udah kemakan sama ponakan. Yg saya makan rasa diatasnya manis, terasa banget kayumanis nya & ada kismis. Saya lebih suka yg choco. Wew lebih lembut, rasanya lebih pas. Enak banget paduan choco + kayumanis 😋",4
,,10 bulan lalu,Anantia Prodora,Local Guide,214 ulasan,Baru pertama kali kesini gegara deket rumah tapi sering lewat aja..akhirnya nyobain ke resto sama bakery nya..so far di resto menyediakan berbagai makanan western asian sama indo yaa..harga sekitar 50k an buat main course nya..kl varian minum nya juga beragam start 20k..disini setiap hari minggu malam ada live music nya juga..bakery nya sebelahan sama resto nya jd tinggal jalan kaki aja..harus nyoba cookies nya enak enak..harga nya start 11k yaa..boleh dicoba kl ke daerah prawirotaman mampir kesini,4
,,setahun lalu,Zafirah Hamsyah,Local Guide,60 ulasan,"Pertama kali ke viavia dan cukup puas dengan pelayanannya. Kasir dan karyawan sangat ramah  dalam menjelaskan jenis roti terutama sourdough. Letak bakery 2 pintu dari cafe viavia, desain cafe sangat menarik dan ramah lingkungan.",5
