PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Vino bar,,,,,,,
,https://www.google.com/maps/search/Vino bar jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 tahun lalu,Afiqa Nolla Dianissa,Local Guide,64 ulasan,"Di bagian indoor ada banyak meja, tapi untuk outdoor cuma sepetak di teras bagian depan. Smoking room hanya bisa di outdoor. Di indoor ada meja biliard kecil bebas bisa main.",4
,,6 tahun lalu,damar kahono,-,452 ulasan,"Terletak di area phoenix hotel, areanya tidak terlalu besar. ada meja billiardnya.",4
,,3 tahun lalu,Adisucipto Sucipto,Local Guide,130 ulasan,Joss,5
,,4 tahun lalu,Gringgo Design,-,14 ulasan,Nyaman,4
,,sebulan lalu,Joseph Hahn,-,4 ulasan,"The trainee bartender “forgot” to put any alcohol in the drinks and then when it was brought to her attention, she only put a thimble of rum in each drink (not a shot cup, but the metal base of the shot cup). Drinks obviously weaker than any I’ve ever had. And at 120,000 per drink it is totally unacceptable. We are hotel guests at the Phoenix and would advise other guests to go somewhere else.",1
,,4 tahun lalu,Yoseph Kwantita,Local Guide,91 ulasan,Nice and cozy bar inside The Phoenix Hotel by MGallery Sofitel Jogjakarta . The design of the bar is heritage . Inside you will find big selection of wine and very nice signature cocktail Gin Sling . You can enjoy while youre in town . Recomended! Bar yang sangat nyaman untuk hangout ada meja billiard,5
,,4 tahun lalu,Simon,-,18 ulasan,Nice bar with elegant ambience. Great cocktails - they made a fantastic rum sour. Staff friendly and eager to please,5
,,3 tahun lalu,Lelembut 21,Local Guide,147 ulasan,A nice bar for hang out. Affordable price here.,5
,,4 tahun lalu,Allison Bricknell,Local Guide,63 ulasan,"Nice cocktail, food not incredible",4
,,3 tahun lalu,fatimah nur hidayah,Local Guide,53 ulasan,Coffee holic representated,5
,,5 tahun lalu,STEVANIA SUPRIYANINGSIH,Local Guide,16 ulasan,Gin sling is the best! ❤️❤️❤️,5
,,6 tahun lalu,H. Nishikawa,,,,4
,,3 tahun lalu,ibhey Jaguar,Local Guide,23 ulasan,cozy,5
,,4 tahun lalu,masih bayuu,Local Guide,286 ulasan,Okay,5
,,4 tahun lalu,Harrys Sulistyanto,Local Guide,157 ulasan,Nice place to hangout,5
,,3 tahun lalu,Firdaus Nuzulan,,,,5
,,4 tahun lalu,Nicola Arsyaad,,,,3
,,4 tahun lalu,EDOS,,,,5
,,4 tahun lalu,Robertho Istanto,,,,5
,,4 tahun lalu,dwi novita,,,,5
,,2 tahun lalu,Handoyo Taher,,,,5
,,4 tahun lalu,Iqbaale Imdadurrohman,,,,5
,,3 tahun lalu,SI SEDIH,,,,5
,,4 tahun lalu,Prima Adisaputra,,,,5
,,3 tahun lalu,AAN Production,,,,5
