PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Waroeng Spesial Sambal SS 01 Perjuangan,,,,,,,
,https://www.google.com/maps/search/Waroeng Spesial Sambal SS 01 Perjuangan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,seminggu lalu,Gevin,Local Guide,31 ulasan,"Enak banget, lebih murah dr SS lainnya, mungkin krn tanpa pajak yaa.
Tempatnya di pinggir jalan, di warung2 makan sepanjang jalan kaliurang.
Pilihan sambalnya banyak banget, favoritku yg sambal bajak dan sambal terasi segar,
Kulit goreng bawang dan iga nya juga sukaaa banget.
Tempatnya ramai terus bisa sampai antri.
Waktu tunggu makanan datang sekitar 20-40 menit..",5
,,8 bulan lalu,Theodofilius Hasiholan,Local Guide,45 ulasan,"Makanan, sambel, sayur, dan minumannya enak dan pas rasanya. Pramusajinya ramah, sopan dan santun. Tempat makan tersedia dalam bentuk meja, lesehan meja, dan lesehan tanpa meja. Pencahayaan ruangan juga oke, gk bikin silau.

Cuman siap2 bawa uang kecil karena banyak sekali pengamen, pengemis yg minta2. Utk kasirnya nggk ramah, beda sama pramusajinya. Pembayaran cuman bisa cash aja, gk bisa cashless. Tukang parkirnya minta 2rb, padahal aturan pemda jogja kalau parkir di bahu jalan, utk sepeda motor tarifnya 1rb.",3
,,5 bulan lalu,Anisa,Local Guide,156 ulasan,"32 sambal, 32 lauk, 19 sayuran dan 29 minuman, menu lengkap mau pedas atau tidak bisa juga, makan di meja kursi atau lesehan, hanya yang lesehan tidak ada tendanya jadi kalau musim hujan jadi was-was, pramusaji nya baik, kasir agak jutek, harganya murah dan rasanya enak 👍",4
,,sebulan lalu,Diana Fitri Umami,Local Guide,27 ulasan,"Suka bngt vibes makan disini, menu andalan kalo ke SS jamur crispy, ca kangkung sambal bawang joss telur gobal gabul. Fyi gaess kalo makan disini ga ada pajak tempatnya. Kalo mau bukber datangnya maksimal jam 5 biar dapat tempat. Karena tempatnya terbatas",5
,,sebulan lalu,Fifi Ardhia,-,16 ulasan,"Pengalaman kurang menyenangkan dr pelayanan kasir yg super ketus. Kejadian semalem jam 18.30 (Minggu, 9 April 2023. Alhasil aku gajadi makan disana krn uda sakit hati sm mas2 kasirnya. Lagian karywan itu ujung tombak perusahaan. Meskipun seenak itu makanannya, kalo pelayanannya jelek siap2 kehilangan pelanggan. Kejadian semalem bikin aku kapok ke SS Jakal lagi, pdahal aku pelanggan disana. Orang kaya gtu sangat merugikan pihak SS, sampe kehilangan 1 pelanggan. Semoga ada evaluasi di pihak SS mengenai pelayananannya.",1
,,sebulan lalu,andi dulusana,Local Guide,104 ulasan,"makanan abiss berarti ee? eee? enaakkk 😂
siapkan receh banyak cuy karena kadang pengamen nya rese",5
,,4 bulan lalu,advenus Tambuns,-,8 ulasan,"Pelayanan lama bgt, parkir mobil susah..
Di meja 7 ga ada jendela dan ga di kasih Kipas..",2
,,2 bulan lalu,Misbah Al Munir,-,2 ulasan,"Maaf pelayannya tidak ramah sekali. Tidak seperti yang di warung rumahan ss lainnya. Apa tidak ada pendisiplinan ya? Kami sekeluarga makan disini, minta tolong ke pelayan untuk membersihkan area(piring bekas makan pembeli yang lain) agar kami bisa mendapat tempat duduk. Kenapa responds pelayannya kasar dan minta kami yang membersihkan area sendiri. Apakah etis ya? Semoga lebih baik ya pelayanannya. Jika memang capek tetap berbicaralah dengan baik ke pembeli ya.",1
,,setahun lalu,Delta Setiyarini,Local Guide,107 ulasan,Masakan ss dimanapun selalu enak sih. Cuma ya vibesnya disini kan pinggir jalan yaa jadi beda aja. Naaah biat harganya murah banget aku pesen makanan buanyak cuma habis 70rb ajaa. Tapi sayangnya pelayannya galak sih aku ada dimarahin grgr dudul di tempat yang buat makan buat nunggu huhu,4
