PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Alfa,,,,,,,
,https://www.google.com/maps/place/SOTO+ALFA+LAPANGAN+KARANG/data=!4m7!3m6!1s0x2e7a57de54b031e1:0x668716d85af00bec!8m2!3d-7.8224531!4d110.3970124!16s%2Fg%2F11fmfpbmd2!19sChIJ4TGwVN5Xei4R7AvwWtgWh2Y?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 hari lalu,Nan Ady Wibowo,Local Guide,84 ulasan,"Untuk makanan sebenarnya ini soto yang lezat, hanya saja kuran nendang, rating 3.5 bintang.
Suasana pagi lapangan yang banyak orang olahraga ini menambah menarik.
Silahkan yg mau mampir setelah olah raga, makan di tempat, bawa pulang.
Komplemennya juga banyak tempe, sate usus dan ati ampela.
Semagat terus perjuang keluarga",4
,,5 bulan lalu,intan sera,Local Guide,71 ulasan,"rasanya enak, bening seger
ada tempe kriuk
penyajian cepat
parkir oke
bisa pake tikar dibawah pohon",5
,,3 tahun lalu,Ihsan Handayani,Local Guide,124 ulasan,"Soto ayam ""Alfa"" terletak di depan lapangan Karang Kotagede. Yogyakarta. Sajian khas soto ayam Jogja yang berisi kecambah, irisan tomat. daging ayam.
Tempat teduh dan luas, sangat cocok bagi  berkumpul sanak saudara.",5
,,3 tahun lalu,Arie,Local Guide,295 ulasan,"Untuk soto lumayan enak. Gurih. Ada kripik tempe disini yang enak. Adapula sate untuk melengkapi teman makan. Pelayanan pun cepat dan akurat.
Untuk parkir tempat didepan lokasi. Bisa mobil ataupun motor.
Ada tempat makan untuk kursi tinggi ataupun dengan lesehan. Sama-sama bersihnya",5
,,5 bulan lalu,adhie 07,Local Guide,93 ulasan,Sotonya biasa yg menarik keripik tempenya.,4
,,sebulan lalu,imam wahyudi,Local Guide,11 ulasan,"Lumayan buat sarapan
Soto+nasi bonus tempe keripik",4
,,2 tahun lalu,Restu Aisya Anindhita VW,Local Guide,20 ulasan,"Enak banget,.. ketagihan pokok nya",5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
,,3 tahun lalu,Bang Blegok,-,9 ulasan,Sotonya enak murah lagi,5
