PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Makan Mbok Sri,,,,,,,
,https://www.google.com/maps/place/Gorengan+Mbok+Sri/data=!4m7!3m6!1s0x2e7a592e28abbbd3:0xfc66719af1f46a1!8m2!3d-7.7853712!4d110.3809163!16s%2Fg%2F11fqzv68gq!19sChIJ07urKC5Zei4RoUYfrxlnxg8?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,4 bulan lalu,Alivia Vieraa,-,2 ulasan,"Harga terjangkau, makananya enak dan juga penjualnya ramah",5
,,setahun lalu,Ayu Novanda,-,2 ulasan,"Tahu bacemnya enak dan murah, gorengannya juga mantep ga terlalu banyak minyaknya",5
,,4 bulan lalu,Surya Fendi,-,7 ulasan,"Enak, murah, lengkap. Recomend bgt ini sih",5
,,setahun lalu,Afiifah Yunita,-,2 ulasan,"Enak dan murah kak, apalagi kalo masih anget behh 🤤 …",5
,,setahun lalu,miylue,-,1 ulasan,"bakminya enak ges, murah jugaaa. kl laper sabi kesini!",5
,,2 tahun lalu,irnansyah assaalik,Local Guide,79 ulasan,"Mantap Gorengannya. Gurih sedap. Harganya murah. Ada tempe mendoan , tahu susur, gembus, timus, pisang goreng tahu tempe bacem. Ada bakmi goreng juga 1 bungkus 2k aja . Gorengan tempe 500 rupiah. Tahu 1k. Pas dikantong lah.",5
,,setahun lalu,febrian agung,-,3 ulasan,"Gorengan enak, kalo pagi masih lengkap.",5
,,setahun lalu,Maria Kadarsih,-,2 ulasan,"Gorengan mantull niihh , gurih enak deehh
Setiap penjual gorengan pasti punya cirikhas rasa masing2 , tpi klo mnurut aku ini siihh enaakk ..
nggk nyesel dehh beli gorengan disini , mana penjualnya baik murah lagi  😇 Uwwuuuuw pokoknya ..
Smoga smakin sukses nggeh mbok sri 😇",5
,,setahun lalu,Anisa Dita Priutami,-,5 ulasan,"Favorit bgt sihh, udah langganan jugaaa 🤤 …",5
,,4 bulan lalu,Haryo Prabandaru,-,1 ulasan,"Enak, Lengkap, Murah",5
,,3 tahun lalu,Aris Nugroho,Local Guide,34 ulasan,Gorengan ny enak dan murah meriah,5
,,setahun lalu,Ragaa 002,-,2 ulasan,"Enak, bikin ketagihan tolong😭 …",5
,,11 bulan lalu,Meylisa Restu Indah Safitri,-,5 ulasan,"Gorengan mantap. Banyak pilihannya, harga ekonomis",5
,,10 bulan lalu,Mario Yose,-,1 ulasan,"asliiii enakkkkkk, murahhh jugaa hargangaaa.. maknyosss 👍 …",5
,,setahun lalu,Daffa Amru Rahmanta,-,15 ulasan,Enak & Murah. Recomended sekali,5
,,setahun lalu,Sri Widiati,-,1 ulasan,"Makanan nya enak, murah",5
,,setahun lalu,Reisa WF,-,1 ulasan,Mantabb,5
,,setahun lalu,luthfi sastrodimedjo,-,2 ulasan,"Hangat, hangat, enak.. 😁😁",5
,,2 tahun lalu,adethyadarmawan saputra,,,,5
,,setahun lalu,Rama Ramadhani,,,,5
,,setahun lalu,Rama Ramadhani,,,,5
,,setahun lalu,Rama Ramadhani,,,,5
,,setahun lalu,Rama Ramadhani,,,,5
,,setahun lalu,Rama Ramadhani,,,,5
,,setahun lalu,Rama Ramadhani,,,,5
