PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Makan,,,,,,,
,https://www.google.com/maps/place/Gudeg+Pawon/data=!4m7!3m6!1s0x2e7a57700347cb51:0xed0b575329f65c3d!8m2!3d-7.805718!4d110.3901396!16s%2Fg%2F1pzpwwrgk!19sChIJUctHA3BXei4RPVz2KVNXC-0?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,10 bulan lalu,Difa Lukman,Local Guide,130 ulasan,"Berkunjung Selasa 26/07/2022 utk makan malam. Kami datang sekitar pkl 19.30. Posisi rumah makan nya ada didalam jalan yg tidak terlalu besar, utk parkir mobil menumpang didepan rumah warga disepanjang jalan dekat rumah makan. Klo utk motor ada space parkir dipinggir jalan didepan rumah makan. Ambil makanannya dengan cara antri masuk kedalam dapur, dan dilayani 1 per 1 oleh Ibu nya yg ramah. Nasi sesuai selera, lalu diambilkan gudeg, krecek atau ayam opor sesuai dengan request kita... Gudeg nya enak, empuk tidak terlalu manis. Krecek nya suka sih, pedes n rasanya pas. Untuk opor nya enak, ayamnya ayam kampung, cukup empuk n gurih santan n bumbu nya pas... Recommended 👌👌👌
Rasa = 8/10
Tempat = 7/10
Harga = $$/5 (Nasi ayam opor, gudeg, krecek, telor 46rb)",5
,,setahun lalu,Octavianus Stevie Lianto,Local Guide,45 ulasan,"Kuliner maniac, this place is for you! Gudeg nya nice banget, ayam nya lembut and sooooo tasty. Cecek nya juga aduhaiiii. Tempatnya memang agak masuk ke gang cuman it's worth it! Buka pukul 17:30 and I recommend dateng di jam buka (around 17:15) biar gak antri panjang.",5
,,11 bulan lalu,Maria Vianney,Local Guide,58 ulasan,"Buka mulai pukul 6 sore. Cocok untuk yang mau makan gudeg tapi tidak terlalu manis. Terdapat pilihan lauk seperti telur dan ayam, dan tentunya gudeg + krecek. Untuk minum tersedia wedang uwuh, teh gula batu, jeruk. Banyak pengunjungnya namun tempat yang tersediapun juga cukup luas.",5
,,10 bulan lalu,Randi Andika Hutama,Local Guide,332 ulasan,"Buat yang senang sama gudeg yang asli jogya ini ga rekom sihh... lebih seperti gudeg untuk orang jawa timuran yang tidak terlalu suka manis

Untuk ayamnya lebih seperti opor sih rasanya menurutku...

Tempatnya di gang kalau nyari parkir mobil juga agak susah... saran klo mau kesini jam 6 udah sampai karena antri banget",5
,,10 bulan lalu,Agatha Tanti,Local Guide,152 ulasan,"Cocok utk yg mau kuliner Gudeg tp tdk suka manis, waktu saya datang antriannya lumayan panjang, jd waktu giliran saya ayamnya tgl kepala (msh untung ada sayap 1 yg terselip)",5
,,7 bulan lalu,Steven Kurniawan,Local Guide,31 ulasan,"Untuk lokasi, masuk gang. Saya pesan pakai sayap ayam. Ayamnya empuk dan bumbunya enak. Untuk harga makanan, bervariasi tergantung pilihan menu. Penjual ramah. Pertahankan ya Pak cita rasa masakannya.",5
,,5 bulan lalu,Rahmad Mudjianto Vlog,-,32 ulasan,"Gudeg ini cocok untuk yg tidak terlalu suka manis. Rasa biasa aja menurut saya karena saya pecinta gudeg manis, mungkin klo ada sambal bisa lebih nikmat. Makan disini buka mulai pukul 17.30 antri lumayan panjang, tempat duduk terbatas. Yg unik dari tempat ini adalah saat antri pesan gudegnya langsung di dapurnya, aroma kayu bakar sangat membuat nostalgia kampung halaman.",4
,,sebulan lalu,vonny sulaimin,Local Guide,184 ulasan,Ke sini jam 17-an krn takut susah parkir dan rame. Jam buka jam 17.30. Masuk ke dapur dan pilih lauk sendiri. Rasanya enak krn ga manis. Saya bukan pemggemar gudeg manis jd pas makan ini berasa: Ting! ini yg kumau hehehehe....,5
