PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Sate  Tongseng Kambing Mbah Toeloes,,,,,,,
,https://www.google.com/maps/search/Warung Sate  Tongseng Kambing Mbah Toeloes jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Clara Hetty Primasari,Local Guide,59 ulasan,"Awalnya sempat ragu karena warungnya sepi dan penjualnya belum prepare bahan2 dan tungkunya, tapi setelah kami coba sate dan tongsengnya, rasanya di luar dugaan 👍👍👍👍 dagingnya empuk, rasa satenya tdk terlalu manis, tapi gurih pedas krn merica dan tongsengnya kuahnya sedep banget...mantapp.. bakal balik ke sini lagi.. buat temen2 yg lagi mau ke sini, jangan ragu..",5
,,setahun lalu,imam ferdiyanto,Local Guide,77 ulasan,"Joss satenya! Sejak 1960's Menyediakan olahan daging kambing: sate bakar,  sate goreng,  tongseng.  Resep turun temurun (sekarang generasi ke 2). Cita rasa unik bumbu marinasi, saus kacang,  kecap,  dan tambahan acar. Suasana bangunan warung 1970 an.  Pemiliknya asli Prambanan,  punya kisah2 menarik juga tentang kesaksian sejarah di tempat ini.",5
,,5 tahun lalu,Bang Yazid,Local Guide,1.330 ulasan,Menu sate kambing dan tongsengnya nikmat dan menggoda sangat cocok bagi penikmat kambing untuk mencoba nya. Dan lokasinya pas banget di pinggir jalan raya solo yogya. Mudah terlihat di lajur lambat. Dan harga bersahabat.,5
,,sebulan lalu,Siti nurjanah,-,40 ulasan,"Beberapa kali makan disini, lumayan",3
,,2 tahun lalu,Har Juni,-,1 ulasan,Rasanya enakk sekali apalagi sate dan tongsengnya cocok untuk penikmat kambingg tempatnya juga strategiss,5
,,setahun lalu,bimo silar,-,3 ulasan,Warung Sate Paling Recommended karena Rasa nya Enak dengan sajian yang lengkap.... Top Sekali pokoknya.. 👍🏻👍🏻👍🏻 …,5
,,3 tahun lalu,Agus Widayanto,Local Guide,22 ulasan,Recomended untuk beli sate buat mancal maljum,5
,,4 tahun lalu,Ahmad Thoyyibi,Local Guide,261 ulasan,Uenakk in gaesss,5
,,6 bulan lalu,Maria Kosat,,,,5
,,4 tahun lalu,Yahya Heryah,,,,5
,,3 tahun lalu,Ayu Puspita,,,,4
,,7 bulan lalu,Wawos Wos,,,,4
,,3 bulan lalu,Anindita Anindita,,,,4
,,setahun lalu,Fathi Amani,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
,,4 tahun lalu,Sigitpranotoasmodhimedja Agus,,,,5
