PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung Soto Bu Yani,,,,,,,
,https://www.google.com/maps/place/soto+seger+%26+nasi+pecel+bu+yani/data=!4m7!3m6!1s0x2e7a59c3699b0497:0x12b698871f916986!8m2!3d-7.7915054!4d110.3574248!16s%2Fg%2F11s1ws_3gk!19sChIJlwSbacNZei4RhmmRH4eYthI?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
,,9 bulan lalu,Shinta Monica,,,,5
