PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Warung soto Nikmat,,,,,,,
,https://www.google.com/maps/place/Soto+Mie+%26+Soto+Betawi-Juragan+Soto+Betawi/data=!4m7!3m6!1s0x2e7a576ebc745983:0xdff54fefa5aa2bcb!8m2!3d-7.8135184!4d110.3577418!16s%2Fg%2F11r3w2_m6j!19sChIJg1l0vG5Xei4Ryyuqpe9P9d8?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,9 bulan lalu,Sekar Nirma Arum,Local Guide,22 ulasan,"Soto mie bogor yg enak di jogja!
Rempahnya terasa mantab. Udah berkali-kali makan disini, rasanya tetep enak, ga berubah👍🏻

Harga masih terjangkau dan worth it bgt dengan rasanya. Tempatnya cuma kecil tp cukuplah kalo makan sendiri atau berdua temen☺️",5
,,4 bulan lalu,rendy ndonk,Local Guide,169 ulasan,"Rekomnd juga sih ini, pdahal enak masakan nya tp ndak rame yg beli mungkin belum coba kali ya..
Like it soto mie bogor nya..",5
,,2 tahun lalu,Paulus Samsu Wienarno,Local Guide,220 ulasan,"Warung ini adalah langganan kami sekeluarga, rasanya sangat enak, harga murah, porsi banyak. Dilayani oleh mbak Elly sang pemilik warung bersama suaminya yang sangat ramah. Banyak teman an yang merasa cocok dng masakan. Parkir dipinggir jalan besar, lokasi sangat mudah dijangkau, sebelah selatan beteng Kraton. Ada juga tersedia Gado gado curah ala Jakarta dan Ketoprak dng bumbunya yang amat nendang. Ada menu baru Mie Ayam , enak mie nya kecil tapi lumayan lezat",5
,,2 tahun lalu,Maria Yunani,-,2 ulasan,"Enak rasanya semua menu, harganya terjangkau, mantabs, perlu di coba gitu loh... Pelayanan ramah oleh mbak Elly sang empunya warung , koki yang hebat",5
,,setahun lalu,Arman,Local Guide,587 ulasan,"Soto Bogornya gurih tanpa penyedap rasa, segar dan nikmat + risoles khas bogornya, lain kali coba menu khas betawi lainnya yang nikmat dan harga terjangkau",4
,,11 bulan lalu,Ardi S,-,63 ulasan,Makan soto mie disini rasanya enak seperti soto mie bogor. Dan harganya pas gak mahal,5
,,2 tahun lalu,Alim Mapara,-,1 ulasan,"Rasanya Betawi banget nih Sotonya
Banyak menu tambahan yang lain juga, Soto Mie Bogor, Ketoprak, Gado-gado, Kupat sayur masih banyak lagi....
Rekomen nih Warung Sotonya
kaya di jakarte aje...😁
Mantab 👍",5
,,setahun lalu,Ikhsan Prabowo,Local Guide,490 ulasan,Enak makanannya,5
,,setahun lalu,Satya Prabowo,-,10 ulasan,Enak. Ramah.,5
,,setahun lalu,Little Subagio,Local Guide,115 ulasan,mantap,5
,,setahun lalu,angela berty,-,2 ulasan,enak dan murah👍 …,5
,,2 tahun lalu,Wiku Pamungkas,Local Guide,308 ulasan,"Sampai saat ini soto betawi terenak di yogyakarta, murah dan enak banget.. tempatnya kecil tapi worth it untuk dicoba...cuma 15k soto enak..",5
,,9 bulan lalu,Zachra Aulia Ragilsta,,,,4
,,setahun lalu,Asprilla Aqmarina,,,,5
,,setahun lalu,Hafis Levi,,,,4
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
,,6 bulan lalu,Tugiyono Sarjono,,,,5
