PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Water castle cafe,,,,,,,
,https://www.google.com/maps/search/Water castle cafe jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Liliana Kusumawati,Local Guide,101 ulasan,"Lokasinya persis  di belakang pasar ngasem dan taman sari. Tempatnya asik, nuansa seni yang kental serta pemiliknya yang super duper ramah. Yoghurt nya enaak banget, dia pake pemanis asli dari frozen banana jadi manisnya light banget. Sangat cocok untuk jadi tempat singgah setelah kalian menjelajah taman sari atau pasar ngasem.",5
,,5 bulan lalu,Kneaaa,Local Guide,186 ulasan,di belakang taman sari pass tempatnya. aneka juice nya bnyk pilihaann buah aslii. enakk. buat ngadem sejuk bgt tmpatnya krn byk tanaman,3
,,5 bulan lalu,Afnan Abdillah,Local Guide,13 ulasan,"Kafe homey banget,,, pemilik ramah khas asli jogja. Meski siang, tp ademm disiniii,,, 🕺🏻 rekomendasi ajak tmn atau kliarga yang ingin nyante dan merasakan hawa hawa jogja. Apalagi deket banget sama pasar ngasem, tmbah terasa jogjane. …",5
,,3 bulan lalu,Enni Sera,-,76 ulasan,"Suasana menghibur kenangan masa kecil bagus untuk berfoto suasana teringat masa kecil, tataan rumah apa ada nya tapi ada nilai artistik, kopi susu nya enak",5
,,4 tahun lalu,retno maryunani,Local Guide,58 ulasan,"Suasana yg hommy, nyaman,.makanannya juga lumayan... hanya jajan pasarnya yg kurang enak, hehehee.... selebihnya oke kok...",4
,,4 tahun lalu,Erwan Dwi Ujiantoro,Local Guide,104 ulasan,Tempat rekreasi di jogja didalam keraton Jogja yang bagus peninggalan sultan. . menarik berupa kolam pemandian terowongan bawah tanah,4
