PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Wayaekopi,,,,,,,
,https://www.google.com/maps/search/Wayaekopi jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Galih Anggara,Local Guide,52 ulasan,"Tempat ngopi yang lumayan nyaman, biat kalian yang mau mengadakan raoat skala kecil (2-4 orang) atau mengerjakan tugas sekolah/kuliah atau bahkan skripsi disini nyaman banget. Apalagi kalau kalian suka sama anjing bisa sambil ajak main merka.. Tapi jangan ke bablasan tujuan utuma nya.. Hahaha..",5
,,2 tahun lalu,Wilma Puspa Rani,Local Guide,33 ulasan,"Kalo ke sini tuh, suka bingung mau pesen minum yg mana, soalnya enak semua... Favoritnya sih es soklatnya sini.
Tempatnya enak buat nongki², sambil main sama guguk disitu",5
,,2 tahun lalu,dika apriliani,Local Guide,112 ulasan,"Tempatnya enak buat nongkrong sore sore, aku suka konsep toko di halam rumah dengan rumput hijau nan segar dipandang mata.
Buat minumannya kmrn pesan tea milk, 10 k kalo nggak salah. Ada guguknya, lucu sekali ;)",4
,,2 tahun lalu,dikaa veega,-,5 ulasan,"Suka yang ijo ijo gini pokoknyaaa, ada gukguknya. Lucu",5
,,3 tahun lalu,Cindy DJAP,Local Guide,89 ulasan,Es coklat nya juarak!,5
,,2 tahun lalu,Tirta Adi Putra,-,15 ulasan,👍👍👍 …,5
,,setahun lalu,Tugiran Setiawan,-,13 ulasan,Tempat nya istimewa,5
,,3 tahun lalu,Y R,Local Guide,17 ulasan,Mantap,5
,,3 tahun lalu,Faarisa Photoshoot,,,,5
,,2 tahun lalu,Malik Mas Mal,,,,5
,,2 tahun lalu,abyan ahmad,,,,5
,,3 tahun lalu,Algie Nh,,,,5
,,11 bulan lalu,Daniel Wiharjo,,,,5
,,setahun lalu,Laurensius Jolo Manuk,,,,5
,,3 tahun lalu,Horestes Vicha,,,,5
,,3 tahun lalu,Kristantyo Adi,,,,5
,,2 tahun lalu,elmo rizqi,,,,5
,,3 tahun lalu,Rafly Yansyah Effendi,,,,5
,,2 tahun lalu,oktavianus oky,,,,4
,,8 bulan lalu,robertus panji,,,,5
,,2 tahun lalu,Just MoMo 18,,,,5
,,2 tahun lalu,nurmala setya,,,,5
,,2 tahun lalu,Hamida Arofah,,,,5
,,2 tahun lalu,AGB pattern,,,,5
,,2 tahun lalu,AGB pattern,,,,5
