PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Wedang Kopi Prambanan ꦮꦢꦏꦥꦥꦩꦧꦤꦤ,,,,,,,
,https://www.google.com/maps/search/Wedang Kopi Prambanan ꦮꦢꦏꦥꦥꦩꦧꦤꦤ jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Liza Sasono,Local Guide,205 ulasan,"Kalau kepengin makan plus bersantai sambil lihat sawah, Wedang Kopi Prambanan mungkin pilihan yg cocok.
Tempatnya benar-benar melipir dari jalan besar dan di kelilingi sawah. Buat yg suka suasana Jawa tradisional pas bgt di sini tempatnya.
Areanya memang dekat dengan jawasan candi Prambanan, sesuai dengan namanya.
Makanan di sini dihidangkan secara prasmanan, dan semuanya hidangan tradisional khas Jawa Tengah. Favorit gw di sini bothok telor asin krn baru di sini gw makan ini. Ada oseng ikan asin/gereh, lodeh, pepes, dll. Kalau minumannya gw suka wedang sereh. Nah, kalau minuman bisa pesan langsung ke pramusajinya.
Di sini juga sedia kopi, jadi bisa banget minum kopi sambil makan camilan tradisional.

Pas gw ke sini udah sore, jd sebenarnya sudah lewat jam makan siang, jadi ga perlu booking. Konon tempat ini lagi hype buat jd tempat reunian n arisan. Jadi kalau mau kumpul banyak orang sebaiknya reservasi min H-1.

Buat yg suka berfoto ria, tempat ini cocok bgt. Banyak spot buat selfie. Pramusajinya ramah dan cekatan. Kalau mau pesan menu tambahan sebenarnya tinggal panggil aja kalau mereka kebetulan lewat tp ga sesering itu sih 😁. Jadi lebih sering kita jalan dulu ke depan buat pesan, termasuk ambil makanan di meja prasmanan.
Kalau kebetulan dapat meja yg agak belakang lumayan juga tuh bolak-balik 😁.

Kebersihan lumayan, ada musholla jg. Parkir jg cukup luas.
Soal harga ga bikin kantong menjerit, kok, cukup senyum aja😄.",4
,,5 bulan lalu,Nurr s_65,Local Guide,67 ulasan,"Salah satu tempat rekomended juga untuk makan di area Prambanan. Konsep klasik modern ala jawa. Menu ala ndeso dan prasmanan. Cocok buat kunjungan rombongan atau keluaraga.
tersedia tempat indoor dan outdoor. suasana oke banget buat nyante apalagi pas sore2 menjelang malam. Dihiasi lampu2 juga, instagramable bgt. tempat parkir lumayan luas, mobil bisa parkir di seberang.

Datang bisa langsung ambil makan, ada nasi putih, merah, berbagai tumis sayur, dan sayur kuah seeprti sop dan sayur lodeh. setelah itu di catat di meja kasir, d beri nota buat nanti bayar ke kasir nya. Pesan minum di tempat duduk.
untuk harga lumayan pricey bila ambil item nya banyak. Nasi sekitar 5k, tumis dan sayur per item 4k, lauk lain beda2 harganya. sambelnya free. Ada ppn juga 10%,  (tp seprtinya per item juga kena ppn, soalnya lihat d bill sama d menu harganya berbeda #cmiiw)
Kalo barengan bisa pilih satu menu, biar irit, dan sharing sama temen lainnya hehe..
rekomendasi menu : oseng bunga pepaya, bothok telur asin, es gula asam",5
,,4 bulan lalu,John Castiglione,Local Guide,60 ulasan,"Good place for family, good vibes and chill. The owner also have Bakpia Mutiara Jogja, so you could buy Bakpia in front door.

Makanan prasmanan, pilih tempat duduk dahulu baru ambil makanan, telur dadar crispynya enak porsi besar satu piring, tersedia outfit untuk foto2 yaitu pakaian khas jawa blurik dan topi. Harga middle yah and tax, tp worth it tempatnya jadi wajar, best lah kak! :)",5
,,8 bulan lalu,Tri Nindya,Local Guide,227 ulasan,"Berada di barat Candi Plaosan, jangan lupa mampir di tempat makan yang satu ini. Tempat parkirnya cukup luas, jangan khawatir jika datang berombongan. Area makan outdoor dan semi outdoor, ditambah dengan pemandangan sawah dan semilir angin membuat betah pengunjung. Menu makanan disajikan secara prasmanan dengan nuansa tradisional, ada nasi merah/putih, sayur berkuah, oseng dan lauk. Pilihannya mungkin tidak cukup banyak, tapi dari segi rasa enak. Kalo minuman dan snack seperti kentang goreng, pisang goreng atau mendoan, harus dipesan dulu. Untuk minuman pilihannya cukup banyak, dari mulai minuman tradisional seperti beras kencur sampai minuman kekinian, termasuk kopi. Dari segi harga agak sedikit mahal tapi sepadan dengan rasanya. Untuk pelayanan mungkin perlu dipercepat terutama penyajian minuman....",4
,,8 bulan lalu,AlifAnam,Local Guide,240 ulasan,"Lokasinya lumayan jauh, tapi terdapat fasilitas parkir yang memadai, tempat makannya juga bersih, banyak pilihan tempat mau makan di lesehan, dll. Untuk suasananya sangat adem dan rindang, homie banget, rasa masakannya juga enak2. Dan harga serta porsinya sangat worth it, ini best experience sih karena di pinggir sawah kiga. Pelayanannya juga sangat baik dan ramah",5
,,setahun lalu,Rizki Ayun__,Local Guide,142 ulasan,"Tempatnya bagus banget parah, pelayanan poll nyaman, makanannya enak dan murah.
Lokasinya ngga jauh dr Prambanan. Cocok banget buat yang mau cari suasana nongkrong tenang, adem, ayem suasananya 😍
Protokol kesehatan nya jempol sih 🔥
Ada live musicnya, tempatnya luas outdoor sm rumah, kamar mandi tempat sholat ada. Tunggu apalagi ayo kesini !",5
,,10 bulan lalu,Kurnia Tejaningrum,Local Guide,177 ulasan,"Wow ada tempat semenarik ini di daerah prambanan. Menurutku worth it banget, tempatnya sangat luas, parkiran cukup untuk 10 mobil. Harganya tidak terlalu mahal. Terdapat menu otentik jogja seperti jadah, ketela goreng, wedang uwuh. Pemandangannya jg sangat indah. Good service !!",5
,,9 bulan lalu,Rendy Fajar,Local Guide,147 ulasan,"Tempat yang sangat enak utk menikmati hari mu yg penah. Suasana Jawa khas masa lalu. Suasananya enak, parkir luas, tempat nya teduh walaupun panas terik karena banyak pohon nya. Makanan dan minuman nya jg enak buat saya. Belum tau kalo malam hari, sepertinya bagus dengan banyak lampu yg menghiasi",5
,,2 bulan lalu,Tha Waty,Local Guide,272 ulasan,"Makanan varian prasmanan, masakan tradisional lengkap. Aneka minuman kopi dan es juga tersedia. Suasana tenang dan nyaman. Tempat luas, parkir luas, ada toilet dan mushola. Ada kolam ikan, pepohonan rindang, nyaman banget pokoknya. Harga standar. Hanya saja jam 22.00 sudah tutup, mungkin kalo lebih malam lebih oke misal jam 23.00 tutupnya.",5
,,5 bulan lalu,ayum ayu,Local Guide,6 ulasan,"Tempat nya luas & buat parkir mobil motor juga luass
Pelayanan ramah , karyawan semua senyum sapa & sopan
Menu makanan yg di hidangkan masakan Jawa
Gorengan & cemilan nya pun di goreng dadakan jadi hangat semua
Tempat duduk nya sepoi sepoi adem bgt
Rekomend untuk makan siang , kumpul keluarga / kuliner di wilayah Prambanan sekitarnya
Toiletnya pun bersih & wangi di sediakan plastik & tisu juga
Bener bener menjaga kebersihannya
Untuk harga sudah saya cantumkan di foto jadi bisa kalian kira kira .

Sukses terus “Wedangan Kopi Prambanan” 👍🏽",5
,,4 bulan lalu,rio paradika,Local Guide,758 ulasan,"Menyajikan menu makanan ala rumahan. Rasanya not bad. Harga dihitung per menu yang kita ambil. Jadinya cukup pricey karena sepiring bisa ambil beberapa menu. Ambience nya seru, kanan kiri bisa menikmati sawah dengan angin pepohonan yang sejuk. Lokasi tidak jauh dari prambanan. Parkir luas karena ada 2 lahan parkir yang bisa menampung bus besar sekalipun",4
,,10 bulan lalu,Muhammad Anggara Yudhatama,Local Guide,86 ulasan,"tempat enak banget, instagramable, pelayan ramah, bersih dan masakan enak. Tapi untuk makanan berat itu tipenya prasmanan, jadi gue bareng keluarga ada strategi khusus untuk ini haha kalian harus cobaaaaaaa",5
,,7 bulan lalu,Bheniex,Local Guide,243 ulasan,"Lokasi makan yang dekat dengan tempat wisata daerah prambanan.

Enak banget tempatnya sobat, setelah kita wisata mampir sini obat perut keroncongan.

Ada outdoor dan indoor, bisa bersama keluarga, pacar, atau rombongan kantor.
Ada mushola yang bersih.
Kesan jawi dalam suasana makan.

Bisa reservasi dulu ya bila rombongan karena tempatnya terbatas.

Paket bisa macam macam. Patut dicoba telur dadar krispinya dan lodeh.
Ada juga minuman penghangat badan.

Wes luengkap.. Harga menengah.
Wajib kesini untuk makan dan ngopi.
(@jawaxplore)",5
,,setahun lalu,Ganis Winarno,Local Guide,117 ulasan,"Lokasiny mudah ditemukan.
Sukaa sekali tempatnya.
Karyawan ramah.
Pesen minum dan snack cepet sekali diantar nya.
Tempatny bersih,Vibes nya syahdu bgt..
Makanan prasmanan,menu bervariatif, bersih, enakkk,ada food tag ny jd gak bingung..👍👍
Utk hrg standard sih utk keramahan, rasa, dan atmosphere yg ditawarkan worth it.

Pertahankan..",5
