PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Wr. Bu Saijo Kantin Pujale UGM,,,,,,,
,"https://www.google.com/maps/place/Wr.+Bu+Saijo+%28+cab.nya+Pujale+ugm,+Jl.+jembatan+merah%29/data=!4m7!3m6!1s0x2e7a597df3dcad03:0x8e9984b9dd11dc72!8m2!3d-7.7664813!4d110.3939883!16s%2Fg%2F11fks690dx!19sChIJA63c831Zei4RctwR3bmEmY4?authuser=0&hl=id&rclk=1",,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Gumilang Udyanto,Local Guide,27 ulasan,"Sambael pecelnya enak tapi sambel nya dikit banget, dan untuk mie goreng nya asin..",4
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
,,3 tahun lalu,Artorias Abysswalker,,,,5
