PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bale Raos - The Sultan's Dishes,,,,,,,
,https://www.google.com/maps/search/Bale Raos - The Sultan's Dishes jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 minggu lalu,Triska Gustiana,Local Guide,25 ulasan,"Haloooo baaatsss, smg sehat2 semua ya. Kali ini saya akan review resto Bale Raos yg sangat otentik di Jogja. Masakannya ini adalah masakan Sultan Jogja, buaaaahhh can't wait dahhh.

Ini masuk kyk ke dalam Keraton, aura nya udah kerasa banget... The real Jogjaaaaaa... Kl kalian ingin sesuatu yg original dan otentik dr Jogja, MUST EAT HERE.

Saya disini ber-5 sama boss2 saya, dan 1 boss sekaligus sohib itu asli Jogja, beliau yg rekomendasikan resto ini.

Oke as per foto2 kalian akan bs liat ya suasana Jogja dan Keratonnya.

Begitu sampe, disodorin menu... Saya pasrah aja dehhh dipilihin... Asli menarik semua pilihannya dan baru tau 😅😅😅... Akhirnya kami pesan bbrp menu agar nyobain semua yg otentik, seperti:
1. Gudeg Manggar set, 9.5/10.. Ini gudeg bukan pake nangka lhoo bats, tp pake putik bunga kelapa... Naaahhhh yg saya tau hanya yaaa yg pake nangka laaa, hahaha... Pas dicoba, asli enak banget... Sangat berbeda rasa enaknya dg gudeg yg biasa
2. Kambing panggang, 9.5/10.. Kambing dipanggang kyk stik gitu, plus pake kentang dan sayuran2nya.
3. Bistik lidah, 9.5/10.. Bagi pecinta lidah, ini endesss baangeeet.. Empuk banget, baru kali ini merasakan lidah kyk gini.

Dessert nyaaq jg sangat waww nih, asli blm pernaaaaah 😅😅😅:
1. Prawan ngenes, 9.5/10.. Namanya bikin geli yaaa, hahahaha... Ini pisang bakar gitu, gak begitu manis, saya nambaaaah 😅😅😅
2. Rondo Kepomo, 8.5/10.. Ini puding bats, terlalu manis sih buat saya, tp enak.

Dg menu2 di atas, sdh sangat kenyaaaaaang. Liat gambar aja yaaaaa baaatsss.",5
,,9 bulan lalu,Sidya Yatra Subhiksa,Local Guide,66 ulasan,"Restoran ini berada di kompleks Keraton Yogyakarta, terkenal karena masakan yang disajikan di sini konon adalah menu favorit Sultan Hamengkubuwono dari berbagai masa. Konsep restorannya adalah fine dining. Kalau ingin ke sini disarankan untuk reservasi lebih dulu. Di sini, saya memilih menu utama ayam goreng dan mencicipi bebek gorengnya. Rasanya enak, gurih dan ada rasa manisnya, ayamnya empuk padahal ayam kampung. Sambalnya juga enak. Untuk bebek gorengnya empuk dan gurih. Untuk hidangan pencuci mulut, saya mencoba menu istimewa, kata mbak pelayannya yang ramah, ini menu favorit Sultan HB IX, yaitu pisang kepok bakar yang dilapisi semacam krim, di daftar menu diberi judul “perawan kenes”, dan pisang raja goreng yang digulung kemudian diberi taburan bubuk kayu manis dan gula, di daftar menu disebut “tapak kucing”. Rasanya istimewa. Terakhir saya minum es jadul, semacam es campur dengan santan dan sirup coco pandan yang rasanya manis dan menyegarkan tapi tidak lengket di tenggorokan. Saya puas makan di sini, lain kali kalau saya akan ke sini lagi.",5
,,6 bulan lalu,Zakiyah Insani,Local Guide,37 ulasan,"Sesuai dengan namanya, Bale Raos ini memang tempat makannya para sultan. Disini para pelanggan di jamu bak para sultan.

Buat kamu yang ingin bertamasya ke Yogyakarta, restoran ini wajib kamu kunjungi.  Restoran ini sengaja dibuka untuk masyarakat umum agar bisa mengetahui dan menikmati aneka kekayaan kuliner Kraton Yogyakarta.

Untuk bisa makan disini, para pelanggan disarankan untuk dapat mengatur jadwal reservasi terlebih dahulu, karena tempatnya yang terbatas dan ramai pengunjung.

Bale Raos merupakan pilihan tepat untuk berbagai acara baik formal maupun non formal. Antara lain : acara keluarga, menjamu relasi, gathering, private party, maupun sebagai tempat wisata kuliner yang khas dan authentic.",5
,,4 bulan lalu,Nuri Agustina,Local Guide,444 ulasan,"Setahun sekali pasti makan disini. Taste kadang berubah².. Bebek suwar suwir masak kedondongnya pernah krg sesuai ekspektasi. Kemarin kesana, puas banget. Pesen : Gecok ganem, Selada Huzar/ Huzaren sla, Songgo Buwono, Dendeng ragi/ sapi srundeng, wedang sere & es timun serut. Pelayanan baik. Harga sesuai (hrg touris).",4
,,2 bulan lalu,d,Local Guide,27 ulasan,"Bale Raos

Fancy dining yang patut dicoba ketika berkunjung ke jogja, lokasi sangat autenthic karena ada didalam keraton, ambience yang sakral membuat kita menjadi behave ketika makan. Pelayanan sangat baik dan cepet, apa mungkin karena sudah malam ya jadi sepi pengunjung

Makanan yg saya pesan adalah
Lombok kethok, isinya daging dan ada irisan cabe serta tomat hijau dan merah rasanya enak
Sate rempah, tbh lupa namanya rasanya enak rempahnya berasa
Wedang secang
Wedang sereh",4
,,5 bulan lalu,heri yuwono,Local Guide,127 ulasan,"Makanan istimewa khas dengan cita rasa jawa, yang tidak didapatkan di tempat lain. Sambelnya gurih dan mantap. Tersesia beer jawa yang memiliki rasa rempah yang kuat dan nikmat.
Suasana keraton yang sangat nyaman untuk bersantap bersama keluarga ataupun teman.",5
