PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Bradip Warung Kopi꧋ꦧꦿꦣꦶꦥ꧀ꦮꦫꦸꦁꦏꦺꦴꦥꦶ,,,,,,,
,https://www.google.com/maps/search/Bradip Warung Kopi꧋ꦧꦿꦣꦶꦥ꧀ꦮꦫꦸꦁꦏꦺꦴꦥꦶ jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,11 bulan lalu,khotik zaed,Local Guide,19 ulasan,"Kesini beli mie jawa nyemek, beeehh gurih sekali, enak. Suasananya juga enak.",5
,,9 bulan lalu,Ayudia Hafara,Local Guide,70 ulasan,"Tempatnya unik, bakminya enak. Pesen bakmi goreng tapi dibawainnya bakmi godog😂 tapi gapapa",4
,,4 tahun lalu,Muhammad Safwan,Local Guide,51 ulasan,"Untuk agan-agan yang suka suasana santai di tengah kota, ini tempat asyik buat nikmati malam santai ditemani kopi yang asyik dan makanan nya itu lho Bakmi Jawa mantap...
Tempatnya luas dan nyaman...
So... Tunggu apa lagi??? Langsung aja ke TKP... 😀😀😀",5
,,8 bulan lalu,Bella Loohan,Local Guide,26 ulasan,"Saya suka ke Bradip karena buka sampai larut, danang lokasi yang masuk tidak terlalu terlihat dari jalan raya.
Cocok untuk meeting kecil ataupun mengobrol dengan teman, karena tidak bising suara kendaraan bermotor.
Menu yang ditawarkan juga enak, seperti olahan bakmie Jawa dan nasi goreng, ada juga minuman teh poci yang disajikan dengan teko gerabah. Untuk harga affordable dan sesuai dengan rasa menunya.",4
,,4 tahun lalu,Erson Padapiran,Local Guide,229 ulasan,"Tempatnya luas, nyaman, parkir juga gampang pilihan menunya juga banyak, makanannya enak sayangnya menu esspresso base rasanya kurang, cappucino yang saya pesan cenderung seperti kopi susu dengan busa tipie",3
,,2 tahun lalu,Bola Bulu,Local Guide,53 ulasan,"bisa ngobrol sambil ngopi dan main catur, harga menu sangat bersahabat",4
,,5 tahun lalu,Thoyib Mashuda,Local Guide,222 ulasan,Mie nya enaaaakkk.. dah gitu aja,4
,,4 tahun lalu,Anna Wulandari,Local Guide,396 ulasan,Bakmi jawanya mantul bgt dan kopinya maknyuuss.. Dijamin ketagihan,5
,,2 tahun lalu,Arwita Laksmi Yuniartin,Local Guide,6 ulasan,mie godognya... mie gorengnya... magelangannya... nasi gorengnya... teh pocinya... mantap!!!,5
,,3 tahun lalu,mohamad arief,Local Guide,109 ulasan,Bakmi nya enak. Tempat tenang. Dan pelayanan baik,5
,,setahun lalu,Noor Faizah,Local Guide,133 ulasan,"Dekat alun-alun selatan/kidul (Alkid),
menu: mi goreng, mi godog, magelangan, teh poci, kentang goreng, dll",5
,,4 tahun lalu,Nilla Phaulina,Local Guide,21 ulasan,Tempat ngopi terfavorit 💕 kopinyaaaa ❤️❤️ …,5
,,setahun lalu,Fadil Yudasmara,Local Guide,53 ulasan,"Suasananya syahdu sekali, seperti makan di rumah sendiri. Ornamen kayunya juga mantab, kesan jogja nya kental.",5
,,2 tahun lalu,dikha,-,96 ulasan,"Mie jawa nya endeus, kopi nya mantap. Suasana nya oke, bs liat2 motor harley soalnya yg punya om om harley, guys 👍🏻 asik deh pokoknya. Betah nongkrong lama lamaaa 💙 …",5
,,4 tahun lalu,Tritjahjo Lukito,-,16 ulasan,"Bakminya...maknyus tenan, top markotop 👍👍 …",5
,,setahun lalu,Heribertus Agus,Local Guide,95 ulasan,"Kesini cuma buat makan nasgor, ngopi, dengerin lagu dekade yang memorial, dan buat ber-quality time dengan teman-teman...",5
,,10 bulan lalu,DONI DNM,Local Guide,11 ulasan,Bakmi paling enak yg pernah gw cobain.,5
,,2 tahun lalu,NF Febrianto,Local Guide,53 ulasan,"Dilidah saya, bakmi Bradip mendapatkan rangking 1 dibanding bakmi yg pernah saya coba lainnya di jogja selama 5 tahun ini.",5
,,3 tahun lalu,Rauf Pramudyana,-,9 ulasan,"Tempatnya homy, kopinya maknyus, mie jawa nya mantul. Pas banget buat nikmatin malam di dekat alkid",5
,,5 tahun lalu,Muhamad Rizky Pratama,Local Guide,29 ulasan,"Tempat ini sangat nyaman, pelayanannya ramah, kebersihan ya bisa dikatakan bersih, suasananya nyaman, makanan dan minuman enak dengan harga yang cukup terjangkau",4
,,setahun lalu,Bimo Suryo Pratikto,Local Guide,336 ulasan,"Rasannya lumayan enak, layanan makan minumnya agak lama walau tidak antri",4
,,2 tahun lalu,Ube,Local Guide,13 ulasan,"Bakminya aku sukaaaaaa.... Oh ya kayaknya masak bakminya tanpa minyak, coba deh kalaian tanya sendiri 😘 …",5
,,4 tahun lalu,Ahmad Yusfian,Local Guide,117 ulasan,"Nuansa rumah khas jogja sangat kental, pelayanannya cepat, dan pemiliknya ramah. Tempat ini cocok lah buat nongkrong bareng teman-teman",5
,,2 tahun lalu,Andang Rianto,Local Guide,62 ulasan,"Tempat yg enak untuk nongkrong sambil menikmati bakmi jawa, bakmi jawanya enak",5
,,setahun lalu,Jati Khoeri,Local Guide,172 ulasan,bakmi gorengnya enak tenan maszeeh...,5
