PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
CAPSLOCK COFFEE,,,,,,,
,https://www.google.com/maps/search/CAPSLOCK COFFEE jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 bulan lalu,Cynthia Annisa,Local Guide,331 ulasan,"Rasa camilannta enak enak. Tempatnya cocok untuk mengerjakan tugas sambil berdiskusi. Meskipun ramai tapi suasananya tidak terlalu berisik. Di sini ada parkiran luas. Pelayanan tidak terlalu ramah, tapi juga tidak ada masalah. Yang bermasalah hanya saja lampu kamar mandi dan mushola. Kemarin saya ke sana, lampu kamar mandi dan mushola konslet  jadi tidak bisa dipakai. Terus juga, kamar mandinya sangat kotor.",4
,,5 bulan lalu,Lina Maharani,Local Guide,206 ulasan,"Lokasinya di dalam gang perumahan jadi gak terlihat dari jalan utama. Gak terlalu besar juga jadi terasa banget kalo rame padat.

Banyak mahasiswa nugas disini jadi okupansi meja mostly ya waktunya lama. Hehehe.

Menu²nya kmrn banyak yg kosong terutama main course. Pdhl laper pengen makan jadinya cm beli kopi sm kukis aja.",3
,,11 bulan lalu,Sofia A Pr,Local Guide,9 ulasan,"kemarin ke sini karena lihat konten temen, ternyata tempatnya bagus. mini space gitu tp banyak spot spot cantiknya buat foto atau bikin konten. minusnya di sini buat yg bawa mobil agak susah cari parkirnya dan lokasinya ini masuk masuk gang. untuk
coffeenya sih suka suka aja, rasanya enak dan manisnya pas",5
,,5 bulan lalu,Agum Whistler,Local Guide,50 ulasan,"tempatnya cozy, enak buat kerja ataupun nugas disini, cuma di bagian belakang, kayak toilet, musholla sama wastafelnya kotor, karena ada putung rokok, sama berlumut berserakan

selain itu worth it,",3
,,6 bulan lalu,Icha Afkarina,Local Guide,311 ulasan,"Suasananya nyaman. Yang Indoor bisa buat ngerjain tugas. Yang Outdoor juga nyaman buat nongkrong. Toilet bersih, ada musholla juga.

Kemaren baristanya baru ga terlalu hafal menu 😌 tapi dibantu sama barista yang senior. mungkin sebelum ngebar bisa dilatih dulu nama menunya 🙂

Overall bakalan balik lagi sih. Internetnya juga cepet. Tapi parkirnya berantakan banget. Parkir mobil susah.",5
,,setahun lalu,Johan Ferdian JR,Local Guide,220 ulasan,"Salah satu kafe baru di pedalaman belantara kosan Pogung Baru. Tempatnya nyaman, estetik dan cocok buat belajar, diskusi atau kerja. Ada ruang tanpa rokok dan area belakang untuk perokok. Colokan banyak, disediakan kabel gulung pula. Konter barista ada di sudut tenggara ruangan.

Fasilitasnya sudah cukup untuk kafe standar. Ada musola, wastafel dan toilet. Di area belakang ada bangku berbentuk auditorium, cocok buat diskusi rame-rame.

Wifi lancar. Sayang beberapa kali koneksi putus nyambung, mungkin kesalahan di ISP (internet service provider) yang digunakan.

Saya pesan croffle yang lagi promo, 30rb dapat 2 biji. Yummy, crunchy. Red velvetnya kurang sempurna buat saya yang biasa coffee hopping antar kedai kopi dan selalu memesan menu ini saja. Harga menu lain standar kok—buat yang biasa nongki di kafe.

---

Salah satu kritikan saya, untuk kafe dengan kategori harga rentang $$ tergolong nggak ramah lingkungan. Minuman dikemas dalam gelas sekali pakai dan sedotan plastik. Croffle disajikan pada kardus dengan alas kertas. Itu pun masih pakai sendok garpu dari plastik.

Harapannya ke depan, ketika stok alat makan dan minum sekali pakai ini udah habis, bisa beralih ke yang pakai berulang (gelas kaca, sedotan stainless steel, piring keramik). Penggunaan sekali pakai memang praktis karena tidak perlu dicuci, tapi di kalangan anak muda sedang tumbuh kesadaran ramah lingkungan, dan hal sepele kayak gini bisa berpengaruh pada opini mereka. 😉

Cheers. 🥂",4
