PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
CLBK Kopi Gejayan,,,,,,,
,https://www.google.com/maps/search/CLBK Kopi Gejayan jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Faisal Sangaji,Local Guide,344 ulasan,"Tempatnya kecil ga terlalu luas kapasitas 20 orang*. Ada tempat duduk indoor dan outdoor untuk yang merokok. Menu minuman bervariasi, harga rata-rata cafe. Untuk taste, hot kopi gayo nya enak tapi biasa. Pelayanan cukup baik dan cepat. Tempat parkir gratis klo malam dan ga terlalu luas untuk mobil. Bisa order online via apps. Pembayaran cash dan non cash. Klo mau nugas dengan tempat yang ga terlalu rame bisa coba disini.",3
,,2 tahun lalu,Yeremia Jalmav,Local Guide,85 ulasan,Tempat yang cukup nyaman untuk nugas maupun nongkrong bareng temen.. harga cukup murah juga.. tersedia banyak kursi di lantai 1 dan 2 nya.. banyak pilihan game juga yg tersedia,4
,,2 tahun lalu,sudar woko,Local Guide,844 ulasan,"Minuman anak2 muda jaman sekarang yg lagi boming,banyak varian rasa dengan harga yg masih sangat murah,pelayanan sangat ramah,tempatnya nyaman buat nongkrong,rekomen buat anak2 muda",4
,,2 tahun lalu,nivitachan,-,5 ulasan,"Harganya standar, sesuai kantong mahasiswa. Untuk rasanya enak (aku baru coba yang non coffee, Hojicha), next bakal coba yang lainnya. Pelayanannya memuaskan, orang"" nya ramah :) Tempatnya cozy, nyaman untuk nugas maupun nongkrong. Dan ada gamenya juga kayak UNO dsb jadi bisa main bareng temen"". Sukses terus ya! Gbu",5
,,2 tahun lalu,Luluk Handayani,-,3 ulasan,"Tempatnya cocok untuk nugas, kopinya enak👍👍👍 recommended.. …",5
,,2 tahun lalu,Aji Sutejo,-,2 ulasan,"Tempatnya enak buat nugas, cozy dan tempat e luas
Ada lantai atas dan bawah
Ada yg AC sma smoking room
Manteppp sihhh",5
,,setahun lalu,Adit,-,5 ulasan,Wi-fi cepat ada smoking area.,5
,,2 tahun lalu,9caliber ID,Local Guide,658 ulasan,"menunya mantap. tambah hiasan dong kak dari luar, efek cafenya kurang kelihatan",5
,,2 tahun lalu,Ivan Anwar,-,4 ulasan,"Nyaman, bisa nugas, ruang merokok siap",5
,,4 bulan lalu,Om David,,,,5
,,2 tahun lalu,Oeij Henri,,,,5
,,2 tahun lalu,prih adiartanto,,,,5
,,setahun lalu,Damasa Acyuta Official,,,,5
,,setahun lalu,Imam Ib,,,,4
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
,,setahun lalu,R e k k,,,,5
