PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Cafe Rumah Laut,,,,,,,
,https://www.google.com/maps/search/Cafe Rumah Laut jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Naws Sasmith,Local Guide,23 ulasan,cocok buat pecinta dunia malam,4
,,setahun lalu,Andi Grab,-,3 ulasan,Bener 24 jam.....open terus,5
,,2 tahun lalu,Ande Putra,-,4 ulasan,Apa bner 24 jam,3
,,setahun lalu,Rudi Yono,Local Guide,103 ulasan,Tempatnya asik,5
,,3 tahun lalu,Pri Yono,Local Guide,90 ulasan,Yang mau bersantai,4
,,4 tahun lalu,Ichaa,Local Guide,24 ulasan,Tempatnya kumuh..,2
,,setahun lalu,Antonius Nugroho,Local Guide,175 ulasan,Keren,5
,,3 tahun lalu,reza brananda,Local Guide,699 ulasan,Cafe Rumah Laut,4
,,2 tahun lalu,DEEKA Channel,,,,4
,,2 tahun lalu,Lutfi Amanda,Local Guide,476 ulasan,Lc,5
,,4 tahun lalu,Egy Prasetyo,Local Guide,7 ulasan,Jika,5
,,2 tahun lalu,BINTANG JUNIOR transport,-,5 ulasan,good,5
,,setahun lalu,Dedi Warso,-,1 ulasan,Sipo,5
,,3 tahun lalu,alan Yunan,,,,5
,,setahun lalu,omo kalen,,,,5
,,4 tahun lalu,Eyu Ajee,,,,4
,,setahun lalu,Restu Anggara,,,,2
,,setahun lalu,Mey Manalu,,,,5
,,2 tahun lalu,Randy Trian utama,,,,5
,,2 tahun lalu,tri hidayanto,,,,1
,,3 tahun lalu,groho kris,,,,4
,,3 tahun lalu,Cebol Bol,,,,1
,,3 tahun lalu,Farhana Zeyd,,,,5
,,4 tahun lalu,Sagiku 7,,,,3
,,setahun lalu,Aron Sidabutar,,,,5
