PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Doppia Coffee and Bread,,,,,,,
,https://www.google.com/maps/search/Doppia Coffee and Bread jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Kholid Arofi,Local Guide,398 ulasan,"Menu udah oke pilihannnya, nyobain red velvetnya, manisnya pas. Roll cakenya enak bgt 👌🏼, nachosnya juga, rotinya banyak varian. Tempat udah nyaman buat sekedar hangout atau ngerjain tugas, tentunya dalam skala kecil. Kalo parkir, masih cukup buat motor, buat mobil bisa di di seberangnya. Penasaran sama menu lainnya",5
,,8 bulan lalu,Zahwa Islami,Local Guide,8 ulasan,"Buka dari jam 08.00-24.00, baristanya baik-baik, suasananya kondusif dan bisa nugas dari pagi sampe malem. Menunya banyak ada kuenya juga, enak hihi. Sukses selalu Doppia!",5
,,4 bulan lalu,Aksatriya Airlangga,Local Guide,10 ulasan,Tempat nya nyaman enak buat nongki,5
,,8 bulan lalu,Faisal Adinegoro,-,9 ulasan,"Tempatnya nyaman, bisa buat jadi working space juga. Harganya bisa dibilang murah.",5
,,8 bulan lalu,Edy Kurniawan Nur,-,6 ulasan,"Tempatnya enak
buat nugas ataupun nongkrong. kopinya terbaik,
rekomend pkoknya. 👌🏼🔥🔥 …",5
,,3 bulan lalu,Hajar Project,-,2 ulasan,"Barista nya ramah, tempatnya enak buat nugas, kopi sama roti nya juga enak dan banyak promo nyaaa",5
,,4 bulan lalu,Joe Denio,-,3 ulasan,"Tempatnya cocok buat nugas, adem, prefer dateng sore 🫶🏼 produknya juga sabi bangetttt enakkk",5
,,4 bulan lalu,m. o.,-,5 ulasan,ENAK BGT!!! tempatnya nyaman apa lg roti2 nya rasa nya seperti buatan nenek🤍 mengingatkan akan rumah,5
,,3 minggu lalu,Brena Tha,-,2 ulasan,Kue2 nya ENAK! Tempatnya jg cozy & friendly staff too. Recommended :),5
,,4 bulan lalu,M Auriga,-,2 ulasan,Ngga nyesel baristanya okey banget dalam berbagai macam aspek :),5
,,4 bulan lalu,Eggi Dwikananda,-,2 ulasan,"Tempat nya astethic,makanan dan minuman enak,barista nya ramah",5
,,7 bulan lalu,johan satya,Local Guide,18 ulasan,"Tempat cozy, kopi mantap, barista idaman.",5
,,8 bulan lalu,Thareq Maulana Akbar,-,17 ulasan,"Overall asik banget buat nugas, menunya banyak dan kopinya juara",5
,,4 bulan lalu,Putra Nugraha,-,3 ulasan,Harus coba doppiana & cassia. Recommended 👍🏼 …,5
,,3 bulan lalu,Slur 2194,-,2 ulasan,Sangat memuaskan,5
,,7 bulan lalu,Aura Saffa Arsyla,-,1 ulasan,"Kuenya enak bangett, tipe kue aku bangett",5
,,7 bulan lalu,Sekar Ayu,-,1 ulasan,Bolu gulungny enakkk abiez🤤,5
,,5 bulan lalu,Moch Irsyad,-,1 ulasan,menarik,5
,,7 bulan lalu,Agil Rahmat,-,9 ulasan,Mantap 👌 …,5
,,8 bulan lalu,Donny Indra,Local Guide,120 ulasan,padat,5
,,3 bulan lalu,Iffandy Bagus Pradana,,,,5
,,6 bulan lalu,Naf'iyatul Muflihah A,,,,5
,,6 bulan lalu,Naf'iyatul Muflihah A,,,,5
,,6 bulan lalu,Naf'iyatul Muflihah A,,,,5
,,6 bulan lalu,Naf'iyatul Muflihah A,,,,5
