PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
ETLABORA COFFEE & ANGKRINGAN,,,,,,,
,https://www.google.com/maps/search/ETLABORA COFFEE & ANGKRINGAN jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,seminggu lalu,Dian Ayuningtyas Sitoresmi,Local Guide,107 ulasan,"Lokasi agak masuk kedalam dari jalan utama, qda berbagai jenis minuman baik kopi atau non kopi, tersedia camilan dan makanan utama, tersedia wifi dan rol kabel kalau mau nugas. Tempat lumayan luas, buka dari jam 5 sore sampai malem, kopinya enak",5
,,setahun lalu,Tia Aja,Local Guide,16 ulasan,"Terletak bukan di jalan utama, tapi mudah dicari dengan bantuan gmap. Menyediakan beberapa jenis biji kopi. Mereka akan tanya biasanya suka jenis seduhan kopi yg seperti apa dan kan direkomendasikan biji kopi yg sesuai.",4
,,10 bulan lalu,initeh botol,Local Guide,330 ulasan,Lokasinya di dalam desa kayak hidden gem minuman yg disajikan enak fillet geprek nya mantap,4
,,setahun lalu,dHarRum 98,-,6 ulasan,"recom buat nongkrong.  .
nuansa vintagenya ada
menunya juga enak2..",5
,,9 bulan lalu,Heri Maryoko,Local Guide,33 ulasan,"Mantap mas adam,tambahin terus menunya",5
,,9 bulan lalu,erfan pdn,Local Guide,46 ulasan,nasinya banyak. kopinya enak. sambelnya enak. yempatnya asik adem.,5
,,11 bulan lalu,Mokhamad Mahfud (SIH REKSO),Local Guide,334 ulasan,Enak mantap,5
,,2 tahun lalu,yani surya rahman,-,2 ulasan,Nyaman dan menu enak,5
,,2 tahun lalu,Suharyanto Lukito,-,9 ulasan,Murah...nyaman....,5
,,8 bulan lalu,Muhammad Ewang,Local Guide,25 ulasan,Tempatnya cozy,5
,,setahun lalu,dwi cahyanto,Local Guide,34 ulasan,👍👍👍👍👍 …,5
,,2 tahun lalu,Susan Kiki Febrianti,-,4 ulasan,mantapppp,5
,,2 tahun lalu,Eko Aris,-,1 ulasan,Mantab,5
,,11 bulan lalu,Wahyu Trisna,Local Guide,32 ulasan,Best place. Wifi on.,5
,,7 bulan lalu,Zaenal A,-,5 ulasan,Jika,4
,,2 tahun lalu,Muh Baihaqi Adnan,,,,5
,,setahun lalu,TAUFIQ WIDI,-,1 ulasan,Panceen nangis.....,5
,,setahun lalu,Om Waldi,Local Guide,89 ulasan,Jika,5
,,setahun lalu,alexander cinta,-,4 ulasan,Jika,5
,,5 bulan lalu,adhe saptono,,,,5
,,10 bulan lalu,Tri Sukmono,,,,5
,,setahun lalu,adwin prasetya,,,,5
,,setahun lalu,Rani Indahsaputri,,,,5
,,setahun lalu,Widya Wati,,,,5
,,5 bulan lalu,muhammad ewang,,,,4
