PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Estuary Café,,,,,,,
,https://www.google.com/maps/search/Estuary Café jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,5 bulan lalu,Alldhyan Putra,Local Guide,59 ulasan,"Salah satu kafe paling nyaman di Jogja! Menu Makanan dan Minuman di Estuary bervariasi dan rasanya enak-enak. Dengan makanan yang lengkap mulai dari cemilan, bakery, hingga makanan berat ada. Untuk minumannya sendiri tersedia berbagai variasi dari kopi hingga non kopi. Untuk yang rekomen itu choco banana dan chocho nut nya karena rasa cokletnya yang pas, manisnya agak sedikit kemanisan namun masih batas wajar, dan kekentalannya juga pas. Harganya menunya sendiri mulai dari 20an hingga 50an ribu rupiah. Pelayanannya sendiri juga cepat, tidak sampai 15 menit minuman sudah siap.

Tempatnya yang paling bikin kafe satu ini jadi yang paling strategis. Terletak tidak jauh dari kampus UGM, tidak di pinggir jalan besar namun tidak terlalu masuk ke dalam dengan jalan yang cukup untuk mobil lewat membuat lokasinya tenang. Kafe ini dapat menampung banyak orang dengan berbagai keperluan mulai dari nugas, kumpul biasa, meeting, kumpul beramai ramai, hingga mengadakan pesta. Walaupun bisa menampung banyak orang, kafe ini masih terasa lega dan luas karena jarak antar kursi tidak mepet. Dengan berbagai jenis meja dan kursi membuat kafe ini nyaman untuk setiap orang dan keperluannya. Tersedia tempat untuk outdoor dan indoor yang nyaman dan dingin. Colokan listriknya sendiri juga banyak dan cukup untuk mengakomodir pengunjung, terutama di bagian indoornya. Di Estuary juga terdapat toilet yang bersih, mushola, serta ruang meeting. Parkir di estuary sendiri juga sangat lega baik untuk mobil dan motor. Kalau hujan, tukang parkirnya akan memberikan plastik untuk menutupi helm kita.

Overall tempat ini sangat nyaman untuk dikunjungi untuk yang memiliki budget 30k hingga 100k untuk sekali berkunjung.",5
,,9 bulan lalu,Dyan Wigati,Local Guide,51 ulasan,"Coffeshop 'ngumpet' tetapi ternyata cukup luas tempatnya. Biar lebih mudah pakai gmaps aja karena tidak terlihat dari jalan besar, masuk ke gang sempit tapi cukup untuk dilewati mobil. Area parkir juga cukup luas untuk mobil dan motor. Ada musola dan toilet, jadi tidak perlu kawatir jika mau nongki lama disini.

Ada area indoor dan outdoor di setiap lantai (2 lantai). Kalau sore enak di outdoor sambil menikmati view dan semilir angin. Cocok buat hangout sama bestie bestie.. Hehe.
Bagian indoor jg cukup luas dan nyaman, hampir setiap meja ada colokan jadi tidak perlu takut nugas lama disini.Wifi pun kenceng jadi makin betah.

Menu cukup variatif, ada minuman kopi dan non kopi, makanan berat dan kue kue. harga cukup terjangkau standar coffeshop jaman now. Untuk rasa cukup enak. Kebetulan pas nyoba kesini pas ada diskon 15 persen. Lumayanlah 😁

Overall cukup menyenangkan disini. #Cobain yuk ☺",5
,,9 bulan lalu,itsarwien,Local Guide,30 ulasan,"Harganya agak pricey, tapi betah banget ngerjain skripsi di sini. Suara musiknya nggak sampe lantai atas jadi enak banget yang lantai atas buat nugas atau kerja. Kamar mandinya bersih dan estetik. Ada mushollanya juga walau kecil tapi wangi!! Sekarang aku dah selesai skripsian, next nanti kalau udah dapet kerjaan remote juga bakal ngerjain di sini. Estuary dah kayak tempat kerjaku, berangkat pagi pulang sore 😂✊🏻",5
,,4 bulan lalu,Fitri Susanti,Local Guide,176 ulasan,"Untuk tempat bintang 5. Untuk lokasi bintang 4. Untuk varian makanan bintang 3.

Kopinya enak, untuk makanan kurang varian dan yang sudah ada, maaf, kurang mengena. Karena selera adalah  relatif, jadi kurang bisa menjadi acuan.

Coba chef atau owner bisa menambah khasanah makanan, cafe ini bisa lebih maksimal istimewa nya.

Parkir memadai, lokasi agak masuk gang, toilet kadang jorok, kurang terkontrol.

Untuk kerja dan business meeting SANGAT NYAMAN karena TIDAK ada live musik yang mengganggu telinga.",4
,,setahun lalu,Yulianisa,Local Guide,294 ulasan,Nyaman banget nugas disini. Banyak spot nugas yg bisa diexplore. Disini juga ada indoor dan outdoor. Untuk lokasinya emg masuk ke gang gitu tp muat mobil koo. Untuk parkirannya lumayan luas sih. Kalo makanan dan minumannya yaa standar ajaa cuma ini salah satu pilihan tepat buat nugas sih👍 oiyaa untuk pelayanannya baik dan ramah.,5
,,setahun lalu,Nita Purba,Local Guide,51 ulasan,"Tempatnya bagus, nyaman buat yg mau kongkow, kerja atau sekedar menghabiskan waktu untuk me-time sebenernya. Cuma harus pinter milih tempat buat duduk, ada indoor dan outdoor. Ada working space jg yg bisa digunakan tapi kudu ngomong ke mbak atau mas yg jaga ya untuk infonya.
Range harga menu mulai dari 23k.

Saya pesan beberapa menu, minumannya ada americano, cappucino, caramel machiato.
untuk makanannya ada red velvet cake dan carne crostini.

Saran buat yang nggak suka kopi manis, saya sarankan untuk bilang ke mbak/masnya buat less sweet aja.",4
