PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Gudeg Yu Djum Pusat (Cabang Bandara YIA),,,,,,,
,https://www.google.com/maps/search/Gudeg Yu Djum Pusat (Cabang Bandara YIA) jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,7 bulan lalu,Edi S. Mulyanta,Local Guide,574 ulasan,"Gudeg kesukaan saya, gudeg kering manis, dengan telur yang mantab rasanya. Di makan dengan krecek sangat nikmat sekali. Mampir di sini krn kelaparan pesawat delay dari Bali... Nunggu kereta ke Jogja. Karena akan  tutup, beli gudeg di bungkus saja.",5
,,4 hari lalu,firman afriyanto,Local Guide,226 ulasan,Mantap ges nasi kurang banyak dikit,5
,,3 bulan lalu,fahrianul hakim,Local Guide,141 ulasan,"Salah satu gudeg termaknyus di jogja klo ini, dr dl rasanya tidak pernah berubah, pokoknya istimewa seperti jogja yg istimewa 👍🏼 …",5
,,setahun lalu,hendi basuki,Local Guide,692 ulasan,"Landing di Jogja langsung sarapan gudeg di sini sambil menunggu kereta bandara 😁
Gudegnya enak & manis khas Jogja 👍 …",5
,,3 bulan lalu,Bang AW Channel,Local Guide,29 ulasan,Tempatnya sangat nyaman dan Bersih 👍,5
,,3 bulan lalu,Subardi Bardi,Local Guide,65 ulasan,Cocok untuk lidah Jogja. Untuk orang luar jogja terlalu manis.,4
,,sebulan lalu,Sri Murtono,-,27 ulasan,Tidak perlu diragukan lagi,5
,,3 bulan lalu,MuGi pRaYitnO,Local Guide,67 ulasan,tetap dan masih enak,5
,,9 bulan lalu,Indriani Eriza,Local Guide,280 ulasan,"Cuma lewat aja kali ini, tapi enak kok",5
,,4 bulan lalu,Tari U,Local Guide,372 ulasan,Enak,5
,,3 bulan lalu,R Bambang Irianto P Gojek,Local Guide,242 ulasan,Halal,5
,,2 bulan lalu,Surata,-,335 ulasan,Maknyuuz...,5
,,sebulan lalu,Ronny Wijaya,Local Guide,232 ulasan,"Food is ok i suppose. It's too sweet for my liking.

I was expecting the ""krecek"" (sambal beef skin stew) to be on the salty side but it turned out to be more on the sweet side.

Service is good, and the vibe of the place is just.",3
,,3 bulan lalu,Dwi Suryani,Local Guide,49 ulasan,Amazing .,5
,,sebulan lalu,sofia primarini,,,,5
,,sebulan lalu,Chris Adhiyanto,,,,4
,,sebulan lalu,Arlin Heksawati,,,,5
,,2 bulan lalu,murtono,,,,5
,,3 bulan lalu,Muhammad Ilham Wiratama,,,,5
,,5 bulan lalu,Friedman Sangapta Bangun,,,,5
,,7 bulan lalu,Dewita Nur Ikshanti,,,,5
,,sebulan lalu,hudi bali,,,,3
,,9 bulan lalu,isman hadi,,,,4
,,11 bulan lalu,WAHYU RAT HARI WIBOWO,,,,5
,,5 bulan lalu,Mochammad Nurhidayat,,,,4
