PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Java INDO Cafe & Resto,,,,,,,
,https://www.google.com/maps/search/Java INDO Cafe & Resto jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,3 tahun lalu,Night Kids,Local Guide,186 ulasan,"tempat nongkrong strategis..harga menu termasuk murah,,tersedia free wifi.tempat parkir luas..sangat rekomendasi untuk keluarga dan remaja yang ingin bersangai",5
,,setahun lalu,Farming Explore,Local Guide,5 ulasan,"Nyaman, masakan uenak, free wifi, Mie Ranti favorit. Recomended",5
,,6 bulan lalu,Vivo Oke,Local Guide,54 ulasan,"Tempat nyaman,mbak bakul friendly pokok e tuman,,makanan juga ok punya",5
,,3 bulan lalu,Sumadi Sumadi,Local Guide,419 ulasan,"Lokasinya mudah di jangkau, kopinya mantap",5
,,setahun lalu,Yu Moer,Local Guide,10 ulasan,"Banyak pilihan kopinya..
Tom Yam jg oke..",5
,,setahun lalu,Tugi Yono,-,24 ulasan,"Menu makannya enak, saya suka ayam gorengnya. Kopinya jg mantab. Tempat kecil gak mslh, buat ngobrol cocok. Aplg klo di tmbh lebar lg tmptnya psti akan tmbh nyaman.",3
,,setahun lalu,John Kancil,Local Guide,52 ulasan,Kopi pagi pelanggan kegasiken.. Nikmatnya ngopi di sini..,5
,,setahun lalu,Ardhany Widii,Local Guide,7 ulasan,Walopun tempatnya nyelip tapi masakannya bintang lima loh. Enak2 semua terutama menu spesial mirantinya yang best seller. Dan satu2nya menu miranti hanya disini..,5
,,5 bulan lalu,Andi Kulonprogo,Local Guide,71 ulasan,Enak sangat cocok untuk JD tujuan nongkrong,5
,,3 bulan lalu,Nisa Nurdianti,-,132 ulasan,Tempat kurang luas,4
,,2 tahun lalu,-renge-,Local Guide,13 ulasan,"mantulll....mampir lagi nek pulang kampung 😃
enak² menunya, tempate luas, penjuale ramah 👍
sehat² mas heri & mbak chukie 🥰 …",5
,,3 tahun lalu,Cory Senjaya,-,1 ulasan,"Masya Allah makanannya enak banget asli!!! Nasi goreng paling enak sekulonprogo, mau itu burgernya tahunya kopinya pokoknya semua. Wajib coba guys.",5
,,2 tahun lalu,dita kurniawati,-,3 ulasan,"Makanan enak, tempat nyaman, bersih ....pokoke recommended",5
,,11 bulan lalu,Sutarman Ganang,Local Guide,76 ulasan,Pojok cafe untuk ngopi sekitaran Wates.......kopi lokal jos.,3
,,2 tahun lalu,Y,Local Guide,59 ulasan,Masakan terbaik.,5
,,setahun lalu,Putri Ana,-,1 ulasan,"Bersih, nyaman, orangnya ramah, makanan minuman enak",5
,,4 tahun lalu,Suki Lestari,-,2 ulasan,"Makanan nya enek harganya terjangkau banget
Tempat nya nyaman",5
,,4 tahun lalu,andan iswanjaya,Local Guide,16 ulasan,"tempat ny nyaman, enak buat nongkrong, ada wifi.",4
,,2 tahun lalu,Si Timoer,Local Guide,13 ulasan,"Enak buat nyantai..
Kopi Aceh Gayo favoritku",5
,,2 tahun lalu,widodo anugroho,Local Guide,13 ulasan,"Sebuah tempat dengan menu istimewa, packaging & display makanan yang juara 🖒 …",5
,,4 tahun lalu,Sinay Ayu,-,7 ulasan,Makanannya enak.... Tp pelayanan lambat,4
,,4 tahun lalu,Maz Meiri,-,7 ulasan,"Kereen, enak, free wifi..cocok utk tongkrongan anak muda...",4
,,3 tahun lalu,Agus Triyanto,Local Guide,21 ulasan,Suasana lumayan menghanyutkan,4
,,setahun lalu,H&A Colds,Local Guide,15 ulasan,Muantab.. Kopinya.. Rasanya.. Pas..,5
,,2 tahun lalu,Aji Sodikin,-,202 ulasan,Di sini ada kopi luwak murah,5
