PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
KALONG Kafe,,,,,,,
,https://www.google.com/maps/place/KALONG+Kafe/data=!4m7!3m6!1s0x2e7a5b88e0bbe7b3:0x3d8a2e28ab3016d3!8m2!3d-7.7558465!4d110.4958344!16s%2Fg%2F11fmy4fcxz!19sChIJs-e74Ihbei4R0xYwqyguij0?authuser=0&hl=id&rclk=1,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,setahun lalu,Heru Utama,-,8 ulasan,Tempatnya nyaman menu makanannya enak dan murah,5
,,2 tahun lalu,Mamang Tuhimang,-,1 ulasan,"bagus dan enak, menyediakan berbagai alat musik juga",5
,,2 tahun lalu,Galang Linduaji,-,3 ulasan,Makananny enak dan murah tapi berisik banyak yang nyanyi2,5
,,2 tahun lalu,Mario Subagio,-,1 ulasan,Makanan enak dan murah.. free wifi,5
,,2 tahun lalu,mochamad zaenal arifin,-,1 ulasan,Menu nya enak harga terjangkau,5
,,2 tahun lalu,Rendra Panji,-,1 ulasan,"Murah meriah, harga pelajar",5
,,2 tahun lalu,Rud Rud,Local Guide,318 ulasan,Krbanyakan nongkrong kurang bersih,3
,,3 tahun lalu,iwan adhianto,Local Guide,31 ulasan,"Cozy, makanan enak, murah dan free wifi",5
,,3 tahun lalu,Arifin Trip,-,1 ulasan,Bagus tempatnya,4
,,2 tahun lalu,Muhamad Riswan Andhana Dwi Saputra,Local Guide,142 ulasan,Enak,5
,,2 tahun lalu,Wirawan Tuhu,-,1 ulasan,Mantap uhuy langsung yah sip,5
,,3 tahun lalu,Gading Bagus,-,7 ulasan,Baiklah  …,5
,,2 tahun lalu,Bagas dwisa,-,6 ulasan,Nyam …,5
,,setahun lalu,WWAN CLOWOR,,,,5
,,2 tahun lalu,Hengki Parlin Putra,,,,5
,,11 bulan lalu,Bambang Khusen Al Marie,,,,5
,,setahun lalu,enita wahyu,,,,5
,,2 tahun lalu,T&T vidio,,,,5
,,2 tahun lalu,Windi Gozali,,,,5
,,2 tahun lalu,vincent budiono,,,,5
,,2 tahun lalu,Rezky Suryawan,,,,5
,,3 tahun lalu,MUHAMMAD PURNAMA AJI,,,,5
,,3 tahun lalu,MUHAMMAD PURNAMA AJI,,,,5
,,3 tahun lalu,MUHAMMAD PURNAMA AJI,,,,5
,,3 tahun lalu,MUHAMMAD PURNAMA AJI,,,,5
