PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kala Jumpa,,,,,,,
,https://www.google.com/maps/search/Kala Jumpa jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,Fawwaz Muhammad,Local Guide,182 ulasan,"Kalau salah tolong koreksi: ini kafe/resto punya hotel tapi buka buat umum juga.

Pelayanan dg harga ya tentu sesuai, baik sekali 👌

Menunya variatif, tapi saya kemarin cuma pesan fruit platter karena hanya mampir. Meski variasi buah sedikit, tapi porsi dan kesegarannya bagus 👍

Utk tempatnya cenderung terbatas, tapi tentu nyaman dan ada stop kontak juga.

Jadi, kala jumpa menurut saya cocok utk makan/ngobrol sebentar, kurang cocok utk ""nongkrong"" ngobrol ngalor ngidul kaya di kafe-kafe yang kebanyakan isinya pemuda.",5
,,setahun lalu,Mita Sholihati,Local Guide,44 ulasan,"Cafe yang berada di Aveta Hotel jl.malioboro. Tempat ngopi dan juga salah satu rekomendasi buat kalian yang mengadakan buber.  Menunya sangat beragam. Ngga nyeselsih kalo buber disini. Dengan rasa, dan porsi yang lumayan buat beberapa orang sangat worth it.",4
,,setahun lalu,nurul hidayah,Local Guide,123 ulasan,Kecafe ini karena kita nginep dihotel aveta dan datang sblm jam check in jd kita makan siang disini...cafe ini tepat dijalan Malioboro satu gedung dengan hotel aveta...jd buat kalian yg di jl.malioboro ok juga mampir kesini...buat yg suka foto disini ok juga....utk foto2 insta bagus ternyata ❤️❤️,5
,,9 bulan lalu,H T.,Local Guide,33 ulasan,"Tempatnya nyaman dan bersih.
Bakmi godok,sate ayam dan mie goreng jawa.
Dan kopinya mantaap.
Bisa buat nge beer juga loh",5
,,11 bulan lalu,yo you,-,1 ulasan,"Beli mie goreng pesennya nggak pedes, yg datang pedes. Beli jus melon pesennya nggak dingin, datengnya dingin. Beli nasi goreng dpt aham goreng, ayamnya masih merah begini.",1
,,4 bulan lalu,Salma Azizah,-,1 ulasan,"Beli kue bolu mille crepe disini astaghfirullah kayanya udh disimpen di kulkas 3-4 hari tanpa penutup jadi mille crepenya keras bgt dan bolunya udh galembut. Mohon maaf untuk pemilik atau waitress kala jumpa tolong ditinjau kembali menu yang akan dijual, tidak sewajarnya kue yg tidak fresh dijual ya walaupun mungkin masih bisa dimakan🥲",3
