PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kedai Samana & Rumah Baca,,,,,,,
,https://www.google.com/maps/search/Kedai Samana & Rumah Baca jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Ginanjar Prasetyo,Local Guide,76 ulasan,"Mantap sih, murah, WiFi tersedia. Fasilitas lengkap, ada kran air, colokan charger, bisa buat nugas dan nongkrong dengan teman",5
,,2 tahun lalu,White Knight,Local Guide,26 ulasan,"Dekat bandara, sebelum Underpass ambil jalan masuk ke utaranya
Tempat buat ngerjain tugas tugas
Ada colokan",5
,,2 tahun lalu,Tempe Tempe,Local Guide,22 ulasan,"Fasilitas lengkap nih
Bisa ngecas, ada colokan
Buat Nongkrong cocok",5
,,2 tahun lalu,Ginanjar Dwi Prasetyo,Local Guide,20 ulasan,"Murah mantap, nugas bikin PR, baca buku disana",5
,,2 tahun lalu,Kado Kita Yogyakarta,-,8 ulasan,"Nugas rame rame, atau nongkrong mantap",5
,,2 tahun lalu,ekz a,,,,5
,,9 bulan lalu,Arya Senpai,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
,,2 tahun lalu,Andy Riani,,,,5
