PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Kovi_Fresh Brewed Coffe YIA,,,,,,,
,https://www.google.com/maps/search/Kovi_Fresh Brewed Coffe YIA jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,2 tahun lalu,Erthin Herlyanti,Local Guide,106 ulasan,Masakannya enak... harga standard caffee... bisa lihat pesawat dari caffeenya. Ini di area gedung administrasi PT Angkasa Pura I bandara YIA Kulon Progo ya guys. Weekend tutup karna mengikuti jam kantor.,5
,,2 tahun lalu,Antonius Wisnu Yoga,Local Guide,186 ulasan,Bisa untuk hunting pesawat,5
,,2 tahun lalu,Novananda Azhiem,Local Guide,215 ulasan,Tempat asik buat liat pesawat di Bandara YIA sambil minum kopi dan makan camilan,5
,,2 tahun lalu,Rusdian Permana,Local Guide,96 ulasan,"Tolong ditingkatkan pelayanannya.
Saat itu tiba giliran utk membeli, namun didiamkan saja. Kalimat ""Mohon tunggu sebentar"" pun tidak terucap.",1
,,2 tahun lalu,Gusti Padaka,Local Guide,4 ulasan,tempatnya enak bisa lihat pesawat takeoff & landing juga,5
,,2 tahun lalu,Wahyu Wijanarko,Local Guide,117 ulasan,Mantap anginnya kenceng. Lihat pesawat naik turun.,5
,,2 tahun lalu,Wisnu Birowo,Local Guide,43 ulasan,Yang Mau Ngopi sambil nonton Pesawat,5
,,9 bulan lalu,Ln Eka,-,14 ulasan,A good place to visit especially if you are a aviation geek and love airplanes. The runway view is great.,5
,,2 tahun lalu,Nathaniel Rusdianto,Local Guide,14 ulasan,"I am a plane enthusiast myself and this is exactly where you'd want to hang out while watching or photographing planes. Good food, great price (usually people say that airport cafe is very expensive but not this one, really)",5
,,8 bulan lalu,Nanda Putra Wijaya,Local Guide,369 ulasan,So so,3
,,7 bulan lalu,sietroe,,,,4
,,2 tahun lalu,Sovia Sarah,Local Guide,60 ulasan,👌🏻 …,5
,,2 tahun lalu,Gallery UKM Pasar Kotagede,Local Guide,2 ulasan,Cozy place,5
,,setahun lalu,hilman tisnawan,,,,5
,,2 tahun lalu,Baswara Kemal,,,,5
,,setahun lalu,Theoder M Ranteala,,,,5
,,2 tahun lalu,Fitriawan Erich,,,,5
,,setahun lalu,Banyu Sabrang Batik (Batik aseli),,,,5
,,2 tahun lalu,Darsih 123456,,,,4
,,2 tahun lalu,Darsih 123456,,,,4
,,2 tahun lalu,Darsih 123456,,,,4
,,2 tahun lalu,Darsih 123456,,,,4
,,2 tahun lalu,Darsih 123456,,,,4
,,2 tahun lalu,Darsih 123456,,,,4
,,2 tahun lalu,Darsih 123456,,,,4
