PLACE NAME,LINK,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
Mie jawa smping stasiun tugu,,,,,,,
,https://www.google.com/maps/search/Mie jawa smping stasiun tugu jogja,,,,,,
,,,,,,,
,,TIME,NAME,EXPERIENCE,NUMBER OF REVIEW,REVIEW,STAR
,,6 bulan lalu,2_Raditya Widi Indarsanto,-,3 ulasan,"setuju dgn komentar"" sblmnya, meskipun kaki lima tapi rasa bakmi godog / nyemeknya muantap polll",5
,,setahun lalu,HENDRA SS,Local Guide,426 ulasan,Tempat kaki lima tapi rasa mi jawanya bintang 4,4
,,3 tahun lalu,ceria kur,-,325 ulasan,"Enak n murah
Gak kalah sama yg d mbah Gito",5
,,5 bulan lalu,Asti Manda,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
,,setahun lalu,Haris Putra,,,,5
